"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.21","2.4990403071017275","2015","08","27"
"6.96","1.9971264367816093","2015","08","27"
"6.96","2.4971264367816093","2015","08","27"
"6.08","2.286184210526316","2015","08","27"
"6.96","2.7485632183908044","2015","08","27"
"7.81","2.2253521126760565","2015","08","28"
"7.81","2.7797695262484","2015","08","28"
"6.08","2.4292763157894735","2015","08","28"
"6.96","2.9971264367816093","2015","08","28"
"7.81","2.2253521126760565","2015","08","28"
"7.81","2.558258642765685","2015","08","28"
"0.87","2.9885057471264367","2015","08","31"
"1.75","2.474285714285714","2015","09","03"
"0.87","4.0","2015","09","04"
"3.48","1.7471264367816093","2015","09","05"
"1.75","2.474285714285714","2015","09","05"
"1.75","1.9885714285714287","2015","09","06"
"1.75","2.9771428571428573","2015","09","10"
"2.6","2.3384615384615386","2015","09","10"
"3.48","2.4971264367816093","2015","09","10"
"6.08","2.4292763157894735","2015","09","10"
"6.08","2.286184210526316","2015","09","10"
"5.21","3.3358925143953932","2015","09","10"
"6.08","2.286184210526316","2015","09","10"
"8.69","2.100115074798619","2015","09","10"
"7.81","2.2253521126760565","2015","09","10"
"7.81","2.7797695262484","2015","09","10"
"8.69","2.2991944764096663","2015","09","10"
"5.21","2.0038387715930903","2015","09","10"
"4.33","4.214780600461894","2015","09","10"
"6.08","2.5740131578947367","2015","09","10"
"5.21","2.6679462571976966","2015","09","10"
"3.48","3.244252873563218","2015","09","10"
"6.96","1.9971264367816093","2015","09","11"
"7.81","2.1126760563380285","2015","09","11"
"10.44","2.5804597701149428","2015","09","11"
"12.17","2.3557929334428924","2015","09","11"
"8.69","2.599539700805524","2015","09","11"
"8.69","3.4982738780207137","2015","09","11"
"7.81","2.670934699103713","2015","09","11"
"8.69","2.699654775604143","2015","09","11"
"6.96","3.2456896551724137","2015","09","11"
"5.21","3.166986564299424","2015","09","11"
"6.08","2.286184210526316","2015","09","11"
"6.96","2.4971264367816093","2015","09","11"
"6.08","2.713815789473684","2015","09","11"
"5.21","2.834932821497121","2015","09","11"
"4.33","3.41108545034642","2015","09","11"
"4.33","2.6073903002309464","2015","09","11"
"5.21","2.834932821497121","2015","09","11"
"4.33","2.6073903002309464","2015","09","11"
"5.21","2.834932821497121","2015","09","11"
"3.48","3.244252873563218","2015","09","12"
"5.21","2.6679462571976966","2015","09","12"
"7.81","2.003841229193342","2015","09","12"
"6.96","2.4971264367816093","2015","09","12"
"7.81","2.003841229193342","2015","09","12"
"4.33","1.8036951501154732","2015","09","12"
"2.6","2.003846153846154","2015","09","12"
"4.33","2.207852193995381","2015","09","12"
"2.6","1.3384615384615384","2015","09","14"
"3.48","2.4971264367816093","2015","09","14"
"4.33","2.41108545034642","2015","09","14"
"3.48","2.7471264367816093","2015","09","14"
"5.21","2.6679462571976966","2015","09","15"
"5.21","2.166986564299424","2015","09","15"
"5.21","2.166986564299424","2015","09","15"
"5.21","2.4990403071017275","2015","09","15"
"3.48","2.7471264367816093","2015","09","15"
"2.6","2.3384615384615386","2015","09","16"
"3.48","2.244252873563218","2015","09","16"
"2.6","2.003846153846154","2015","09","16"
"3.48","2.7471264367816093","2015","09","17"
"4.33","2.810623556581986","2015","09","17"
"3.48","3.7413793103448274","2015","09","17"
"5.21","2.3358925143953937","2015","09","17"
"5.21","2.0038387715930903","2015","09","17"
"2.6","2.6769230769230767","2015","09","17"
"4.33","3.2101616628175518","2015","09","17"
"5.21","2.0038387715930903","2015","09","17"
"7.81","2.2253521126760565","2015","09","17"
"8.69","2.4004602991944766","2015","09","17"
"6.08","3.286184210526316","2015","09","17"
"6.96","2.4971264367816093","2015","09","17"
"3.48","3.9942528735632186","2015","09","17"
"5.21","3.3358925143953932","2015","09","17"
"4.33","4.013856812933025","2015","09","18"
"7.81","3.003841229193342","2015","09","18"
"5.21","2.4990403071017275","2015","09","18"
"9.56","2.0010460251046025","2015","09","18"
"4.33","3.2101616628175518","2015","09","18"
"3.48","3.4971264367816093","2015","09","18"
"5.21","1.834932821497121","2015","09","18"
"3.48","2.4971264367816093","2015","09","18"
"2.6","2.3384615384615386","2015","09","18"
"1.75","2.474285714285714","2015","09","18"
"1.75","2.9771428571428573","2015","09","18"
"2.6","2.003846153846154","2015","09","18"
"2.6","2.003846153846154","2015","09","19"
"2.6","4.680769230769231","2015","09","19"
"1.75","2.9771428571428573","2015","09","19"
"4.33","2.41108545034642","2015","09","20"
"3.48","2.0","2015","09","20"
"3.48","2.0","2015","09","20"
"1.75","3.474285714285714","2015","09","20"
"1.75","2.474285714285714","2015","09","20"
"1.75","3.474285714285714","2015","09","21"
"0.87","4.0","2015","09","21"
"1.75","1.9885714285714287","2015","09","24"
