"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.09","1.4770642201834863","2016","09","07"
"1.09","2.9816513761467887","2016","09","07"
"1.09","1.4770642201834863","2016","09","22"
"0.54","2.0185185185185186","2016","09","23"
"1.09","1.0","2016","10","23"
"1.61","4.0186335403726705","2016","10","23"
"1.09","1.9816513761467889","2016","10","24"
"0.54","4.0","2016","10","24"
"0.54","2.9814814814814814","2016","10","24"
"1.09","4.458715596330276","2016","10","25"
"1.61","3.3540372670807455","2016","10","25"
"1.09","2.9816513761467887","2016","10","26"
"1.09","2.477064220183486","2016","10","26"
"1.61","1.6770186335403727","2016","10","26"
"1.09","2.477064220183486","2016","10","28"
"0.54","6.018518518518518","2016","10","28"
"0.54","2.9814814814814814","2016","10","28"
"1.09","1.9816513761467889","2016","10","28"
"0.54","2.0185185185185186","2016","11","01"
"1.09","1.4770642201834863","2016","11","01"
"1.09","1.0","2016","11","02"
"0.54","2.0185185185185186","2016","11","03"
"2.7","1.3962962962962961","2016","11","09"
"0.54","2.0185185185185186","2016","11","15"
"1.09","1.4770642201834863","2016","11","16"
"1.61","1.6770186335403727","2016","11","16"
"1.61","1.6770186335403727","2016","12","12"
"0.54","6.018518518518518","2016","12","12"
"0.54","2.9814814814814814","2016","12","15"
"1.09","2.477064220183486","2016","12","20"
"1.09","2.9816513761467887","2016","12","31"
"0.54","2.9814814814814814","2017","01","02"
"0.54","2.0185185185185186","2017","01","02"
"1.09","2.9816513761467887","2017","01","05"
"1.61","2.0186335403726705","2017","01","07"
"0.54","15.981481481481483","2017","01","08"
"2.7","2.2037037037037037","2017","01","08"
"0.54","8.0","2017","01","08"
"1.09","8.917431192660551","2017","01","08"
"0.54","5.0","2017","01","09"
"1.61","1.6770186335403727","2017","01","09"
"3.25","1.16","2017","01","15"
"0.54","2.0185185185185186","2017","01","19"
"0.54","2.0185185185185186","2017","01","19"
"1.09","1.9816513761467889","2017","01","19"
"1.09","1.4770642201834863","2017","01","20"
"1.09","1.4770642201834863","2017","01","23"
"1.61","2.0186335403726705","2017","01","24"
"1.09","2.477064220183486","2017","01","28"
"1.09","1.4770642201834863","2017","01","29"
"3.25","1.6615384615384616","2017","01","29"
"1.09","2.477064220183486","2017","01","30"
"0.54","2.9814814814814814","2017","01","31"
"1.09","1.4770642201834863","2017","01","31"
"1.09","2.477064220183486","2017","02","01"
"1.09","1.9816513761467889","2017","02","02"
"0.54","5.0","2017","02","02"
"1.09","2.9816513761467887","2017","02","02"
"1.09","1.0","2017","02","02"
"1.61","2.341614906832298","2017","02","05"
"1.09","1.4770642201834863","2017","02","07"
"1.09","1.0","2017","02","07"
"0.54","2.0185185185185186","2017","02","08"
"1.09","1.4770642201834863","2017","02","08"
"1.61","1.3416149068322982","2017","02","08"
"1.09","1.4770642201834863","2017","02","08"
"0.54","2.9814814814814814","2017","02","09"
"0.54","2.0185185185185186","2017","02","10"
"1.09","1.4770642201834863","2017","02","11"
"1.61","3.018633540372671","2017","02","12"
"0.54","10.0","2017","02","13"
"0.54","2.9814814814814814","2017","02","13"
"0.54","2.9814814814814814","2017","02","13"
"1.09","1.0","2017","02","14"
"2.16","1.25","2017","02","14"
"1.61","2.6832298136645965","2017","02","16"
"1.09","1.9816513761467889","2017","02","16"
"1.09","1.0","2017","02","16"
"1.09","1.4770642201834863","2017","02","16"
"1.09","2.9816513761467887","2017","02","16"
"2.16","1.5046296296296295","2017","02","17"
"1.09","1.0","2017","02","18"
"0.54","2.0185185185185186","2017","02","20"
"1.09","1.4770642201834863","2017","02","21"
"0.54","4.0","2017","02","21"
"0.54","2.9814814814814814","2017","02","23"
"1.09","1.4770642201834863","2017","02","24"
"0.54","4.0","2017","02","24"
"0.54","2.0185185185185186","2017","02","26"
"1.09","2.477064220183486","2017","02","27"
"0.54","10.0","2017","02","27"
"1.61","1.6770186335403727","2017","02","27"
"1.61","1.3416149068322982","2017","02","28"
"0.54","2.0185185185185186","2017","02","28"
"1.61","3.018633540372671","2017","03","01"
"3.25","2.6553846153846155","2017","03","04"
"0.54","2.9814814814814814","2017","03","04"
"5.4","1.8962962962962961","2017","03","08"
"4.86","3.4444444444444438","2017","03","09"
"0.54","2.9814814814814814","2017","03","10"
"6.47","2.502318392581144","2017","03","10"
"0.54","4.0","2017","03","13"
"2.7","1.2037037037037037","2017","03","17"
"1.09","5.935779816513761","2017","03","17"
"1.61","3.3540372670807455","2017","03","17"
"1.61","3.018633540372671","2017","03","18"
"0.54","2.9814814814814814","2017","03","19"
"0.54","2.9814814814814814","2017","03","19"
"1.61","1.6770186335403727","2017","03","19"
"1.61","1.6770186335403727","2017","03","21"
"3.25","1.3292307692307692","2017","03","21"
"2.7","1.8","2017","03","21"
"1.09","2.477064220183486","2017","03","22"
"0.54","2.0185185185185186","2017","03","22"
"1.09","2.9816513761467887","2017","03","22"
"2.7","1.8","2017","03","23"
"1.09","1.4770642201834863","2017","03","23"
"1.61","1.3416149068322982","2017","03","23"
"3.25","1.6615384615384616","2017","03","23"
"6.47","1.9165378670788256","2017","03","24"
"2.16","1.5046296296296295","2017","03","25"
"2.7","1.3962962962962961","2017","03","25"
"1.09","1.9816513761467889","2017","03","26"
"0.54","2.0185185185185186","2017","03","26"
"2.16","1.7453703703703702","2017","03","26"
"1.61","1.6770186335403727","2017","03","26"
"1.61","2.341614906832298","2017","03","26"
