"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.54","2.0185185185185186","2016","06","27"
"1.09","1.9816513761467889","2016","07","25"
"0.54","11.018518518518517","2016","07","25"
"2.16","2.5","2016","07","25"
"0.54","2.0185185185185186","2016","08","20"
"0.54","2.0185185185185186","2016","08","20"
"1.09","1.4770642201834863","2016","08","22"
"4.86","2.551440329218107","2016","08","22"
"4.86","1.8868312757201644","2016","08","22"
"3.77","2.2891246684350133","2016","08","22"
"3.77","2.4323607427055705","2016","08","22"
"2.16","4.5","2016","08","23"
"1.09","2.477064220183486","2016","09","07"
"1.61","2.0186335403726705","2016","09","07"
"0.54","2.0185185185185186","2016","09","23"
"1.09","1.0","2016","10","23"
"1.61","3.6956521739130435","2016","10","25"
"1.61","1.6770186335403727","2016","10","25"
"2.7","2.0","2016","10","25"
"0.54","4.0","2016","10","25"
"3.25","3.4861538461538464","2016","10","25"
"1.09","1.4770642201834863","2016","10","26"
"0.54","2.0185185185185186","2016","10","26"
"1.09","1.4770642201834863","2016","10","26"
"0.54","2.9814814814814814","2016","10","27"
"0.54","1.0","2016","10","28"
"0.54","4.0","2016","11","16"
"0.54","2.0185185185185186","2016","12","17"
"2.16","3.2499999999999996","2016","12","20"
"0.54","6.018518518518518","2016","12","21"
"1.09","1.9816513761467889","2017","01","01"
"2.7","2.996296296296296","2017","01","14"
"1.09","2.9816513761467887","2017","01","20"
"4.32","1.3773148148148147","2017","01","20"
"0.54","2.9814814814814814","2017","01","20"
"0.54","6.018518518518518","2017","01","24"
"2.16","1.5046296296296295","2017","01","24"
"1.61","2.0186335403726705","2017","01","24"
"9.17","1.529989094874591","2017","01","25"
"0.54","2.0185185185185186","2017","01","28"
"2.7","2.0","2017","01","28"
"1.61","1.6770186335403727","2017","01","29"
"0.54","2.9814814814814814","2017","02","01"
"0.54","2.9814814814814814","2017","02","09"
"1.61","1.3416149068322982","2017","02","11"
"1.61","1.3416149068322982","2017","02","13"
"1.09","1.0","2017","02","16"
"0.54","2.0185185185185186","2017","02","16"
"1.09","1.4770642201834863","2017","02","17"
"1.09","1.0","2017","02","17"
"0.54","2.0185185185185186","2017","02","18"
"0.54","2.0185185185185186","2017","02","18"
"1.09","1.4770642201834863","2017","02","18"
"1.09","1.4770642201834863","2017","02","20"
"1.61","1.0","2017","02","21"
"1.09","1.4770642201834863","2017","02","21"
"1.61","1.3416149068322982","2017","02","23"
"0.54","2.0185185185185186","2017","02","23"
"0.54","2.9814814814814814","2017","02","23"
"0.54","2.9814814814814814","2017","02","25"
"0.54","2.0185185185185186","2017","02","25"
"1.09","1.0","2017","02","26"
"0.54","2.0185185185185186","2017","02","27"
"1.09","1.9816513761467889","2017","02","27"
"1.61","1.0","2017","02","27"
"1.09","1.9816513761467889","2017","03","01"
"1.09","1.4770642201834863","2017","03","01"
"0.54","5.0","2017","03","01"
"1.09","1.4770642201834863","2017","03","02"
"1.61","2.341614906832298","2017","03","02"
"0.54","8.0","2017","03","02"
"1.09","1.9816513761467889","2017","03","04"
"1.09","3.458715596330275","2017","03","05"
"2.7","2.7925925925925923","2017","03","05"
"1.09","1.4770642201834863","2017","03","07"
"0.54","6.981481481481481","2017","03","07"
"0.54","6.018518518518518","2017","03","08"
"1.09","1.9816513761467889","2017","03","08"
"0.54","10.0","2017","03","10"
