"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.97192","2.0","2012","11","28"
"1.94384","2.6","2012","11","29"
"0.97192","2.0","2012","11","30"
"0.97192","3.0","2012","12","10"
"0.97192","3.0","2012","12","10"
"1.94384","1.5","2012","12","10"
"1.94384","1.5","2012","12","10"
"0.97192","3.0","2012","12","10"
"0.97192","3.0","2012","12","22"
"1.94384","1.5","2013","01","02"
"1.94384","1.5","2013","01","16"
"0.97192","1.0","2013","01","16"
"2.91576","1.0","2013","01","18"
"4.082064","1.4761904761904763","2013","01","18"
"4.082064","1.4761904761904763","2013","01","27"
"1.94384","2.1","2013","01","27"
"0.97192","2.0","2013","01","27"
"0.97192","2.0","2013","01","27"
"4.082064","1.7142857142857144","2013","01","27"
"0.97192","2.0","2013","02","05"
"0.97192","2.0","2013","02","05"
"6.025904000000001","2.0","2013","02","10"
"5.053984","1.7692307692307692","2013","02","10"
"6.025904000000001","2.32258064516129","2013","02","10"
"0.97192","2.0","2013","02","10"
"2.91576","2.066666666666667","2013","02","10"
"0.97192","2.0","2013","02","10"
"0.97192","4.2","2013","02","15"
"1.94384","1.0","2013","02","15"
"1.94384","1.0","2013","02","15"
"1.94384","1.5","2013","02","15"
"1.94384","1.5","2013","02","15"
"1.94384","1.5","2013","02","23"
"2.91576","1.7333333333333332","2013","02","23"
"0.97192","2.0","2013","02","24"
"0.97192","7.2","2013","02","24"
"1.94384","2.6","2013","02","28"
"8.941664","1.7826086956521738","2013","03","01"
"9.913584","1.6078431372549018","2013","03","01"
"2.91576","1.7333333333333332","2013","03","01"
"4.082064","2.1904761904761902","2013","03","01"
"1.94384","2.1","2013","03","09"
"1.94384","1.5","2013","03","13"
"0.97192","2.0","2013","03","15"
"1.94384","3.6","2013","03","17"
"4.082064","1.9523809523809523","2013","03","17"
"4.082064","2.428571428571429","2013","03","21"
"4.082064","1.2380952380952381","2013","03","21"
"0.97192","3.0","2013","03","21"
"1.94384","1.5","2013","03","21"
"2.91576","1.7333333333333332","2013","03","25"
"8.941664","1.4565217391304348","2013","04","10"
"11.079888","1.3508771929824561","2013","04","10"
"8.941664","1.5652173913043481","2013","04","10"
"0.97192","3.0","2013","04","10"
"1.94384","2.1","2013","04","10"
"2.91576","2.066666666666667","2013","04","10"
"7.9697439999999995","1.878048780487805","2013","04","10"
"2.91576","3.4","2013","04","10"
"5.053984","1.3846153846153848","2013","04","10"
"0.97192","3.0","2013","04","10"
"0.97192","3.0","2013","04","11"
"5.053984","2.1923076923076925","2013","04","15"
"1.94384","1.5","2013","04","17"
"0.97192","2.0","2013","04","17"
"2.91576","1.7333333333333332","2013","04","20"
"1.94384","2.6","2013","04","20"
"5.053984","1.5769230769230769","2013","04","29"
"13.023728","1.3134328358208955","2013","05","01"
"0.97192","2.0","2013","05","05"
"5.053984","1.3846153846153848","2013","05","10"
"4.082064","1.7142857142857144","2013","05","11"
"5.053984","1.5769230769230769","2013","05","11"
"6.025904000000001","1.32258064516129","2013","05","27"
"6.9978240000000005","1.2777777777777777","2013","05","27"
"0.97192","2.0","2013","05","28"
"0.97192","3.0","2013","05","28"
"5.053984","1.5769230769230769","2013","05","28"
"5.053984","1.1923076923076925","2013","05","29"
"4.082064","1.7142857142857144","2013","05","29"
"6.025904000000001","1.4838709677419353","2013","05","30"
"2.91576","1.4","2013","05","30"
"2.91576","1.7333333333333332","2013","05","30"
"6.9978240000000005","1.4166666666666665","2013","06","06"
"1.94384","1.0","2013","06","09"
"4.082064","1.4761904761904763","2013","06","13"
"1.94384","1.5","2013","06","16"
"2.91576","1.4","2013","06","19"
"0.97192","2.0","2013","06","22"
"4.082064","1.7142857142857144","2013","06","23"
"2.91576","1.7333333333333332","2013","06","23"
"4.082064","1.9523809523809523","2013","06","26"
"2.91576","2.066666666666667","2013","06","26"
"2.91576","2.066666666666667","2013","06","26"
"1.94384","2.1","2013","06","26"
"4.082064","1.2380952380952381","2013","07","03"
"0.97192","2.0","2013","07","11"
"0.97192","2.0","2013","07","13"
"0.97192","2.0","2013","07","17"
"0.97192","3.0","2013","07","21"
"1.94384","1.5","2013","07","28"
"0.97192","2.0","2013","08","14"
"0.97192","3.0","2013","08","22"
"0.97192","2.0","2013","08","22"
"1.94384","1.5","2013","08","26"
"0.97192","3.0","2013","08","27"
"1.94384","2.1","2013","09","07"
"0.97192","4.2","2013","09","07"
"2.91576","2.066666666666667","2013","09","12"
"0.97192","2.0","2013","09","13"
"1.94384","1.5","2013","09","29"
"0.97192","2.0","2013","09","29"
"0.97192","2.0","2013","10","06"
"4.082064","1.9523809523809523","2013","10","09"
"6.025904000000001","1.4838709677419353","2013","10","09"
"6.025904000000001","1.161290322580645","2013","10","14"
"1.94384","1.5","2013","10","20"
"1.94384","1.5","2013","10","20"
"2.91576","1.4","2013","10","20"
"1.94384","1.5","2013","10","20"
"0.97192","7.2","2013","10","26"
"0.97192","2.0","2013","10","26"
"0.97192","2.0","2013","10","29"
"0.97192","3.0","2013","11","15"
"1.94384","2.6","2013","11","15"
"1.94384","2.6","2013","11","19"
"0.97192","2.0","2013","11","20"
"1.94384","1.5","2013","11","28"
"0.97192","2.0","2013","11","28"
"1.94384","1.5","2013","11","28"
"4.082064","1.7142857142857144","2013","11","28"
"4.082064","1.9523809523809523","2013","11","29"
