"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.56","1.544979079497908","2016","06","08"
"13.02","1.2019969278033795","2016","06","08"
"5.21","1.834932821497121","2016","06","08"
"13.02","1.2019969278033795","2016","06","08"
"16.5","1.1593939393939394","2016","06","08"
"15.65","1.2766773162939298","2016","06","08"
"9.56","1.3619246861924685","2016","06","14"
"6.96","1.622126436781609","2016","06","14"
"16.5","1.475151515151515","2016","06","14"
"15.65","1.4990415335463259","2016","06","14"
"14.77","1.4698713608666216","2016","06","15"
"13.02","1.6021505376344085","2016","06","15"
"8.69","1.4004602991944766","2016","06","15"
"11.29","1.2311780336581046","2016","06","16"
"6.08","1.2845394736842104","2016","06","21"
"6.08","1.4292763157894737","2016","06","21"
"0.87","8.977011494252872","2016","07","01"
"2.6","2.6769230769230767","2016","07","01"
"7.81","1.3367477592829706","2016","07","04"
"5.21","1.3358925143953935","2016","08","22"
"1.75","2.9771428571428573","2016","08","22"
"2.6","2.003846153846154","2016","08","22"
"11.29","1.6164747564216122","2016","08","26"
"12.17","1.3557929334428924","2016","08","27"
"1.75","2.9771428571428573","2016","08","27"
"13.02","1.0675883256528418","2016","08","27"
"1.75","4.462857142857143","2016","08","28"
"1.75","5.965714285714285","2016","08","29"
"6.08","2.1414473684210527","2016","08","29"
"1.75","3.9771428571428573","2016","08","31"
"6.08","1.7171052631578947","2016","08","31"
"3.48","3.4971264367816093","2016","08","31"
"6.08","2.0016447368421053","2016","09","01"
"14.77","1.059580230196344","2016","09","01"
"4.33","2.207852193995381","2016","09","01"
"4.33","1.2032332563510393","2016","09","02"
"7.81","1.4455825864276568","2016","09","08"
"9.56","1.2730125523012552","2016","09","19"
"12.17","1.6417419884963025","2016","09","26"
"2.6","3.342307692307692","2016","09","27"
"3.48","2.7471264367816093","2016","09","29"
"5.21","1.834932821497121","2016","09","29"
"3.48","2.244252873563218","2016","09","29"
"11.29","1.7697077059344555","2016","09","30"
"13.02","1.7350230414746544","2016","09","30"
"14.77","1.3527420446851728","2016","09","30"
"8.69","2.4982738780207137","2016","09","30"
"4.33","2.207852193995381","2016","10","01"
"1.75","3.9771428571428573","2016","10","01"
"1.75","3.9771428571428573","2016","10","01"
"7.81","1.4455825864276568","2016","10","01"
"5.21","1.1669865642994242","2016","10","02"
"5.21","1.3358925143953935","2016","10","03"
"6.08","1.2845394736842104","2016","10","03"
"0.87","6.988505747126437","2016","10","03"
"3.48","2.4971264367816093","2016","10","04"
"4.33","2.810623556581986","2016","10","04"
"11.29","1.2311780336581046","2016","10","04"
"8.69","1.2991944764096663","2016","10","04"
"5.21","1.834932821497121","2016","10","04"
"4.33","2.0069284064665127","2016","10","05"
"6.96","1.122126436781609","2016","10","05"
"12.17","1.2136400986031224","2016","10","05"
"0.87","5.988505747126437","2016","10","05"
"5.21","1.834932821497121","2016","10","06"
"8.69","1.2013808975834293","2016","10","07"
"3.48","1.7471264367816093","2016","10","11"
"2.6","2.003846153846154","2016","10","11"
"0.87","4.0","2016","10","12"
"3.48","1.7471264367816093","2016","10","12"
"7.81","1.3367477592829706","2016","10","16"
"6.96","1.7485632183908046","2016","10","19"
"8.69","1.1001150747986193","2016","10","21"
"10.44","1.2471264367816093","2016","10","23"
"15.65","1.2766773162939298","2016","10","23"
"13.02","1.2672811059907834","2016","10","23"
"10.44","1.1657088122605364","2016","10","24"
"5.21","2.0038387715930903","2016","10","25"
"1.75","7.4399999999999995","2016","10","26"
"7.81","1.4455825864276568","2016","10","26"
"4.33","1.4041570438799076","2016","10","26"
"0.87","6.988505747126437","2016","10","27"
"2.6","2.3384615384615386","2016","10","27"
"6.96","1.2485632183908046","2016","10","27"
"11.29","1.0779450841452614","2016","10","27"
"9.56","1.4539748953974896","2016","10","27"
"11.29","1.0779450841452614","2016","10","27"
"6.08","1.144736842105263","2016","10","28"
"4.33","1.6073903002309469","2016","10","28"
"0.87","4.977011494252873","2016","10","29"
"10.44","1.2471264367816093","2016","10","29"
"6.08","1.0","2016","10","29"
"6.96","1.122126436781609","2016","10","29"
"6.96","1.122126436781609","2016","10","30"
"6.96","1.622126436781609","2016","10","30"
"6.08","1.4292763157894737","2016","10","31"
"5.21","1.1669865642994242","2016","11","01"
"8.69","1.89873417721519","2016","11","03"
