"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","4.0","2009","04","30"
"0.87","2.0114942528735633","2009","05","02"
"1.75","1.9885714285714287","2009","05","02"
"0.87","4.0","2009","05","02"
"0.87","5.988505747126437","2009","05","02"
"2.6","2.6769230769230767","2009","05","02"
"0.87","5.988505747126437","2009","05","02"
"5.21","1.8310940499040305","2009","05","03"
"4.33","2.203233256351039","2009","05","03"
"5.21","1.4990403071017273","2009","05","03"
"1.75","1.9885714285714287","2009","05","04"
"1.75","1.4857142857142858","2009","05","04"
"0.87","2.0114942528735633","2009","05","04"
"6.08","1.5690789473684208","2009","05","05"
"6.08","1.5690789473684208","2009","05","05"
"5.21","1.6679462571976966","2009","05","05"
"2.6","3.342307692307692","2009","05","05"
"2.6","3.0038461538461534","2009","05","05"
"5.21","1.1669865642994242","2009","05","05"
"3.48","2.0","2009","05","05"
"3.48","2.0","2009","05","05"
"5.21","2.0","2009","05","05"
"4.33","2.203233256351039","2009","05","05"
"4.33","1.8036951501154732","2009","05","05"
"3.48","2.244252873563218","2009","05","05"
"1.75","3.9771428571428573","2009","05","05"
"0.87","2.9885057471264367","2009","05","05"
"1.75","1.4857142857142858","2009","05","05"
"0.87","2.0114942528735633","2009","05","05"
"1.75","4.462857142857143","2009","05","05"
"0.87","6.988505747126437","2009","05","05"
"6.08","1.713815789473684","2009","05","05"
"0.87","2.0114942528735633","2009","05","10"
"0.87","2.0114942528735633","2009","05","10"
"3.48","1.4971264367816093","2009","05","11"
"1.75","1.9885714285714287","2009","05","11"
"0.87","2.0114942528735633","2009","05","11"
"1.75","12.90857142857143","2009","05","11"
"2.6","3.0038461538461534","2009","05","11"
"4.33","4.013856812933025","2009","05","11"
"7.81","2.1126760563380285","2009","05","11"
"5.21","3.166986564299424","2009","05","11"
"10.42","1.9155470249520155","2009","05","11"
"8.69","1.6973532796317607","2009","05","11"
"10.42","1.9155470249520155","2009","05","11"
"6.96","2.4971264367816093","2009","05","11"
"9.54","1.9109014675052414","2009","05","11"
"6.96","2.1192528735632186","2009","05","11"
"9.54","1.9109014675052414","2009","05","11"
"6.96","2.3706896551724137","2009","05","11"
"6.96","1.8706896551724137","2009","05","11"
"4.33","3.0069284064665127","2009","05","11"
"8.69","1.4004602991944766","2009","05","11"
"2.6","4.342307692307692","2009","05","11"
"5.21","1.6679462571976966","2009","05","11"
"10.42","1.6679462571976966","2009","05","11"
"5.21","2.831094049904031","2009","05","11"
"5.21","3.6679462571976966","2009","05","11"
"2.6","3.0038461538461534","2009","05","11"
"3.48","2.244252873563218","2009","05","11"
"2.6","2.6769230769230767","2009","05","11"
"4.33","2.0069284064665127","2009","05","12"
"4.33","1.4041570438799076","2009","05","12"
"2.6","1.6653846153846155","2009","05","12"
"2.6","1.6653846153846155","2009","05","12"
"0.87","5.988505747126437","2009","05","12"
"1.75","2.474285714285714","2009","05","12"
"2.6","2.6769230769230767","2009","05","12"
"2.6","2.3384615384615386","2009","05","12"
"1.75","1.9885714285714287","2009","05","12"
"2.6","2.3384615384615386","2009","05","12"
"1.75","2.9771428571428573","2009","05","12"
"0.87","5.988505747126437","2009","05","12"
"0.87","2.9885057471264367","2009","05","12"
"4.33","1.8036951501154732","2009","05","12"
"1.75","5.451428571428571","2009","05","12"
"2.6","2.3384615384615386","2009","05","13"
"2.6","3.0038461538461534","2009","05","13"
"1.75","3.474285714285714","2009","05","13"
"1.75","2.9771428571428573","2009","05","13"
"1.75","1.0","2009","05","13"
"1.75","3.9771428571428573","2009","05","14"
"1.75","2.474285714285714","2009","05","14"
"0.87","2.9885057471264367","2009","05","14"
"0.87","2.9885057471264367","2009","05","14"
"2.6","2.003846153846154","2009","05","14"
"3.48","1.4971264367816093","2009","05","14"
"2.6","2.6769230769230767","2009","05","14"
"4.33","1.2032332563510393","2009","05","14"
"1.75","2.474285714285714","2009","05","14"
"1.75","4.462857142857143","2009","05","14"
"2.6","3.0038461538461534","2009","05","14"
"3.48","2.244252873563218","2009","05","15"
"6.08","1.4292763157894737","2009","05","15"
"5.21","1.8310940499040305","2009","05","15"
"5.21","2.0","2009","05","15"
"5.21","1.8310940499040305","2009","05","15"
"5.21","2.0","2009","05","15"
