"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.21","9.047619047619047","2016","11","23"
"0.27","8.481481481481481","2016","11","23"
"0.82","5.195121951219512","2016","11","23"
"1.5","3.2133333333333334","2016","11","24"
"1.48","3.141891891891892","2016","11","24"
"1.32","3.371212121212121","2016","11","24"
"0.87","5.114942528735632","2016","11","24"
"1.26","3.6904761904761907","2016","11","24"
"1.48","4.885135135135135","2016","11","24"
"0.82","5.731707317073171","2016","11","24"
"1.15","4.530434782608696","2016","11","24"
"0.04","17.5","2016","11","24"
"0.1","19.599999999999998","2016","11","27"
"0.17","12.352941176470589","2016","11","27"
"0.37","7.5675675675675675","2016","11","27"
"0.1","18.999999999999996","2016","11","27"
"0.12","19.083333333333336","2016","11","29"
"0.19","13.421052631578947","2016","11","29"
"0.14","12.785714285714285","2016","11","30"
"0.02","111.00000000000001","2016","12","02"
"0.02","44.5","2016","12","08"
"0.62","8.70967741935484","2016","12","08"
"0.86","6.709302325581395","2016","12","08"
"1.81","3.9613259668508287","2016","12","08"
"1.77","3.4067796610169494","2016","12","09"
"1.61","4.211180124223603","2016","12","12"
"1.83","3.9180327868852456","2016","12","12"
"0.37","10.135135135135135","2016","12","12"
"0.12","15.416666666666668","2016","12","12"
"0.29","14.0","2016","12","12"
"0.37","6.351351351351352","2016","12","15"
"0.04","42.75","2016","12","16"
"0.02","66.0","2016","12","17"
"0.02","47.5","2016","12","17"
"0.1","26.0","2016","12","18"
"0.17","22.41176470588235","2016","12","18"
"0.04","47.5","2016","12","23"
"0.04","39.75","2016","12","23"
"0.19","18.736842105263158","2016","12","24"
"0.08","62.0","2016","12","24"
"0.39","11.923076923076923","2016","12","24"
"0.06","54.16666666666667","2016","12","24"
"0.23","14.869565217391303","2016","12","26"
"0.27","9.62962962962963","2016","12","26"
"0.19","14.0","2016","12","26"
"0.23","9.130434782608695","2016","12","26"
"0.14","19.0","2016","12","26"
"0.14","12.214285714285714","2016","12","26"
"0.08","29.375","2016","12","26"
"0.39","6.538461538461537","2016","12","26"
"0.51","7.470588235294118","2016","12","26"
"0.54","9.5","2016","12","26"
"0.58","7.0","2016","12","27"
"0.52","8.403846153846153","2017","01","02"
"0.51","9.450980392156863","2017","01","03"
"0.6","7.1","2017","01","03"
"0.43","4.6976744186046515","2017","01","03"
"0.8","4.35","2017","01","08"
"0.12","10.166666666666666","2017","01","10"
"0.23","6.826086956521739","2017","01","10"
"0.72","2.9722222222222223","2017","01","10"
"1.21","4.15702479338843","2017","01","10"
"0.7","3.8571428571428577","2017","01","10"
"0.78","4.41025641025641","2017","01","11"
"0.45","4.622222222222223","2017","01","18"
"1.3","2.1999999999999997","2017","01","18"
"1.13","2.601769911504425","2017","01","18"
"0.82","2.7926829268292686","2017","01","18"
"0.23","6.608695652173913","2017","01","19"
"0.29","5.620689655172414","2017","01","20"
"0.99","4.222222222222222","2017","01","20"
"0.93","3.139784946236559","2017","01","20"
"1.07","2.7102803738317753","2017","01","21"
"2.2","2.359090909090909","2017","01","22"
"1.67","2.7125748502994016","2017","01","22"
