"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.25","2.7377777777777776","2018","06","06"
"2.43","1.9670781893004115","2018","06","11"
"0.6","3.0500000000000003","2018","06","11"
"1.83","2.6120218579234975","2018","06","15"
"1.83","2.519125683060109","2018","06","20"
"2.53","2.889328063241107","2018","06","20"
"2.68","2.3656716417910446","2018","06","21"
"2.53","2.158102766798419","2018","06","21"
"2.0","1.865","2018","06","21"
"3.13","2.2779552715654954","2018","06","26"
"2.35","2.2893617021276595","2018","06","26"
"1.05","2.238095238095238","2018","06","30"
"1.22","2.19672131147541","2018","06","30"
"1.75","2.474285714285714","2018","06","30"
"1.75","2.085714285714286","2018","06","30"
"2.68","1.9813432835820892","2018","07","04"
"0.78","2.8846153846153846","2018","07","05"
"1.3","2.6769230769230767","2018","07","05"
"1.05","2.9809523809523806","2018","07","18"
"2.78","2.2158273381294964","2018","07","24"
"2.68","2.1119402985074625","2018","07","25"
"2.1","2.1952380952380954","2018","07","25"
"0.6","4.050000000000001","2018","07","25"
"1.48","2.2837837837837838","2018","07","27"
"1.75","1.9885714285714287","2018","08","14"
"1.75","2.8742857142857146","2018","08","15"
"1.13","2.769911504424779","2018","08","17"
"1.56","2.6153846153846154","2018","08","20"
"2.18","2.3899082568807337","2018","09","09"
"2.78","1.9352517985611513","2018","09","09"
"1.9","1.8315789473684212","2018","09","16"
"1.83","1.901639344262295","2018","09","16"
"2.18","1.8348623853211008","2018","09","17"
"1.13","3.2300884955752216","2018","09","17"
"2.0","2.13","2018","09","20"
"2.6","2.4384615384615382","2018","09","29"
"1.56","2.4551282051282053","2018","09","30"
"0.78","3.243589743589743","2018","10","11"
"1.75","2.1314285714285712","2018","10","20"
"1.56","2.230769230769231","2018","10","20"
"1.9","2.3842105263157896","2018","10","20"
"0.52","3.519230769230769","2018","11","04"
"2.68","2.5597014925373136","2018","11","13"
"0.6","2.916666666666667","2018","11","17"
"0.52","2.692307692307692","2018","11","29"
"5.21","3.268714011516315","2018","12","12"
"6.34","3.4400630914826498","2018","12","12"
"4.96","1.6451612903225807","2018","12","19"
"3.56","3.0730337078651684","2018","12","19"
"3.65","1.4958904109589042","2018","12","19"
"2.6","2.7076923076923074","2018","12","21"
"1.9","2.647368421052632","2018","12","24"
"2.1","3.1476190476190475","2018","12","24"
"3.65","3.4767123287671233","2018","12","28"
"1.9","2.742105263157895","2018","12","28"
"0.52","9.673076923076923","2019","01","25"
"2.0","2.78","2019","02","15"
"1.83","2.1366120218579234","2019","02","16"
"2.53","1.849802371541502","2019","02","16"
"2.95","1.8508474576271186","2019","02","16"
"2.6","3.4076923076923076","2019","02","16"
"2.78","1.683453237410072","2019","02","22"
"2.68","1.8208955223880596","2019","02","26"
"0.43","4.4186046511627906","2019","03","05"
"2.25","2.471111111111111","2019","03","07"
"1.9","2.647368421052632","2019","03","21"
"0.95","3.294736842105263","2019","03","23"
"2.18","2.114678899082569","2019","03","27"
"0.95","3.473684210526316","2019","03","27"
"1.9","2.015789473684211","2019","03","31"
"1.4","2.9857142857142858","2019","04","03"
"5.38","1.7918215613382902","2019","04","06"
"2.35","1.6297872340425532","2019","04","11"
"3.23","1.938080495356037","2019","04","22"
"2.25","1.7377777777777779","2019","04","28"
"3.3","2.0545454545454547","2019","04","28"
"2.18","1.9174311926605503","2019","05","05"
"2.95","1.6813559322033897","2019","05","14"
"1.9","2.2421052631578946","2019","05","14"
"1.75","2.2342857142857144","2019","05","14"
"1.05","3.8095238095238093","2019","05","14"
"2.6","2.1384615384615384","2019","05","15"
"2.78","2.0","2019","05","15"
"1.75","2.3314285714285714","2019","05","15"
"0.6","2.916666666666667","2019","05","15"
"1.13","3.920353982300885","2019","05","15"
"1.56","2.4551282051282053","2019","05","16"
"2.43","2.390946502057613","2019","05","16"
"1.56","2.5064102564102564","2019","05","17"
"0.95","2.473684210526316","2019","05","17"
"0.35","3.714285714285715","2019","05","17"
"2.25","1.5022222222222221","2019","05","19"
"2.0","1.565","2019","05","19"
"2.95","2.3864406779661014","2019","05","19"
"3.91","1.7340153452685423","2019","05","19"
"0.87","2.793103448275862","2019","05","23"
"2.0","2.215","2019","05","27"
"0.95","3.7473684210526317","2019","05","28"
"1.48","2.22972972972973","2019","05","28"
"1.9","1.9631578947368422","2019","05","28"
"1.65","2.533333333333333","2019","05","30"
"2.53","2.158102766798419","2019","05","31"
"1.05","2.5523809523809526","2019","05","31"
"2.53","2.541501976284585","2019","05","31"
"1.65","2.1090909090909093","2019","06","01"
"1.22","2.7049180327868854","2019","06","01"
"1.65","2.9575757575757575","2019","06","04"
"1.05","2.7428571428571424","2019","06","04"
"2.68","1.6902985074626866","2019","06","08"
"2.35","1.8851063829787231","2019","06","10"
"2.25","2.36","2019","06","11"
"0.95","2.368421052631579","2019","06","18"
"0.52","4.326923076923077","2019","06","18"
"2.25","2.4266666666666667","2019","06","27"
"2.0","2.655","2019","06","29"
"1.3","1.676923076923077","2019","06","29"
"1.4","2.9142857142857146","2019","06","29"
"0.87","3.310344827586207","2019","07","04"
"2.35","1.8851063829787231","2019","07","04"
"3.48","1.8706896551724137","2019","07","05"
"2.1","2.695238095238095","2019","07","06"
"2.25","2.048888888888889","2019","07","24"
"2.35","1.9914893617021274","2019","07","24"
"3.03","1.6105610561056107","2019","07","25"
"1.83","2.1366120218579234","2019","07","26"
"2.53","2.2964426877470356","2019","07","26"
"2.35","2.076595744680851","2019","08","06"
"1.75","2.3314285714285714","2019","08","07"
"1.05","3.3904761904761904","2019","08","08"
"4.0","2.3475","2019","08","09"
"1.13","3.4601769911504427","2019","08","09"
"1.65","2.4242424242424243","2019","08","09"
"0.78","2.564102564102564","2019","08","12"
"2.43","2.1111111111111107","2019","08","14"
"2.18","2.435779816513761","2019","08","18"
"1.13","2.769911504424779","2019","08","19"
"1.9","2.278947368421053","2019","08","20"
"3.03","2.066006600660066","2019","08","22"
"1.48","2.3513513513513513","2019","08","24"
"2.0","2.44","2019","08","26"
"3.03","1.9504950495049507","2019","08","27"
"2.1","2.695238095238095","2019","08","28"
"1.4","2.542857142857143","2019","09","02"
"0.7","3.471428571428572","2019","09","02"
