"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","1.0","2016","08","22"
"0.87","4.0","2016","09","30"
"2.6","3.0038461538461534","2016","09","30"
"0.87","1.0","2016","09","30"
"0.87","1.0","2016","10","01"
"0.87","1.0","2016","11","20"
"1.75","2.474285714285714","2016","11","22"
"2.6","1.0","2016","11","22"
"0.87","2.0114942528735633","2016","11","22"
"0.87","1.0","2016","11","22"
"0.87","1.0","2016","11","22"
"0.87","2.0114942528735633","2016","11","22"
"1.75","1.0","2016","11","22"
"0.87","1.0","2016","11","22"
"0.87","1.0","2016","11","22"
"0.87","1.0","2016","11","22"
"0.87","1.0","2016","11","23"
"4.33","1.0","2016","11","25"
"3.48","1.0","2016","11","25"
"0.87","1.0","2016","11","25"
"0.87","2.9885057471264367","2016","11","25"
"1.75","1.0","2016","11","25"
"2.6","1.6653846153846155","2016","11","25"
"0.87","2.9885057471264367","2016","11","25"
"2.6","1.0","2016","11","25"
"1.75","1.0","2016","11","25"
"2.6","1.3384615384615384","2016","11","26"
"2.6","1.0","2016","11","26"
"0.87","2.9885057471264367","2016","11","26"
"0.87","2.9885057471264367","2016","11","26"
"1.75","1.4857142857142858","2016","11","26"
"0.87","1.0","2016","11","26"
"4.33","1.0","2016","11","26"
"0.87","2.9885057471264367","2016","11","26"
"2.6","1.0","2016","11","26"
"2.6","1.0","2016","11","26"
"4.33","1.2032332563510393","2016","11","26"
"1.75","2.474285714285714","2016","11","26"
"1.75","1.0","2016","11","26"
"4.33","1.4041570438799076","2016","11","26"
"2.6","2.3384615384615386","2016","11","26"
"0.87","4.0","2016","11","26"
"4.33","1.0","2016","11","26"
"1.75","2.474285714285714","2016","11","26"
"1.75","1.4857142857142858","2016","11","26"
"1.75","1.4857142857142858","2016","11","26"
"3.48","1.0","2016","11","26"
"1.75","1.4857142857142858","2016","11","26"
"3.48","1.4971264367816093","2016","11","26"
"0.87","4.977011494252873","2016","11","26"
"1.75","1.0","2016","11","26"
"0.87","4.0","2016","11","26"
"3.48","1.0","2016","11","26"
"1.75","1.0","2016","11","26"
"2.6","1.0","2016","11","26"
"0.87","2.0114942528735633","2016","11","26"
"1.75","2.9771428571428573","2016","11","26"
"0.87","4.0","2016","11","26"
"0.87","2.9885057471264367","2016","11","26"
"1.75","1.0","2016","11","26"
"1.75","1.0","2016","11","26"
"0.87","2.0114942528735633","2016","11","26"
"1.75","1.0","2016","11","26"
"1.75","1.4857142857142858","2016","11","26"
"1.75","1.0","2016","11","26"
"0.87","2.0114942528735633","2016","11","26"
"0.87","2.9885057471264367","2016","11","26"
"0.87","1.0","2016","11","26"
"0.87","1.0","2016","11","26"
"0.87","1.0","2016","11","26"
"1.75","1.0","2016","11","26"
"1.75","1.9885714285714287","2016","11","26"
"1.75","1.9885714285714287","2016","11","26"
"1.75","1.4857142857142858","2016","11","26"
"4.33","1.4041570438799076","2016","11","26"
"0.87","2.0114942528735633","2016","11","26"
"0.87","4.977011494252873","2016","11","26"
"1.75","1.0","2016","11","27"
"1.75","1.0","2016","11","27"
"2.6","1.0","2016","11","27"
"2.6","1.0","2016","11","27"
"1.75","1.4857142857142858","2016","11","27"
"3.48","1.2442528735632183","2016","11","27"
"1.75","2.9771428571428573","2016","11","27"
"5.21","1.0","2016","11","27"
"2.6","2.003846153846154","2016","11","27"
"1.75","1.9885714285714287","2016","11","27"
"3.48","1.0","2016","11","27"
"1.75","1.4857142857142858","2016","11","27"
"5.21","1.0","2016","11","27"
"5.21","1.834932821497121","2016","11","27"
"6.08","1.144736842105263","2016","11","27"
"4.33","1.0","2016","11","27"
"3.48","1.4971264367816093","2016","11","27"
"1.75","2.474285714285714","2016","11","27"
"5.21","1.0","2016","11","27"
"1.75","3.9771428571428573","2016","11","27"
"6.96","1.0","2016","11","27"
"4.33","1.8036951501154732","2016","11","27"
"4.33","1.8036951501154732","2016","11","27"
"6.08","1.2845394736842104","2016","11","27"
"8.69","1.0","2016","11","27"
"5.21","1.834932821497121","2016","11","27"
"5.21","1.4990403071017273","2016","11","27"
"1.75","4.965714285714285","2016","11","27"
"4.33","1.4041570438799076","2016","11","27"
"3.48","2.7471264367816093","2016","11","27"
"5.21","2.0038387715930903","2016","11","27"
"2.6","2.003846153846154","2016","11","27"
"6.96","1.2485632183908046","2016","11","27"
"5.21","1.4990403071017273","2016","11","27"
"3.48","1.7471264367816093","2016","11","27"
"6.08","1.144736842105263","2016","11","27"
"4.33","1.2032332563510393","2016","11","27"
"6.96","1.2485632183908046","2016","11","27"
"6.08","1.2845394736842104","2016","11","27"
"5.21","1.4990403071017273","2016","11","27"
"6.96","1.3735632183908046","2016","11","27"
"6.08","1.5723684210526316","2016","11","27"
"6.08","1.144736842105263","2016","11","27"
"7.81","1.2240717029449426","2016","11","27"
"6.08","1.4292763157894737","2016","11","27"
"2.6","2.003846153846154","2016","11","27"
"5.21","1.4990403071017273","2016","11","27"
"3.48","2.244252873563218","2016","11","27"
"5.21","1.4990403071017273","2016","11","27"
"6.96","1.122126436781609","2016","11","27"
"3.48","1.4971264367816093","2016","11","27"
"2.6","2.6769230769230767","2016","11","27"
"2.6","2.3384615384615386","2016","11","27"
"4.33","1.2032332563510393","2016","11","27"
"4.33","1.4041570438799076","2016","11","27"
"4.33","1.0","2016","11","27"
