"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.54","1.0","2006","07","02"
"0.54","6.981481481481481","2006","07","04"
"0.54","6.018518518518518","2006","07","04"
"1.61","2.0186335403726705","2006","07","04"
"1.61","3.3540372670807455","2006","07","04"
"0.54","4.0","2006","07","04"
"3.77","2.145888594164456","2006","07","04"
"4.86","2.8868312757201644","2006","07","06"
"2.7","2.996296296296296","2006","07","07"
"6.47","2.4188562596599694","2006","07","07"
"5.4","1.8962962962962961","2006","07","07"
"5.4","2.6999999999999997","2006","07","07"
"6.47","1.8361669242658425","2006","07","07"
"5.4","1.9981481481481478","2006","07","07"
"4.32","1.9976851851851853","2006","07","07"
"1.09","5.935779816513761","2006","07","07"
"2.16","2.7546296296296293","2006","07","07"
"3.77","1.8620689655172413","2006","07","07"
"1.61","3.3540372670807455","2006","07","07"
"3.77","1.5782493368700266","2006","07","07"
"4.32","1.6249999999999998","2006","07","07"
"0.54","11.018518518518517","2006","07","07"
"2.16","2.7546296296296293","2006","07","07"
"3.25","1.9907692307692306","2006","07","07"
"6.47","1.8361669242658425","2006","07","07"
"4.32","2.3703703703703702","2006","07","07"
"4.86","2.331275720164609","2006","07","07"
"4.86","2.551440329218107","2006","07","07"
"2.7","4.196296296296296","2006","07","07"
"4.32","1.8726851851851851","2006","07","08"
"2.7","2.2037037037037037","2006","07","08"
"0.54","2.0185185185185186","2006","07","08"
"2.16","2.0","2006","07","09"
"3.77","2.0","2006","07","09"
"2.16","2.7546296296296293","2006","07","09"
"2.16","2.7546296296296293","2006","07","09"
"2.7","3.196296296296296","2006","07","09"
"2.16","2.0","2006","07","09"
"1.09","2.9816513761467887","2006","07","09"
"1.61","3.018633540372671","2006","07","09"
"2.7","1.8","2006","07","09"
"1.61","2.6832298136645965","2006","07","09"
"3.25","1.830769230769231","2006","07","09"
"2.16","2.7546296296296293","2006","07","09"
"1.09","2.9816513761467887","2006","07","09"
"2.16","2.0","2006","07","09"
"1.61","2.0186335403726705","2006","07","09"
"2.7","2.5999999999999996","2006","07","09"
"1.61","3.3540372670807455","2006","07","09"
"1.61","3.018633540372671","2006","07","09"
"1.61","3.3540372670807455","2006","07","09"
"1.61","3.018633540372671","2006","07","11"
"4.86","2.664609053497942","2006","07","11"
"5.4","1.9981481481481478","2006","07","12"
"7.02","1.6923076923076925","2006","07","12"
"5.95","2.0840336134453783","2006","07","12"
"2.16","2.5","2006","07","12"
"1.61","2.6832298136645965","2006","07","12"
"0.54","5.0","2006","07","12"
"0.54","2.9814814814814814","2006","07","12"
"1.09","1.4770642201834863","2006","07","12"
"5.4","1.8","2006","07","12"
"5.4","2.498148148148148","2006","07","12"
"4.86","1.8868312757201644","2006","07","12"
"5.4","2.098148148148148","2006","07","12"
"10.24","1.6855468750000002","2006","07","12"
"5.95","1.9966386554621849","2006","07","12"
"5.4","2.6999999999999997","2006","07","12"
"3.77","3.2891246684350133","2006","07","13"
"3.25","1.830769230769231","2006","07","13"
"1.61","3.6956521739130435","2006","07","13"
"1.09","1.4770642201834863","2006","07","13"
"6.47","1.751159196290572","2006","07","13"
"5.4","1.598148148148148","2006","07","13"
"4.32","1.6249999999999998","2006","07","13"
"1.09","4.954128440366972","2006","07","13"
"3.77","2.5782493368700266","2006","07","13"
"5.4","2.2962962962962963","2006","07","13"
"5.95","1.8134453781512603","2006","07","13"
"4.32","2.4976851851851847","2006","07","13"
"2.7","2.5999999999999996","2006","07","13"
"0.54","5.0","2006","07","13"
"2.7","2.0","2006","07","13"
"1.09","3.9633027522935778","2006","07","13"
"4.86","1.7757201646090535","2006","07","13"
"4.86","2.1069958847736623","2006","07","13"
"2.7","3.6","2006","07","13"
"2.7","2.7925925925925923","2006","07","13"
"5.4","1.8","2006","07","13"
"3.77","2.716180371352785","2006","07","13"
"4.32","1.8726851851851851","2006","07","13"
"2.16","3.4907407407407405","2006","07","14"
"0.54","2.0185185185185186","2006","07","14"
"0.54","5.0","2006","07","14"
"0.54","2.0185185185185186","2006","07","14"
"0.54","2.0185185185185186","2006","07","14"
"1.61","1.6770186335403727","2006","07","14"
"1.09","1.4770642201834863","2006","07","14"
"1.09","1.4770642201834863","2006","07","14"
"1.09","2.477064220183486","2006","07","14"
"0.54","4.0","2006","07","14"
"0.54","4.0","2006","07","15"
"0.54","2.0185185185185186","2006","07","15"
"2.7","1.6","2006","07","15"
"1.61","2.6832298136645965","2006","07","15"
"4.32","1.4976851851851851","2006","07","15"
"3.25","1.6615384615384616","2006","07","15"
"0.54","5.0","2006","07","15"
"2.16","2.25","2006","07","15"
"2.16","2.25","2006","07","15"
"1.09","4.954128440366972","2006","07","15"
"0.54","5.0","2006","07","15"
"2.16","2.7546296296296293","2006","07","15"
"3.77","1.5782493368700266","2006","07","15"
"0.54","5.0","2006","07","15"
"1.09","4.954128440366972","2006","07","15"
"3.25","1.6615384615384616","2006","07","15"
"3.77","1.5782493368700266","2006","07","15"
"2.16","2.5","2006","07","15"
"1.09","3.9633027522935778","2006","07","15"
"2.7","2.2037037037037037","2006","07","16"
"2.7","2.0","2006","07","16"
"0.54","2.9814814814814814","2006","07","16"
"0.54","2.0185185185185186","2006","07","16"
"0.54","2.0185185185185186","2006","07","16"
"0.54","4.0","2006","07","16"
"0.54","2.0185185185185186","2006","07","16"
"1.09","2.477064220183486","2006","07","16"
"0.54","2.9814814814814814","2006","07","16"
"0.54","2.9814814814814814","2006","07","16"
"1.09","2.477064220183486","2006","07","16"
"0.54","6.018518518518518","2006","07","16"
"2.16","1.7453703703703702","2006","07","17"
"0.54","4.0","2006","07","17"
"0.54","5.0","2006","07","17"
"0.54","4.0","2006","07","18"
"1.09","2.477064220183486","2006","07","18"
"1.09","2.477064220183486","2006","07","18"
"0.54","2.0185185185185186","2006","07","18"
"1.61","1.6770186335403727","2006","07","18"
"1.09","1.4770642201834863","2006","07","18"
"1.09","1.4770642201834863","2006","07","19"
"2.7","2.5999999999999996","2006","07","19"
"3.25","2.990769230769231","2006","07","19"
"5.95","2.0840336134453783","2006","07","19"
"6.47","2.001545595054096","2006","07","20"
"6.47","1.751159196290572","2006","07","20"
"5.95","2.3579831932773105","2006","07","20"
"2.7","3.6","2006","07","20"
"5.95","1.9966386554621849","2006","07","20"
"4.32","1.9976851851851853","2006","07","20"
"3.77","2.2891246684350133","2006","07","20"
"8.09","2.4004944375772563","2006","07","20"
"2.7","1.3962962962962961","2006","07","20"
"1.61","2.6832298136645965","2006","07","20"
"5.4","1.8","2006","07","20"
"1.61","2.0186335403726705","2006","07","20"
"1.09","1.9816513761467889","2006","07","20"
"3.77","3.0053050397877983","2006","07","20"
"7.54","1.6445623342175066","2006","07","20"
"3.77","2.145888594164456","2006","07","20"
"3.25","3.6553846153846155","2006","07","20"
"8.09","2.4004944375772563","2006","07","20"
"5.95","2.4504201680672266","2006","07","20"
"6.47","2.001545595054096","2006","07","20"
"7.02","2.458689458689459","2006","07","20"
"7.54","2.362068965517241","2006","07","21"
"8.09","2.2014833127317677","2006","07","21"
"8.63","2.250289687137891","2006","07","21"
"9.17","1.8255179934569246","2006","07","21"
"5.95","2.4504201680672266","2006","07","21"
"3.25","2.32","2006","07","21"
"7.02","1.7663817663817665","2006","07","21"
"4.32","1.8726851851851851","2006","07","21"
"3.25","2.32","2006","07","21"
"4.86","1.551440329218107","2006","07","21"
"3.77","2.5782493368700266","2006","07","21"
"4.32","1.7453703703703702","2006","07","21"
"3.25","1.830769230769231","2006","07","21"
"1.61","3.6956521739130435","2006","07","21"
"2.16","2.25","2006","07","21"
"0.54","11.018518518518517","2006","07","21"
"1.09","2.477064220183486","2006","07","22"
"0.54","6.018518518518518","2006","07","22"
"3.77","1.5782493368700266","2006","07","22"
"1.09","2.9816513761467887","2006","07","22"
"1.61","2.341614906832298","2006","07","22"
"1.61","2.341614906832298","2006","07","22"
"2.16","1.7453703703703702","2006","07","22"
"1.09","1.4770642201834863","2006","07","22"
"1.61","1.6770186335403727","2006","07","22"
"0.54","2.9814814814814814","2006","07","22"
"1.09","1.4770642201834863","2006","07","22"
"0.54","2.0185185185185186","2006","07","22"
"1.09","2.477064220183486","2006","07","22"
"0.54","10.0","2006","07","22"
"4.32","1.6249999999999998","2006","07","23"
"2.7","2.396296296296296","2006","07","23"
"4.86","1.7757201646090535","2006","07","23"
"3.77","1.716180371352785","2006","07","23"
"1.09","2.9816513761467887","2006","07","23"
"2.16","1.5046296296296295","2006","07","23"
"1.09","2.477064220183486","2006","07","23"
"1.09","3.458715596330275","2006","07","23"
"0.54","4.0","2006","07","23"
"1.61","2.0186335403726705","2006","07","23"
"4.86","1.7757201646090535","2006","07","23"
"8.09","1.8022249690976515","2006","07","23"
"2.7","2.396296296296296","2006","07","24"
"4.86","1.551440329218107","2006","07","24"
"3.77","1.8620689655172413","2006","07","24"
"5.4","1.498148148148148","2006","07","24"
"5.4","1.3962962962962961","2006","07","24"
"5.4","1.498148148148148","2006","07","24"
"5.95","1.6336134453781512","2006","07","24"
"2.7","2.0","2006","07","24"
"2.16","2.7546296296296293","2006","07","24"
"0.54","11.018518518518517","2006","07","24"
"5.4","1.8","2006","07","24"
"6.47","1.582689335394127","2006","07","24"
"2.7","1.8","2006","07","24"
"2.7","2.2037037037037037","2006","07","24"
"4.86","2.0","2006","07","24"
"4.86","1.7757201646090535","2006","07","24"
"6.47","2.001545595054096","2006","07","24"
"7.54","1.8607427055702916","2006","07","24"
"5.95","1.9966386554621849","2006","07","24"
"9.17","1.6466739367502725","2006","07","24"
"8.63","1.6257242178447275","2006","07","24"
"7.02","1.613960113960114","2006","07","24"
"5.95","1.9042016806722688","2006","07","24"
"5.95","1.5411764705882351","2006","07","24"
"7.54","1.8607427055702916","2006","07","24"
"7.54","1.7891246684350133","2006","07","24"
"5.95","2.0840336134453783","2006","07","25"
"5.95","1.8134453781512603","2006","07","25"
"4.32","2.4976851851851847","2006","07","25"
"1.09","2.9816513761467887","2006","07","25"
"2.7","2.2037037037037037","2006","07","25"
"2.7","1.3962962962962961","2006","07","25"
"0.54","2.9814814814814814","2006","07","25"
"1.09","2.9816513761467887","2006","07","25"
"2.7","2.0","2006","07","25"
"2.7","2.5999999999999996","2006","07","25"
"1.61","5.024844720496894","2006","07","25"
"4.86","2.2201646090534974","2006","07","25"
"7.54","1.6445623342175066","2006","07","25"
"5.4","2.2962962962962963","2006","07","25"
"7.54","1.5755968169761274","2006","07","25"
"5.95","2.0840336134453783","2006","07","25"
"5.95","2.53781512605042","2006","07","25"
"8.09","2.00123609394314","2006","07","25"
"6.47","2.001545595054096","2006","07","25"
"5.4","1.9981481481481478","2006","07","26"
"3.77","2.716180371352785","2006","07","26"
"3.25","1.9907692307692306","2006","07","26"
"5.4","2.2","2006","07","26"
"5.4","2.2","2006","07","26"
"6.47","2.2534775888717156","2006","07","26"
"6.47","2.2534775888717156","2006","07","26"
"6.47","2.001545595054096","2006","07","26"
"6.47","1.751159196290572","2006","07","26"
"6.47","1.751159196290572","2006","07","26"
"6.47","2.3338485316846986","2006","07","26"
"3.25","3.1507692307692308","2006","07","26"
"3.77","3.0053050397877983","2006","07","26"
"4.86","2.664609053497942","2006","07","26"
"5.4","1.9981481481481478","2006","07","26"
"5.95","1.8134453781512603","2006","07","26"
"4.86","1.7757201646090535","2006","07","26"
"2.16","1.7453703703703702","2006","07","27"
"2.7","1.8","2006","07","27"
"1.09","2.477064220183486","2006","07","27"
"1.61","1.6770186335403727","2006","07","27"
"0.54","2.9814814814814814","2006","07","27"
"1.09","1.4770642201834863","2006","07","27"
"0.54","4.0","2006","07","27"
"2.7","1.3962962962962961","2006","07","27"
"2.7","1.3962962962962961","2006","07","27"
"1.61","2.341614906832298","2006","07","27"
"1.09","2.477064220183486","2006","07","27"
"3.25","1.9907692307692306","2006","07","27"
"1.61","3.018633540372671","2006","07","27"
"4.32","1.4976851851851851","2006","07","27"
"1.09","3.9633027522935778","2006","07","27"
"0.54","5.0","2006","07","28"
"0.54","1.0","2006","07","28"
"0.54","1.0","2006","07","30"
"0.54","2.0185185185185186","2006","07","30"
"1.61","3.018633540372671","2006","07","30"
"8.09","1.9344870210135972","2006","07","30"
"7.54","2.147214854111406","2006","07","30"
"7.02","2.537037037037037","2006","07","30"
"6.47","2.6676970633693977","2006","07","30"
"4.86","2.551440329218107","2006","07","30"
"3.77","3.2891246684350133","2006","07","30"
"5.4","2.498148148148148","2006","07","30"
"4.86","2.1069958847736623","2006","07","30"
"8.63","1.6894553881807646","2006","07","30"
"7.02","2.076923076923077","2006","07","30"
"9.17","1.5899672846237731","2006","07","31"
"5.95","2.53781512605042","2006","07","31"
"5.95","2.176470588235294","2006","07","31"
"3.77","2.4323607427055705","2006","07","31"
"5.4","1.8962962962962961","2006","07","31"
"6.47","1.667697063369397","2006","07","31"
"4.86","1.7757201646090535","2006","07","31"
"5.4","1.698148148148148","2006","07","31"
"5.4","1.698148148148148","2006","07","31"
"4.32","2.3703703703703702","2006","07","31"
"4.86","2.2201646090534974","2006","07","31"
"5.95","2.0840336134453783","2006","07","31"
"6.47","2.001545595054096","2006","07","31"
"6.47","2.502318392581144","2006","07","31"
"7.02","2.2293447293447297","2006","07","31"
"9.72","1.6656378600823045","2006","07","31"
"7.54","2.147214854111406","2006","07","31"
"7.54","1.8607427055702916","2006","07","31"
"8.09","1.8022249690976515","2006","07","31"
"5.95","2.53781512605042","2006","08","01"
"5.4","1.8962962962962961","2006","08","01"
"6.47","2.085007727975271","2006","08","01"
"4.32","1.9976851851851853","2006","08","01"
"4.32","2.3703703703703702","2006","08","01"
"4.86","1.8868312757201644","2006","08","01"
"5.4","1.8","2006","08","01"
"5.4","1.8962962962962961","2006","08","01"
"6.47","1.9165378670788256","2006","08","01"
"6.47","2.2534775888717156","2006","08","01"
"5.95","1.8134453781512603","2006","08","01"
"5.95","1.8134453781512603","2006","08","01"
"5.95","1.7210084033613444","2006","08","01"
"5.95","1.6336134453781512","2006","08","01"
"4.86","1.8868312757201644","2006","08","01"
"5.4","1.698148148148148","2006","08","01"
"4.32","1.8726851851851851","2006","08","01"
"5.95","1.9042016806722688","2006","08","01"
"5.4","2.2","2006","08","01"
"6.47","1.9165378670788256","2006","08","01"
"4.86","2.7757201646090532","2006","08","01"
"6.47","1.9165378670788256","2006","08","01"
"6.47","2.1684698608964452","2006","08","01"
"7.54","2.7201591511936343","2006","08","01"
"5.95","2.176470588235294","2006","08","02"
"4.86","2.551440329218107","2006","08","02"
"6.47","1.9165378670788256","2006","08","02"
"6.47","2.085007727975271","2006","08","02"
"4.86","2.8868312757201644","2006","08","02"
"4.86","2.664609053497942","2006","08","02"
"5.4","2.6999999999999997","2006","08","02"
"6.47","1.582689335394127","2006","08","02"
"4.32","2.122685185185185","2006","08","02"
"3.25","2.32","2006","08","02"
"6.47","1.667697063369397","2006","08","02"
"3.25","2.990769230769231","2006","08","02"
"4.32","1.8726851851851851","2006","08","02"
"4.32","1.6249999999999998","2006","08","02"
"2.7","1.6","2006","08","02"
"4.86","1.6646090534979423","2006","08","02"
"2.7","2.396296296296296","2006","08","02"
"3.77","1.5782493368700266","2006","08","02"
"3.25","2.32","2006","08","02"
"5.4","1.8","2006","08","02"
"5.4","1.698148148148148","2006","08","02"
"5.95","2.176470588235294","2006","08","02"
"6.47","1.9165378670788256","2006","08","02"
"6.47","1.667697063369397","2006","08","02"
"3.77","3.86737400530504","2006","08","02"
"7.54","1.6445623342175066","2006","08","02"
"6.47","2.2534775888717156","2006","08","03"
"5.95","1.7210084033613444","2006","08","03"
"3.77","2.4323607427055705","2006","08","03"
"2.7","2.0","2006","08","03"
"2.7","2.2037037037037037","2006","08","03"
"3.25","1.9907692307692306","2006","08","03"
"2.7","1.3962962962962961","2006","08","03"
"4.32","1.8726851851851851","2006","08","03"
"3.25","2.32","2006","08","03"
"1.61","2.6832298136645965","2006","08","03"
"1.61","3.6956521739130435","2006","08","03"
"3.25","1.830769230769231","2006","08","03"
"2.7","2.396296296296296","2006","08","03"
"2.16","2.25","2006","08","03"
"1.09","4.954128440366972","2006","08","03"
"1.61","1.6770186335403727","2006","08","03"
"3.25","1.830769230769231","2006","08","03"
"0.54","10.0","2006","08","03"
"2.7","2.0","2006","08","03"
"3.25","2.6553846153846155","2006","08","03"
"4.32","2.75","2006","08","03"
"3.77","1.8620689655172413","2006","08","03"
"2.7","2.7925925925925923","2006","08","03"
"1.61","3.3540372670807455","2006","08","04"
"1.61","3.6956521739130435","2006","08","04"
"1.61","2.341614906832298","2006","08","04"
"2.7","1.8","2006","08","04"
"0.54","2.9814814814814814","2006","08","04"
"1.09","2.477064220183486","2006","08","04"
"0.54","6.981481481481481","2006","08","04"
"1.09","1.9816513761467889","2006","08","04"
"0.54","6.018518518518518","2006","08","04"
"1.61","3.3540372670807455","2006","08","04"
"2.7","2.0","2006","08","04"
"2.16","1.5046296296296295","2006","08","04"
"4.32","2.3703703703703702","2006","08","04"
"5.4","1.9981481481481478","2006","08","04"
"4.86","1.8868312757201644","2006","08","04"
"5.4","1.8962962962962961","2006","08","04"
"4.32","2.122685185185185","2006","08","04"
"3.25","2.32","2006","08","04"
"3.77","1.716180371352785","2006","08","05"
"5.95","1.5411764705882351","2006","08","05"
"4.32","1.8726851851851851","2006","08","05"
"1.09","2.9816513761467887","2006","08","05"
"2.16","2.9953703703703702","2006","08","05"
"1.09","2.9816513761467887","2006","08","05"
"2.16","2.25","2006","08","05"
"3.25","2.32","2006","08","05"
"1.09","3.458715596330275","2006","08","05"
"2.16","2.25","2006","08","05"
"2.16","2.5","2006","08","05"
"2.7","2.2037037037037037","2006","08","05"
"2.16","2.9953703703703702","2006","08","05"
"3.77","2.716180371352785","2006","08","05"
"8.09","2.00123609394314","2006","08","05"
"5.4","3.298148148148148","2006","08","05"
"5.95","2.176470588235294","2006","08","05"
"8.09","1.9344870210135972","2006","08","05"
"8.09","1.9344870210135972","2006","08","05"
"8.09","2.069221260815822","2006","08","05"
"9.72","1.8858024691358022","2006","08","06"
"8.09","2.00123609394314","2006","08","06"
"7.02","2.150997150997151","2006","08","06"
"6.47","1.8361669242658425","2006","08","06"
"5.95","1.9042016806722688","2006","08","06"
"4.32","2.622685185185185","2006","08","06"
"7.54","1.7175066312997347","2006","08","06"
"4.86","2.331275720164609","2006","08","06"
"5.95","1.9042016806722688","2006","08","06"
"4.86","2.1069958847736623","2006","08","06"
"5.4","1.8","2006","08","06"
"3.25","3.4861538461538464","2006","08","06"
"4.86","2.331275720164609","2006","08","06"
"6.47","1.9165378670788256","2006","08","06"
"4.32","1.9976851851851853","2006","08","06"
"4.86","1.7757201646090535","2006","08","06"
"1.61","2.6832298136645965","2006","08","06"
"0.54","11.018518518518517","2006","08","06"
"1.61","1.6770186335403727","2006","08","08"
"5.95","1.9042016806722688","2006","08","08"
"5.4","2.2962962962962963","2006","08","08"
"1.61","1.6770186335403727","2006","08","08"
"0.54","4.0","2006","08","08"
"3.25","1.830769230769231","2006","08","08"
"1.61","2.0186335403726705","2006","08","08"
"1.09","1.9816513761467889","2006","08","08"
"2.16","2.0","2006","08","08"
"3.77","1.8620689655172413","2006","08","08"
"2.7","2.7925925925925923","2006","08","08"
"1.09","1.4770642201834863","2006","08","08"
"3.25","1.9907692307692306","2006","08","08"
"3.77","2.4323607427055705","2006","08","08"
"5.95","1.9042016806722688","2006","08","08"
"4.86","1.7757201646090535","2006","08","08"
"2.16","2.0","2006","08","09"
"1.09","2.9816513761467887","2006","08","09"
"1.61","2.6832298136645965","2006","08","09"
"1.61","2.0186335403726705","2006","08","09"
"1.09","4.458715596330276","2006","08","09"
"2.16","2.5","2006","08","09"
"0.54","6.018518518518518","2006","08","09"
"1.09","1.9816513761467889","2006","08","09"
"1.61","3.018633540372671","2006","08","09"
"2.16","2.0","2006","08","09"
"2.7","2.396296296296296","2006","08","09"
"2.7","2.396296296296296","2006","08","09"
"4.32","2.122685185185185","2006","08","09"
"4.86","1.6646090534979423","2006","08","09"
"3.77","1.8620689655172413","2006","08","09"
"3.25","2.32","2006","08","09"
"3.77","1.8620689655172413","2006","08","10"
"1.09","4.954128440366972","2006","08","10"
"2.7","2.0","2006","08","10"
"1.09","1.9816513761467889","2006","08","10"
"1.09","2.477064220183486","2006","08","10"
"2.16","2.5","2006","08","10"
"1.61","3.6956521739130435","2006","08","10"
"1.09","1.9816513761467889","2006","08","10"
"2.16","1.5046296296296295","2006","08","10"
"0.54","5.0","2006","08","11"
"3.77","1.716180371352785","2006","08","11"
"0.54","6.981481481481481","2006","08","11"
"0.54","2.0185185185185186","2006","08","11"
"1.09","2.477064220183486","2006","08","11"
"0.54","2.9814814814814814","2006","08","11"
"0.54","2.9814814814814814","2006","08","11"
"0.54","2.0185185185185186","2006","08","11"
"1.61","1.6770186335403727","2006","08","11"
"2.7","1.8","2006","08","11"
"2.7","2.2037037037037037","2006","08","11"
"2.7","2.0","2006","08","11"
"3.25","2.6553846153846155","2006","08","11"
"3.25","2.4892307692307694","2006","08","11"
"3.77","2.716180371352785","2006","08","11"
"0.54","10.0","2006","08","11"
"3.77","1.8620689655172413","2006","08","11"
"5.95","1.6336134453781512","2006","08","11"
"5.95","1.9042016806722688","2006","08","12"
"5.95","2.2672268907563025","2006","08","12"
"8.09","1.5327564894932015","2006","08","12"
"5.4","2.498148148148148","2006","08","12"
"7.54","1.7891246684350133","2006","08","12"
"7.54","1.7175066312997347","2006","08","12"
"6.47","2.3338485316846986","2006","08","12"
"5.95","2.4504201680672266","2006","08","12"
"5.95","2.176470588235294","2006","08","12"
"5.4","1.8962962962962961","2006","08","12"
"4.32","2.25","2006","08","12"
"3.25","3.8153846153846156","2006","08","12"
"3.77","2.4323607427055705","2006","08","12"
"2.7","3.196296296296296","2006","08","12"
"3.25","2.32","2006","08","12"
"3.77","2.862068965517241","2006","08","12"
"3.25","1.9907692307692306","2006","08","12"
"4.32","1.7453703703703702","2006","08","12"
"2.7","2.996296296296296","2006","08","13"
"0.54","2.9814814814814814","2006","08","13"
"2.7","1.6","2006","08","13"
"1.09","2.477064220183486","2006","08","13"
"2.7","1.8","2006","08","13"
"2.7","2.0","2006","08","13"
"2.7","1.3962962962962961","2006","08","13"
"0.54","4.0","2006","08","13"
"0.54","6.981481481481481","2006","08","13"
"3.77","2.0","2006","08","13"
"3.77","1.716180371352785","2006","08","13"
"3.77","2.0","2006","08","14"
"4.86","1.8868312757201644","2006","08","14"
"2.7","2.2037037037037037","2006","08","14"
"0.54","5.0","2006","08","14"
"2.7","1.8","2006","08","14"
"0.54","2.9814814814814814","2006","08","14"
"0.54","2.9814814814814814","2006","08","14"
"0.54","6.981481481481481","2006","08","14"
"1.61","1.6770186335403727","2006","08","14"
"1.61","1.6770186335403727","2006","08","14"
"0.54","5.0","2006","08","14"
"1.09","1.4770642201834863","2006","08","14"
"1.09","1.9816513761467889","2006","08","14"
"1.09","2.477064220183486","2006","08","14"
"0.54","2.9814814814814814","2006","08","14"
"2.16","1.5046296296296295","2006","08","14"
"1.09","1.4770642201834863","2006","08","15"
"1.09","2.477064220183486","2006","08","15"
"1.09","1.4770642201834863","2006","08","15"
"0.54","1.0","2006","08","15"
"1.09","1.4770642201834863","2006","08","15"
"0.54","2.9814814814814814","2006","08","15"
"1.09","2.9816513761467887","2006","08","15"
"0.54","2.9814814814814814","2006","08","15"
"0.54","5.0","2006","08","15"
"1.09","2.477064220183486","2006","08","15"
"1.61","2.0186335403726705","2006","08","15"
"0.54","5.0","2006","08","15"
"0.54","6.981481481481481","2006","08","15"
"0.54","5.0","2006","08","15"
"1.09","2.477064220183486","2006","08","15"
"2.16","2.25","2006","08","15"
"2.16","1.5046296296296295","2006","08","16"
"1.09","1.4770642201834863","2006","08","16"
"0.54","4.0","2006","08","16"
"0.54","5.0","2006","08","16"
"2.16","2.5","2006","08","16"
"0.54","4.0","2006","08","16"
"0.54","6.018518518518518","2006","08","16"
"1.61","2.0186335403726705","2006","08","16"
"0.54","4.0","2006","08","16"
"1.09","2.9816513761467887","2006","08","16"
"3.25","2.32","2006","08","16"
"7.02","2.076923076923077","2006","08","16"
"5.4","2.2962962962962963","2006","08","16"
"4.86","2.1069958847736623","2006","08","16"
"5.4","2.398148148148148","2006","08","16"
"8.09","1.8022249690976515","2006","08","16"
"7.02","2.306267806267807","2006","08","16"
"8.09","1.8665018541409146","2006","08","17"
"8.63","1.5631517960602548","2006","08","17"
"7.02","1.7663817663817665","2006","08","17"
"4.32","2.3703703703703702","2006","08","17"
"5.95","2.3579831932773105","2006","08","17"
"4.86","2.551440329218107","2006","08","17"
"4.32","2.8703703703703702","2006","08","17"
"4.32","2.3703703703703702","2006","08","17"
"1.61","3.018633540372671","2006","08","17"
"2.7","2.0","2006","08","17"
"1.61","2.6832298136645965","2006","08","17"
"2.7","1.8","2006","08","17"
"3.25","1.830769230769231","2006","08","17"
"5.4","2.2962962962962963","2006","08","17"
"4.32","2.75","2006","08","17"
"5.4","2.6999999999999997","2006","08","17"
"1.09","3.458715596330275","2006","08","17"
"1.09","3.9633027522935778","2006","08","17"
"4.86","1.7757201646090535","2006","08","17"
"0.54","2.0185185185185186","2006","08","18"
"1.61","3.018633540372671","2006","08","18"
"5.95","2.4504201680672266","2006","08","18"
"7.02","1.9985754985754987","2006","08","18"
"6.47","2.085007727975271","2006","08","18"
"5.95","1.9042016806722688","2006","08","18"
