"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","1.8018018018018018","2002","12","30"
"11.0","2.0","2003","01","03"
"7.0","3.2857142857142856","2003","01","05"
"8.01","1.4968789013732835","2003","01","24"
"11.99","1.6680567139282736","2003","01","25"
"8.01","1.873907615480649","2003","01","25"
"9.99","2.002002002002002","2003","01","25"
"9.99","1.8018018018018018","2003","01","29"
"9.99","1.6016016016016015","2003","03","15"
"8.01","1.4968789013732835","2003","03","15"
"8.01","2.1235955056179776","2003","03","15"
"9.99","1.8018018018018018","2003","03","16"
"8.01","1.9975031210986267","2003","03","16"
"9.99","1.7027027027027029","2003","07","19"
"9.99","1.5025025025025025","2003","07","19"
"6.01","3.1597337770382694","2003","09","02"
"9.99","1.8018018018018018","2003","09","02"
"6.01","2.497504159733777","2003","09","07"
"9.99","1.6016016016016015","2003","09","24"
"5.0","3.7979999999999996","2003","09","27"
"9.99","1.7027027027027029","2003","09","28"
"9.0","2.0","2003","09","28"
"5.0","2.398","2003","10","05"
"8.01","2.3707865168539324","2003","10","13"
"15.01","1.798800799467022","2003","12","22"
"5.0","3.002","2003","12","29"
"9.0","2.332222222222222","2004","01","08"
"11.0","2.5445454545454544","2004","01","08"
"7.0","2.998571428571428","2004","01","08"
"5.0","3.002","2004","01","08"
"9.0","2.4444444444444446","2004","01","17"
"9.99","2.1011011011011007","2004","01","17"
"9.0","2.4444444444444446","2004","01","17"
"11.0","1.908181818181818","2004","01","20"
"11.99","1.6680567139282736","2004","01","20"
"7.0","2.2857142857142856","2004","01","26"
"11.99","1.5012510425354462","2004","01","27"
"8.01","1.873907615480649","2004","01","30"
"8.01","2.4968789013732833","2004","02","05"
"6.01","3.1597337770382694","2004","02","17"
"9.99","1.8018018018018018","2004","02","17"
"9.99","1.9009009009009008","2004","02","25"
"7.0","2.7128571428571426","2004","03","03"
"9.99","3.0020020020020017","2004","03","07"
"7.0","2.7128571428571426","2004","03","21"
"7.0","3.5714285714285716","2004","03","23"
"7.0","2.5714285714285716","2004","03","23"
"9.99","2.002002002002002","2004","03","28"
"9.99","1.8018018018018018","2004","04","07"
"8.01","1.4968789013732835","2004","04","07"
"8.01","1.7478152309612984","2004","04","07"
"11.99","1.5012510425354462","2004","05","01"
"11.0","1.908181818181818","2004","05","01"
"9.99","1.7027027027027029","2004","06","03"
"9.0","2.11","2004","08","10"
"11.99","1.5012510425354462","2004","08","22"
"9.0","2.4444444444444446","2004","09","10"
"8.01","2.247191011235955","2004","11","15"
"6.01","2.995008319467554","2004","12","07"
"5.0","3.402","2004","12","08"
"6.01","2.8302828618968388","2004","12","09"
"7.0","2.43","2004","12","13"
"8.01","2.1235955056179776","2004","12","15"
"9.0","2.0","2004","12","15"
"9.0","2.7777777777777777","2005","01","19"
"8.01","2.746566791510612","2005","01","19"
"7.0","2.5714285714285716","2005","01","19"
"9.0","2.667777777777778","2005","01","20"
"9.99","2.4034034034034035","2005","01","20"
"9.99","2.3023023023023024","2005","01","20"
"8.01","2.247191011235955","2005","01","21"
"11.0","1.908181818181818","2005","01","21"
"7.0","3.857142857142857","2005","01","21"
"9.99","2.1011011011011007","2005","01","22"
"11.0","2.0","2005","02","07"
"11.99","1.5012510425354462","2005","02","26"
"11.99","1.5012510425354462","2005","02","26"
"9.99","1.7027027027027029","2005","03","26"
"9.99","1.6016016016016015","2005","03","26"
"9.0","2.0","2005","09","02"
"9.99","1.8018018018018018","2005","09","18"
"15.01","1.665556295802798","2005","10","22"
"8.01","1.873907615480649","2005","11","08"
"9.0","2.11","2005","12","01"
"9.0","2.0","2005","12","01"
"5.0","3.002","2005","12","03"
"11.0","1.8181818181818181","2005","12","14"
"9.99","2.002002002002002","2005","12","18"
"9.99","1.8018018018018018","2005","12","18"
"9.99","2.3023023023023024","2005","12","20"
"9.99","2.002002002002002","2005","12","21"
"9.99","1.8018018018018018","2005","12","21"
"9.99","2.002002002002002","2005","12","22"
"11.99","1.8348623853211008","2005","12","22"
"9.0","2.2222222222222223","2005","12","27"
"8.01","2.247191011235955","2005","12","27"
"9.99","1.5025025025025025","2006","01","07"
"8.01","2.4968789013732833","2006","01","08"
"8.01","2.871410736579276","2006","01","08"
"9.0","2.4444444444444446","2006","01","09"
"9.99","2.002002002002002","2006","01","16"
"7.0","2.43","2006","01","16"
"9.99","2.002002002002002","2006","01","31"
"9.0","2.332222222222222","2006","02","01"
"9.99","2.2022022022022023","2006","02","07"
"9.99","1.5025025025025025","2006","02","09"
"9.99","2.3023023023023024","2006","02","10"
"7.0","2.857142857142857","2006","02","10"
"13.0","1.8469230769230771","2006","02","11"
"7.0","3.142857142857143","2006","02","28"
"8.01","1.873907615480649","2006","02","28"
"5.0","3.002","2006","03","12"
"9.99","1.5025025025025025","2006","04","24"
"8.01","2.247191011235955","2006","06","25"
"9.99","2.1011011011011007","2006","08","28"
"9.0","2.2222222222222223","2006","09","04"
"11.0","1.908181818181818","2006","09","04"
"9.99","1.8018018018018018","2006","09","07"
"9.99","1.8018018018018018","2006","09","24"
"8.01","1.4968789013732835","2006","09","24"
"8.01","1.4968789013732835","2006","10","09"
"8.01","1.873907615480649","2006","11","12"
"6.01","2.497504159733777","2006","11","12"
"6.01","3.492512479201331","2006","11","20"
"9.99","2.002002002002002","2006","12","17"
"8.01","1.7478152309612984","2007","01","17"
"9.99","1.8018018018018018","2007","02","03"
"5.0","3.7979999999999996","2007","02","04"
"9.99","1.5025025025025025","2007","02","04"
"11.99","1.7506255212677229","2007","02","04"
"9.99","1.5025025025025025","2007","02","06"
"11.99","1.6680567139282736","2007","02","06"
"7.0","2.5714285714285716","2007","02","06"
"9.0","2.11","2007","02","11"
"11.0","2.182727272727273","2007","02","23"
"14.0","2.2857142857142856","2007","02","23"
"9.99","2.3023023023023024","2007","02","23"
"9.0","2.11","2007","02","23"
"9.0","2.7777777777777777","2007","03","01"
"9.99","2.1011011011011007","2007","03","05"
"16.0","2.9375","2007","03","05"
"14.0","2.2142857142857144","2007","03","06"
"11.0","2.3645454545454547","2007","03","06"
"9.99","2.1011011011011007","2007","03","06"
"8.01","2.746566791510612","2007","03","10"
"5.0","3.2","2007","03","10"
"9.0","3.2222222222222223","2007","03","10"
"7.0","2.5714285714285716","2007","03","10"
"7.0","2.5714285714285716","2007","03","28"
"9.99","2.002002002002002","2007","04","05"
"9.0","2.0","2007","04","05"
"15.01","1.665556295802798","2007","04","05"
"9.99","2.1011011011011007","2007","04","05"
"8.01","2.871410736579276","2007","04","07"
"11.0","1.6363636363636365","2007","04","12"
"9.99","1.9009009009009008","2007","04","12"
"9.99","2.002002002002002","2007","04","26"
"9.99","1.7027027027027029","2007","04","30"
"11.0","1.7263636363636363","2007","05","14"
"9.99","2.002002002002002","2007","05","16"
"9.99","1.9009009009009008","2007","05","16"
"8.01","2.3707865168539324","2007","05","16"
"7.0","2.2857142857142856","2007","05","22"
"8.01","1.873907615480649","2007","05","25"
"9.0","2.11","2007","05","25"
"8.01","2.4968789013732833","2007","06","02"
"9.99","1.6016016016016015","2007","06","04"
"9.99","1.9009009009009008","2007","06","04"
"8.01","1.9975031210986267","2007","08","27"
"8.01","2.247191011235955","2007","08","27"
"7.0","2.7128571428571426","2007","08","27"
"9.99","1.5025025025025025","2007","09","15"
"8.01","1.873907615480649","2007","10","30"
"8.01","1.4968789013732835","2007","10","30"
"9.0","2.11","2007","11","20"
"8.01","1.873907615480649","2007","11","21"
"8.01","2.620474406991261","2007","11","21"
"8.01","2.871410736579276","2007","12","14"
"11.99","2.9199332777314426","2007","12","23"
"8.01","1.873907615480649","2007","12","23"
"11.99","2.2518765638031693","2007","12","23"
"8.01","2.997503121098627","2007","12","29"
"9.99","2.1011011011011007","2008","01","02"
"8.01","2.746566791510612","2008","01","02"
"8.01","1.873907615480649","2008","02","01"
"9.99","1.9009009009009008","2008","02","03"
"9.99","2.2022022022022023","2008","02","03"
"8.01","2.746566791510612","2008","02","10"
"11.0","2.182727272727273","2008","02","19"
"9.99","2.6036036036036037","2008","02","19"
"9.99","1.9009009009009008","2008","02","19"
"8.01","1.4968789013732835","2008","02","24"
"8.01","1.7478152309612984","2008","02","26"
"5.0","3.002","2008","03","22"
"7.0","2.5714285714285716","2008","03","22"
"9.0","2.2222222222222223","2008","03","24"
"9.0","2.7777777777777777","2008","05","16"
"15.01","1.932045303131246","2008","05","16"
"9.99","2.6036036036036037","2008","05","16"
"9.99","3.0020020020020017","2008","05","16"
"13.0","1.6146153846153846","2008","08","19"
"11.0","1.8181818181818181","2008","08","19"
"11.99","2.085070892410342","2008","11","01"
"11.99","2.085070892410342","2008","11","01"
"9.99","2.002002002002002","2008","11","21"
"9.99","2.002002002002002","2009","01","04"
"8.01","2.871410736579276","2009","01","15"
"11.99","2.585487906588824","2009","01","17"
"9.99","3.0020020020020017","2009","01","17"
"11.0","2.5445454545454544","2009","01","17"
"9.99","2.002002002002002","2009","03","12"
"7.0","2.857142857142857","2009","03","17"
"9.99","2.1011011011011007","2009","03","17"
"9.99","2.1011011011011007","2009","03","17"
"8.01","2.247191011235955","2009","04","20"
"14.0","1.6428571428571428","2009","09","15"
"9.99","2.002002002002002","2009","09","26"
"5.0","2.6","2009","10","07"
"9.99","1.7027027027027029","2009","10","07"
"11.0","2.0","2009","10","24"
"9.99","2.002002002002002","2009","11","01"
"6.01","2.662229617304493","2010","01","06"
"8.01","2.620474406991261","2010","01","06"
"9.99","2.002002002002002","2010","01","10"
"9.0","2.2222222222222223","2010","01","20"
"9.0","2.2222222222222223","2010","01","20"
"11.0","1.7263636363636363","2010","01","24"
"11.0","1.8181818181818181","2010","01","26"
"8.01","2.247191011235955","2010","01","27"
"9.0","2.0","2010","01","27"
"11.0","2.0","2010","01","30"
"11.99","1.6680567139282736","2010","02","08"
"8.01","2.247191011235955","2010","02","14"
"9.0","2.11","2010","02","14"
"9.99","1.8018018018018018","2010","03","14"
"9.99","2.002002002002002","2010","09","25"
"9.99","2.002002002002002","2011","01","31"
"9.99","1.6016016016016015","2011","03","27"
"9.99","2.002002002002002","2011","03","27"
"9.99","2.002002002002002","2011","03","27"
"9.0","2.0","2011","08","19"
"9.99","2.002002002002002","2012","02","07"
"9.99","2.002002002002002","2012","02","07"
"11.99","1.8348623853211008","2012","02","08"
"9.99","2.002002002002002","2012","02","08"
"9.99","1.7027027027027029","2012","04","29"
"9.0","2.4444444444444446","2014","09","22"
"11.99","2.16930775646372","2014","12","07"
"8.01","2.871410736579276","2015","01","06"
"9.0","2.332222222222222","2015","01","06"
"8.01","2.1235955056179776","2015","01","06"
"11.99","2.085070892410342","2015","01","09"
