"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","1.8018018018018018","2002","12","08"
"9.99","2.002002002002002","2003","01","06"
"8.01","1.873907615480649","2003","01","06"
"6.01","2.497504159733777","2003","01","10"
"9.99","1.6016016016016015","2003","09","24"
"9.99","1.8018018018018018","2003","09","24"
"9.99","1.5025025025025025","2003","10","19"
"9.99","1.6016016016016015","2003","11","22"
"9.99","1.5025025025025025","2003","11","22"
"9.99","1.5025025025025025","2003","11","29"
"9.99","1.5025025025025025","2003","12","02"
"11.99","1.8348623853211008","2003","12","02"
"8.01","1.6229712858926342","2003","12","16"
"15.01","1.9980013324450365","2003","12","22"
"11.99","1.6680567139282736","2003","12","22"
"11.99","1.6680567139282736","2004","03","10"
"8.01","1.4968789013732835","2004","03","15"
"20.0","2.0","2004","03","28"
"9.99","2.002002002002002","2004","03","29"
"9.99","1.5025025025025025","2004","03","29"
"9.99","1.8018018018018018","2004","09","21"
"8.01","1.4968789013732835","2004","09","27"
"8.01","1.4968789013732835","2004","09","29"
"8.01","1.7478152309612984","2004","09","29"
"8.01","1.4968789013732835","2004","09","30"
"8.01","1.4968789013732835","2004","10","01"
"8.01","1.7478152309612984","2004","10","01"
"8.01","1.4968789013732835","2004","10","01"
"9.99","2.002002002002002","2004","10","01"
"7.0","1.7128571428571429","2004","10","01"
"9.99","1.5025025025025025","2004","10","01"
"9.99","2.4034034034034035","2004","11","03"
"11.99","2.085070892410342","2004","11","03"
"20.0","2.0","2004","11","03"
"15.01","1.9980013324450365","2004","11","03"
"8.01","1.873907615480649","2004","11","03"
"15.01","2.1319120586275817","2004","12","23"
"9.99","2.002002002002002","2004","12","23"
"9.99","1.5025025025025025","2005","09","24"
"8.01","1.4968789013732835","2005","09","24"
"9.99","1.7027027027027029","2005","09","24"
"8.01","1.4968789013732835","2005","09","24"
"8.01","1.4968789013732835","2005","10","18"
"8.01","1.4968789013732835","2005","10","18"
"9.99","2.002002002002002","2005","10","22"
"9.99","2.002002002002002","2005","11","08"
