"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"13.0","1.6923076923076923","2016","06","17"
"14.0","1.5714285714285714","2016","06","18"
"14.0","1.499285714285714","2016","06","18"
"17.01","1.4115226337448559","2016","06","20"
"13.0","1.3846153846153846","2016","06","20"
"13.0","1.3084615384615386","2016","06","23"
"11.99","1.4186822351959967","2016","06","24"
"15.01","1.4656895403064625","2016","06","25"
"20.0","1.25","2016","06","25"
"18.99","1.3164823591363877","2016","06","25"
"18.99","1.4218009478672986","2016","06","25"
"20.99","1.3334921391138637","2016","06","26"
"9.0","2.0","2016","06","26"
"17.01","1.2933568489124043","2016","06","26"
"15.01","1.5323117921385743","2016","06","26"
"18.99","1.2643496577145867","2016","06","26"
"9.0","1.5555555555555556","2016","06","28"
"11.99","1.3344453711426187","2016","06","28"
"16.0","1.311875","2016","06","29"
"17.01","1.2933568489124043","2016","06","29"
"9.99","1.5025025025025025","2016","06","30"
"20.0","1.25","2016","07","01"
"11.99","1.5012510425354462","2016","07","04"
"9.99","1.5025025025025025","2016","07","04"
"11.99","1.4186822351959967","2016","07","06"
"11.0","1.4545454545454546","2016","07","06"
"9.99","1.5025025025025025","2016","07","06"
"11.0","1.4545454545454546","2016","07","06"
"16.0","1.375","2016","07","08"
"16.0","1.4375","2016","07","09"
"18.0","1.2777777777777777","2016","07","10"
"15.01","1.3324450366422385","2016","07","11"
"20.99","1.3816102906145784","2016","07","11"
"20.99","1.2863268222963318","2016","07","12"
"23.0","1.3039130434782609","2016","07","12"
"20.99","1.3334921391138637","2016","07","12"
"24.01","1.2078300708038316","2016","07","12"
"18.0","1.3888888888888888","2016","07","12"
"20.0","1.3995","2016","07","13"
"22.0","1.2722727272727272","2016","07","13"
"22.0","1.3181818181818181","2016","07","13"
"23.0","1.2608695652173914","2016","07","13"
"22.0","1.363181818181818","2016","07","13"
"22.0","1.363181818181818","2016","07","14"
"22.0","1.2722727272727272","2016","07","14"
"20.99","1.2863268222963318","2016","07","14"
"23.0","1.2169565217391303","2016","07","14"
"18.0","1.2777777777777777","2016","07","14"
"20.99","1.2391615054787997","2016","07","14"
"20.99","1.2391615054787997","2016","07","14"
"20.99","1.191043353978085","2016","07","14"
"16.0","1.375","2016","07","14"
"15.01","1.4656895403064625","2016","07","14"
"13.0","1.4607692307692306","2016","07","15"
"9.99","1.5025025025025025","2016","07","15"
"18.99","1.369668246445498","2016","07","16"
"20.0","1.35","2016","07","16"
"20.99","1.2863268222963318","2016","07","17"
"20.0","1.35","2016","07","17"
"17.01","1.2933568489124043","2016","07","17"
"14.0","1.499285714285714","2016","07","17"
"13.0","1.5384615384615385","2016","07","17"
"20.99","1.2863268222963318","2016","07","17"
"20.99","1.2863268222963318","2016","07","17"
"18.99","1.4218009478672986","2016","07","18"
"18.99","1.4218009478672986","2016","07","18"
"18.99","1.2643496577145867","2016","07","18"
"18.99","1.3164823591363877","2016","07","18"
"18.0","1.2777777777777777","2016","07","18"
"17.01","1.3521457965902408","2016","07","18"
"20.0","1.35","2016","07","18"
"20.0","1.25","2016","07","18"
"18.99","1.4218009478672986","2016","07","18"
"20.0","1.25","2016","07","18"
"20.0","1.3005","2016","07","18"
"18.0","1.2777777777777777","2016","07","18"
"11.99","1.6680567139282736","2016","07","18"
"16.0","1.311875","2016","07","19"
"9.0","1.6677777777777778","2016","07","20"
"14.0","1.3564285714285713","2016","07","21"
"16.0","1.375","2016","07","21"
"16.0","1.4375","2016","07","21"
"22.0","1.2272727272727273","2016","07","21"
"22.0","1.2272727272727273","2016","07","21"
"18.0","1.3888888888888888","2016","07","22"
"15.01","1.5323117921385743","2016","07","22"
"17.01","1.469723691945914","2016","07","22"
"15.01","1.3984010659560293","2016","07","22"
"18.0","1.2777777777777777","2016","07","22"
"17.01","1.4115226337448559","2016","07","22"
"18.0","1.2777777777777777","2016","07","22"
"20.99","1.1438780371605528","2016","07","22"
"18.99","1.3164823591363877","2016","07","22"
"16.0","1.4375","2016","07","22"
"13.0","1.3846153846153846","2016","07","22"
"14.0","1.3564285714285713","2016","07","22"
"16.0","1.375","2016","07","22"
"16.0","1.311875","2016","07","22"
"20.0","1.25","2016","07","22"
"16.0","1.5625","2016","07","22"
"24.01","1.2078300708038316","2016","07","23"
"18.0","1.2777777777777777","2016","07","23"
"15.01","1.5323117921385743","2016","07","23"
"11.99","1.4186822351959967","2016","07","23"
"9.0","1.8900000000000001","2016","07","23"
"18.0","1.333888888888889","2016","07","23"
"18.0","1.333888888888889","2016","07","23"
"20.0","1.3005","2016","07","23"
"20.99","1.2391615054787997","2016","07","23"
"22.0","1.2272727272727273","2016","07","24"
"20.0","1.3005","2016","07","24"
"20.99","1.2391615054787997","2016","07","24"
"18.99","1.2643496577145867","2016","07","24"
"23.0","1.2608695652173914","2016","07","24"
"18.0","1.2777777777777777","2016","07","24"
"17.01","1.469723691945914","2016","07","24"
"20.0","1.25","2016","07","24"
"20.99","1.2391615054787997","2016","07","24"
"20.0","1.35","2016","07","24"
"18.0","1.333888888888889","2016","07","24"
"18.99","1.4218009478672986","2016","07","24"
"20.99","1.2863268222963318","2016","07","24"
"17.01","1.2933568489124043","2016","07","24"
"18.0","1.2777777777777777","2016","07","24"
