"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","4.977011494252873","2011","10","06"
"1.75","1.9885714285714287","2011","10","07"
"0.87","2.9885057471264367","2011","10","07"
"0.87","2.9885057471264367","2011","10","07"
"0.87","2.9885057471264367","2011","10","07"
"0.87","2.9885057471264367","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"0.87","2.0114942528735633","2011","10","09"
"0.87","1.0","2011","10","09"
"0.87","2.9885057471264367","2011","10","09"
"0.87","2.0114942528735633","2011","10","10"
"1.75","1.4857142857142858","2011","10","10"
"0.87","2.9885057471264367","2011","10","10"
"1.75","1.0","2011","10","10"
"0.87","1.0","2011","10","10"
"0.87","2.9885057471264367","2011","10","10"
"0.87","2.9885057471264367","2011","10","10"
"0.87","4.977011494252873","2011","10","10"
"1.75","1.4857142857142858","2011","10","11"
"0.87","2.9885057471264367","2011","10","11"
"1.75","1.4857142857142858","2011","10","11"
"1.75","1.4857142857142858","2011","10","11"
"0.87","2.9885057471264367","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","1.0","2011","10","12"
"0.87","1.0","2011","10","12"
"1.75","1.9885714285714287","2011","10","12"
"1.75","1.0","2011","10","12"
"2.6","1.3384615384615384","2011","10","12"
"0.87","2.0114942528735633","2011","10","13"
"0.87","2.0114942528735633","2011","10","14"
"0.87","2.0114942528735633","2011","10","14"
"0.87","2.9885057471264367","2011","10","14"
"0.87","2.0114942528735633","2011","10","14"
"1.75","1.0","2011","10","14"
"0.87","2.9885057471264367","2011","10","15"
"1.75","1.9885714285714287","2011","10","15"
"2.6","1.3384615384615384","2011","10","15"
"2.6","1.3384615384615384","2011","10","15"
"0.87","4.977011494252873","2011","10","15"
"1.75","2.474285714285714","2011","10","15"
"2.6","1.3384615384615384","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"0.87","2.0114942528735633","2011","10","17"
"0.87","1.0","2011","10","17"
"0.87","2.0114942528735633","2011","10","17"
"0.87","1.0","2011","10","17"
"0.87","1.0","2011","10","18"
"1.75","3.9771428571428573","2011","10","18"
"4.33","3.4064665127020786","2011","10","18"
"2.6","3.342307692307692","2011","10","18"
"0.87","4.0","2011","10","18"
"0.87","2.9885057471264367","2011","10","19"
"0.87","2.0114942528735633","2011","10","19"
"0.87","2.9885057471264367","2011","10","20"
"0.87","2.0114942528735633","2011","10","21"
"0.87","2.0114942528735633","2011","10","21"
"0.87","2.0114942528735633","2011","10","21"
"0.87","2.0114942528735633","2011","10","21"
"1.75","1.0","2011","10","21"
"1.75","1.0","2011","10","21"
"1.75","1.4857142857142858","2011","10","21"
"0.87","2.9885057471264367","2011","10","21"
"5.21","1.4990403071017273","2011","10","22"
"6.96","1.122126436781609","2011","10","22"
"3.48","3.244252873563218","2011","10","23"
"2.6","2.003846153846154","2011","10","23"
"1.75","1.4857142857142858","2011","10","23"
"0.87","4.0","2011","10","23"
"0.87","2.9885057471264367","2011","10","23"
"0.87","2.0114942528735633","2011","10","24"
"0.87","1.0","2011","10","24"
"2.6","1.0","2011","10","24"
"0.87","2.9885057471264367","2011","10","25"
"1.75","1.4857142857142858","2011","10","25"
"0.87","2.0114942528735633","2011","10","25"
"6.96","1.2485632183908046","2011","10","25"
"1.75","4.462857142857143","2011","10","25"
"4.33","2.810623556581986","2011","10","26"
"7.81","1.558258642765685","2011","10","26"
"5.21","1.4990403071017273","2011","10","26"
"1.75","2.9771428571428573","2011","10","26"
"2.6","3.0038461538461534","2011","10","26"
"4.33","1.6073903002309469","2011","10","26"
"0.87","2.9885057471264367","2011","10","27"
"0.87","2.0114942528735633","2011","10","27"
"0.87","4.977011494252873","2011","10","28"
"1.75","2.474285714285714","2011","10","28"
"0.87","4.977011494252873","2011","10","28"
"0.87","2.9885057471264367","2011","10","28"
"4.33","1.0","2011","10","28"
"1.75","1.4857142857142858","2011","10","28"
"0.87","2.0114942528735633","2011","10","28"
"1.75","2.474285714285714","2011","10","28"
"0.87","1.0","2011","10","29"
"2.6","3.6692307692307686","2011","10","29"
"4.33","1.0","2011","10","29"
"3.48","1.7471264367816093","2011","10","29"
"3.48","1.4971264367816093","2011","10","29"
"0.87","2.9885057471264367","2011","10","29"
"2.6","2.3384615384615386","2011","10","30"
"3.48","2.244252873563218","2011","10","30"
"1.75","3.474285714285714","2011","10","30"
"2.6","2.3384615384615386","2011","10","30"
"2.6","2.003846153846154","2011","10","31"
"1.75","1.4857142857142858","2011","10","31"
"0.87","1.0","2011","10","31"
"1.75","3.9771428571428573","2011","11","01"
"2.6","4.007692307692308","2011","11","01"
"4.33","2.4064665127020786","2011","11","01"
"2.6","3.342307692307692","2011","11","01"
"0.87","1.0","2011","11","02"
"0.87","1.0","2011","11","02"
"0.87","2.0114942528735633","2011","11","02"
"1.75","1.4857142857142858","2011","11","02"
"1.75","2.474285714285714","2011","11","02"
"0.87","4.0","2011","11","03"
"0.87","2.9885057471264367","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","2.9885057471264367","2011","11","03"
"1.75","1.4857142857142858","2011","11","03"
"1.75","1.0","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","2.0114942528735633","2011","11","04"
"0.87","2.9885057471264367","2011","11","04"
"0.87","2.9885057471264367","2011","11","04"
"0.87","2.0114942528735633","2011","11","04"
"1.75","1.4857142857142858","2011","11","04"
"0.87","2.9885057471264367","2011","11","04"
"0.87","2.0114942528735633","2011","11","05"
"0.87","1.0","2011","11","05"
