"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"11.0","1.2727272727272727","2003","05","01"
"11.0","1.6363636363636365","2003","05","01"
"11.0","1.6363636363636365","2003","05","02"
"13.0","1.2307692307692308","2004","05","21"
"11.99","1.5012510425354462","2004","05","21"
"9.0","1.5555555555555556","2004","11","09"
"8.01","2.746566791510612","2005","03","31"
"9.0","1.6677777777777778","2007","08","12"
"9.0","1.6677777777777778","2007","08","12"
"8.01","1.873907615480649","2008","04","17"
"8.01","1.873907615480649","2008","05","17"
"9.99","2.002002002002002","2009","03","06"
"5.0","3.002","2010","03","08"
"7.0","2.2857142857142856","2010","05","04"
"9.0","1.6677777777777778","2010","07","28"
"7.0","2.144285714285714","2010","11","04"
"5.0","4.4","2013","05","19"
"9.0","1.8900000000000001","2013","05","21"
"7.0","2.43","2013","06","18"
"11.0","1.7263636363636363","2013","06","18"
"13.0","1.3846153846153846","2014","09","30"
"8.01","2.247191011235955","2014","09","30"
"8.01","2.1235955056179776","2016","05","22"
"6.01","2.329450915141431","2016","06","11"
"6.01","2.662229617304493","2016","06","30"
"6.01","2.662229617304493","2016","06","30"
"6.01","2.662229617304493","2016","06","30"
"2.99","5.351170568561873","2016","06","30"
"2.99","6.351170568561872","2016","09","26"
"2.99","6.351170568561872","2016","09","26"
"2.99","6.351170568561872","2016","09","27"
"11.0","1.7263636363636363","2016","09","30"
"7.0","3.2857142857142856","2016","12","09"
"7.0","3.2857142857142856","2017","02","03"
"4.0","5.75","2017","03","07"
"7.0","2.998571428571428","2018","02","17"
"4.0","4.5","2018","04","02"
"4.0","4.5","2018","04","02"
"4.0","4.5","2018","04","02"
"4.0","4.5","2018","04","02"
"4.0","4.5","2018","04","02"
"4.0","4.5","2018","04","02"
"6.01","2.995008319467554","2018","04","11"
"4.0","4.5","2018","05","19"
"4.0","4.5","2018","05","19"
"4.0","4.5","2018","05","19"
"4.0","4.5","2018","05","19"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"5.0","3.6","2018","07","31"
"9.0","1.5555555555555556","2018","08","01"
"5.0","4.6","2018","09","08"
"5.0","4.6","2018","09","08"
"9.0","1.5555555555555556","2019","05","20"
"9.99","1.5025025025025025","2019","05","22"
"9.0","1.5555555555555556","2019","05","22"
"8.01","1.873907615480649","2019","05","22"
"11.0","1.5463636363636366","2019","05","29"
"6.01","2.8302828618968388","2019","07","10"
"6.01","2.8302828618968388","2019","07","10"
"4.0","4.2525","2019","08","02"
"9.0","1.5555555555555556","2019","08","09"
"11.0","1.5463636363636366","2019","08","09"
"9.0","2.0","2019","08","09"
"11.99","1.5012510425354462","2019","08","18"
"16.0","1.5625","2019","08","18"
"11.0","1.6363636363636365","2019","08","18"
"5.0","4.0","2019","08","18"
"7.0","2.43","2019","08","18"
"9.0","1.8900000000000001","2019","08","18"
"9.0","1.8900000000000001","2019","08","18"
"2.99","6.020066889632107","2019","09","02"
"2.99","6.020066889632107","2019","09","02"
"4.0","4.5","2019","09","14"
"4.0","4.5","2019","09","14"
"11.0","2.0","2020","01","02"
"4.0","4.5","2020","01","10"
"9.0","2.4444444444444446","2020","03","06"
"9.0","2.4444444444444446","2020","03","06"
