"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"13.0","1.4607692307692306","2003","01","23"
"11.99","1.9182652210175146","2003","01","24"
"9.0","2.2222222222222223","2003","03","16"
"11.0","1.5463636363636366","2003","12","02"
"9.0","1.6677777777777778","2004","03","08"
"18.99","1.7382833070036863","2004","03","08"
"13.0","1.4607692307692306","2004","11","02"
"11.0","1.7263636363636363","2004","11","02"
"11.0","1.5463636363636366","2004","11","02"
"17.01","1.2933568489124043","2004","11","04"
"6.01","3.9950083194675545","2004","11","04"
"9.0","2.11","2004","12","03"
"9.99","1.8018018018018018","2005","11","18"
"13.0","1.7692307692307692","2005","11","19"
"7.0","2.2857142857142856","2005","11","19"
"6.01","2.497504159733777","2006","01","22"
"11.99","1.5012510425354462","2006","01","23"
"13.0","1.3084615384615386","2006","01","23"
"11.0","1.5463636363636366","2006","01","23"
"8.01","2.1235955056179776","2006","11","13"
"11.99","1.5838198498748957","2006","12","20"
"9.99","2.1011011011011007","2006","12","22"
"9.0","1.7777777777777777","2006","12","30"
"9.99","1.7027027027027029","2007","01","15"
"11.99","2.585487906588824","2007","10","22"
"11.99","1.5838198498748957","2008","01","13"
"9.0","3.11","2008","01","13"
"11.99","1.7506255212677229","2008","01","13"
"9.99","1.7027027027027029","2008","01","13"
"11.0","1.3645454545454545","2008","01","14"
"11.99","2.085070892410342","2008","01","14"
"6.01","2.662229617304493","2008","04","16"
"9.99","1.6016016016016015","2008","10","24"
"9.99","1.6016016016016015","2008","10","24"
"8.01","2.4968789013732833","2008","10","24"
"7.0","2.5714285714285716","2009","01","30"
"11.0","1.5463636363636366","2009","01","30"
"9.0","1.5555555555555556","2009","01","31"
"11.0","1.3645454545454545","2009","01","31"
"11.0","1.5463636363636366","2009","01","31"
"7.0","2.2857142857142856","2009","03","20"
"5.0","2.8","2009","03","30"
"9.99","1.8018018018018018","2009","03","30"
"16.0","1.5625","2009","11","14"
"13.0","1.9230769230769231","2009","11","14"
"15.01","1.4656895403064625","2009","11","14"
"13.0","1.9230769230769231","2009","11","14"
"6.01","2.662229617304493","2009","11","15"
"5.0","4.0","2009","11","15"
"7.0","2.857142857142857","2009","12","18"
"8.01","1.9975031210986267","2009","12","18"
"6.01","2.497504159733777","2009","12","18"
"11.0","1.4545454545454546","2009","12","18"
"11.0","1.3645454545454545","2009","12","19"
"9.0","2.0","2009","12","19"
"9.0","1.6677777777777778","2010","02","14"
"9.0","2.332222222222222","2010","03","12"
"11.99","1.2518765638031693","2010","07","11"
"9.0","1.6677777777777778","2010","09","28"
"15.01","1.798800799467022","2010","10","06"
"9.99","2.6036036036036037","2010","10","18"
"11.0","2.090909090909091","2010","10","18"
"9.99","1.7027027027027029","2010","12","25"
"2.99","8.03010033444816","2011","01","05"
"7.0","2.2857142857142856","2011","01","09"
"9.99","1.9009009009009008","2011","01","22"
"7.0","2.857142857142857","2011","02","13"
"6.01","2.497504159733777","2011","09","28"
"11.99","1.4186822351959967","2011","10","18"
"11.0","1.4545454545454546","2012","01","02"
"16.0","1.311875","2012","01","08"
