"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","1.6016016016016015","2002","11","06"
"9.0","2.0","2002","11","06"
"11.0","2.0","2002","11","11"
"9.99","1.6016016016016015","2002","11","12"
"9.0","1.6677777777777778","2002","11","12"
"15.01","1.5996002664890074","2002","11","12"
"15.01","1.665556295802798","2002","11","12"
"16.0","1.25","2002","11","12"
"18.99","1.2643496577145867","2002","11","12"
"11.99","2.4186822351959965","2002","11","13"
"18.99","1.4218009478672986","2002","11","13"
"14.0","2.3578571428571427","2002","11","13"
"15.01","1.5996002664890074","2002","11","13"
"15.01","1.5996002664890074","2002","11","13"
"17.01","1.529100529100529","2002","11","13"
"11.99","2.0025020850708923","2002","11","13"
"13.0","1.4607692307692306","2002","11","13"
"13.0","1.7692307692307692","2002","11","13"
"13.0","1.6923076923076923","2002","11","13"
"11.0","1.5463636363636366","2002","11","13"
"16.0","1.25","2002","11","13"
"16.0","1.25","2002","11","13"
"11.0","1.6363636363636365","2002","11","13"
"11.0","1.5463636363636366","2002","11","13"
"14.0","1.6428571428571428","2002","11","13"
"22.0","1.2722727272727272","2002","11","13"
"18.99","1.3164823591363877","2002","11","13"
"22.0","1.4090909090909092","2002","11","13"
"16.0","1.625625","2002","11","13"
"15.01","1.7328447701532312","2002","11","13"
"24.01","1.1657642648896291","2002","11","13"
"11.0","1.6363636363636365","2002","11","14"
"15.01","1.2651565622918053","2002","11","14"
"11.99","1.2518765638031693","2002","11","15"
"11.99","1.2518765638031693","2002","11","17"
"15.01","1.3324450366422385","2002","11","17"
"20.0","1.35","2002","11","17"
"11.99","1.8348623853211008","2002","11","17"
"15.01","1.4656895403064625","2002","11","19"
"15.01","1.4656895403064625","2002","11","19"
"16.0","1.4375","2002","11","19"
"11.99","2.0025020850708923","2002","11","19"
"14.0","1.4285714285714286","2002","11","19"
"13.0","1.5384615384615385","2002","11","19"
"11.99","1.5012510425354462","2002","11","20"
"20.99","1.4768937589328253","2002","11","20"
"20.0","1.55","2002","11","20"
"20.99","1.66793711291091","2002","11","20"
"20.0","1.55","2002","11","20"
"17.01","1.9406231628453847","2002","11","21"
"20.99","1.5245354930919486","2002","11","21"
"18.99","2.0010531858873093","2002","11","21"
"20.0","1.7505","2002","11","21"
"20.0","1.3995","2002","11","21"
"18.0","1.5","2002","11","21"
"23.0","1.391304347826087","2002","11","21"
"20.0","1.7","2002","11","21"
"8.01","2.3707865168539324","2002","11","21"
"11.99","2.16930775646372","2002","11","21"
"13.0","1.9230769230769231","2002","11","21"
"15.01","1.5323117921385743","2002","11","21"
"9.99","1.6016016016016015","2002","11","25"
"11.0","1.7263636363636363","2002","11","25"
"8.01","1.9975031210986267","2002","11","25"
"11.99","1.5012510425354462","2002","11","25"
"17.01","1.3521457965902408","2002","11","25"
"17.01","1.5873015873015872","2002","11","25"
"17.01","1.529100529100529","2002","11","25"
"11.99","2.0025020850708923","2002","11","25"
"18.99","1.4739336492890995","2002","11","25"
"11.0","1.908181818181818","2002","11","26"
"18.0","1.333888888888889","2002","11","26"
"14.0","1.6428571428571428","2002","11","26"
"14.0","1.8578571428571429","2002","11","26"
"14.0","1.499285714285714","2002","11","26"
"11.0","1.7263636363636363","2002","11","26"
"14.0","1.499285714285714","2002","11","26"
"14.0","1.5714285714285714","2002","11","26"
"13.0","1.6146153846153846","2002","11","26"
"16.0","1.25","2002","11","26"
"18.99","1.2111637704054767","2002","11","26"
"17.01","1.4115226337448559","2002","11","26"
"18.99","1.2111637704054767","2002","11","26"
"17.01","1.4115226337448559","2002","11","26"
"9.99","1.6016016016016015","2002","11","26"
"9.99","1.8018018018018018","2002","11","26"
