"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"7.0","2.144285714285714","2002","11","13"
"11.0","1.7263636363636363","2002","11","13"
"9.99","1.5025025025025025","2002","11","13"
"13.0","1.4607692307692306","2002","11","13"
"11.99","1.5012510425354462","2002","11","13"
"8.01","1.7478152309612984","2002","11","13"
"8.01","1.873907615480649","2002","11","17"
"7.0","2.144285714285714","2002","11","17"
"9.0","1.8900000000000001","2002","11","20"
"8.01","2.746566791510612","2002","11","21"
"7.0","2.7128571428571426","2002","11","21"
"7.0","2.5714285714285716","2002","11","21"
"9.99","1.4014014014014013","2002","11","21"
"16.0","1.500625","2002","12","11"
"13.0","1.6923076923076923","2002","12","11"
"13.0","1.5384615384615385","2002","12","11"
"15.01","1.4656895403064625","2002","12","11"
"9.99","1.8018018018018018","2002","12","11"
"8.01","2.4968789013732833","2002","12","12"
"9.99","1.7027027027027029","2002","12","15"
"9.99","2.002002002002002","2002","12","15"
"14.0","1.7857142857142858","2002","12","15"
"11.99","2.085070892410342","2002","12","15"
"8.01","3.247191011235955","2002","12","15"
"8.01","1.9975031210986267","2002","12","15"
"11.99","2.085070892410342","2002","12","15"
"11.0","1.908181818181818","2002","12","15"
"7.0","2.2857142857142856","2002","12","22"
"8.01","1.7478152309612984","2002","12","23"
"8.01","1.9975031210986267","2002","12","23"
"9.99","2.2022022022022023","2002","12","23"
"7.0","2.0","2002","12","23"
"9.0","1.7777777777777777","2002","12","23"
"8.01","1.7478152309612984","2002","12","23"
"9.99","1.6016016016016015","2002","12","28"
"9.99","1.6016016016016015","2002","12","28"
"6.01","2.8302828618968388","2002","12","28"
"8.01","1.7478152309612984","2002","12","31"
"9.99","1.6016016016016015","2002","12","31"
"9.99","1.6016016016016015","2002","12","31"
"11.99","1.5012510425354462","2002","12","31"
"9.0","1.6677777777777778","2002","12","31"
"11.0","1.5463636363636366","2002","12","31"
"11.0","2.272727272727273","2002","12","31"
"16.0","1.749375","2002","12","31"
"13.0","2.153076923076923","2002","12","31"
"11.99","1.6680567139282736","2002","12","31"
"14.0","1.5714285714285714","2002","12","31"
"11.0","1.908181818181818","2002","12","31"
"9.99","1.7027027027027029","2002","12","31"
"7.0","2.7128571428571426","2002","12","31"
"9.99","1.4014014014014013","2003","01","01"
"9.99","2.002002002002002","2003","01","04"
"7.0","2.7128571428571426","2003","01","04"
"9.0","2.0","2003","01","04"
"9.0","2.332222222222222","2003","01","05"
"7.0","2.5714285714285716","2003","01","05"
"11.99","1.7506255212677229","2003","01","06"
"11.0","2.272727272727273","2003","01","06"
"8.01","2.1235955056179776","2003","01","06"
"8.01","1.873907615480649","2003","01","06"
"9.0","1.6677777777777778","2003","01","06"
"8.01","1.873907615480649","2003","01","06"
"8.01","2.3707865168539324","2003","01","06"
"8.01","1.873907615480649","2003","01","06"
"9.99","1.6016016016016015","2003","01","26"
"11.0","1.5463636363636366","2003","01","26"
"9.99","2.002002002002002","2003","01","26"
"11.99","1.5012510425354462","2003","01","26"
"11.99","1.9182652210175146","2003","01","26"
"14.0","1.499285714285714","2003","01","26"
"11.99","1.5838198498748957","2003","01","26"
"8.01","2.1235955056179776","2003","02","03"
"9.0","1.6677777777777778","2003","02","19"
"8.01","1.7478152309612984","2003","02","19"
"9.0","2.4444444444444446","2003","03","13"
"9.99","1.7027027027027029","2003","03","13"
"9.99","2.2022022022022023","2003","03","13"
"11.99","1.5012510425354462","2003","03","13"
"9.99","2.1011011011011007","2003","03","13"
"9.0","2.667777777777778","2003","03","13"
"11.0","1.6363636363636365","2003","03","13"
"8.01","1.873907615480649","2003","03","13"
"9.0","1.7777777777777777","2003","03","13"
"8.01","1.873907615480649","2003","03","14"
"11.0","1.3645454545454545","2003","03","14"
"16.0","1.8125","2003","03","16"
"14.0","1.4285714285714286","2003","03","16"
"11.0","1.3645454545454545","2003","03","16"
"7.0","2.144285714285714","2003","03","16"
"8.01","2.247191011235955","2003","03","17"
"9.0","1.5555555555555556","2003","03","18"
