"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","1.4014014014014013","2004","11","23"
"11.0","1.2727272727272727","2004","11","23"
"6.01","2.329450915141431","2004","11","23"
"11.99","1.2518765638031693","2004","11","23"
"9.99","1.9009009009009008","2004","11","23"
"6.01","2.329450915141431","2004","11","23"
"13.0","1.3846153846153846","2004","11","23"
"14.0","1.3564285714285713","2004","11","23"
"13.0","1.3084615384615386","2004","11","23"
"11.0","1.908181818181818","2004","11","23"
"9.99","1.9009009009009008","2004","11","23"
"9.99","1.8018018018018018","2004","11","23"
"9.0","2.11","2004","11","23"
"8.01","1.873907615480649","2004","11","23"
"11.0","1.5463636363636366","2004","11","23"
"9.0","1.6677777777777778","2004","11","23"
"13.0","1.5384615384615385","2004","11","23"
"11.99","2.085070892410342","2004","11","23"
"17.01","1.2339800117577893","2004","11","23"
"16.0","1.311875","2004","11","23"
"13.0","2.539230769230769","2004","11","23"
"9.0","2.4444444444444446","2004","11","23"
"11.0","1.8181818181818181","2004","11","23"
"11.0","1.8181818181818181","2004","11","23"
"13.0","1.6146153846153846","2004","11","23"
"7.0","2.2857142857142856","2004","11","24"
"11.0","1.4545454545454546","2004","11","24"
"11.0","1.4545454545454546","2004","11","24"
"8.01","1.873907615480649","2004","11","24"
"9.0","2.11","2004","11","24"
"11.0","1.3645454545454545","2004","11","24"
"15.01","1.5323117921385743","2004","11","24"
"17.01","1.6455026455026454","2004","11","29"
"9.0","2.5555555555555554","2004","11","29"
"9.0","2.332222222222222","2004","11","29"
"11.99","1.6680567139282736","2004","11","29"
"18.0","1.3888888888888888","2004","11","29"
"11.99","1.6680567139282736","2004","11","29"
"9.0","1.8900000000000001","2004","11","29"
"11.0","1.4545454545454546","2004","11","29"
"14.0","1.215","2004","11","29"
"11.0","1.8181818181818181","2004","11","29"
"11.99","1.2518765638031693","2004","11","29"
"7.0","2.144285714285714","2004","11","29"
"7.0","2.0","2004","12","06"
"9.0","1.5555555555555556","2004","12","07"
"7.0","2.0","2004","12","07"
"8.01","1.7478152309612984","2004","12","07"
"9.0","1.5555555555555556","2004","12","07"
"9.0","1.5555555555555556","2004","12","07"
"11.0","1.4545454545454546","2004","12","07"
"11.0","1.3645454545454545","2004","12","07"
"9.99","1.7027027027027029","2004","12","07"
"6.01","2.329450915141431","2004","12","07"
"7.0","2.0","2004","12","07"
"11.99","1.3344453711426187","2004","12","07"
"9.99","1.6016016016016015","2004","12","07"
"11.0","1.2727272727272727","2004","12","07"
"9.99","1.6016016016016015","2004","12","07"
"15.01","1.2651565622918053","2004","12","07"
"11.0","1.6363636363636365","2004","12","07"
"11.99","1.5838198498748957","2004","12","07"
"13.0","1.3846153846153846","2004","12","07"
"13.0","1.4607692307692306","2004","12","07"
"13.0","1.4607692307692306","2004","12","07"
"14.0","1.6428571428571428","2004","12","07"
"14.0","1.5714285714285714","2004","12","07"
"13.0","1.5384615384615385","2004","12","08"
"14.0","1.6428571428571428","2004","12","08"
"11.99","1.5838198498748957","2004","12","08"
"11.99","1.5838198498748957","2004","12","08"
"16.0","1.375","2004","12","08"
"17.01","1.529100529100529","2004","12","08"
"17.01","1.2933568489124043","2004","12","08"
"17.01","1.469723691945914","2004","12","08"
"23.0","1.2608695652173914","2004","12","08"
"20.99","1.3816102906145784","2004","12","08"
"17.01","1.7048794826572602","2004","12","08"
"18.99","1.6850974196945763","2004","12","08"
"18.99","1.6324381253291207","2004","12","08"
"18.99","1.5792522380200107","2004","12","08"
"20.99","1.2391615054787997","2004","12","08"
"20.99","1.4287756074321105","2004","12","08"
"18.99","1.4218009478672986","2004","12","08"
"18.0","1.5","2004","12","08"
"18.0","1.3888888888888888","2004","12","08"
"22.0","1.3181818181818181","2004","12","08"
"16.0","1.6875","2004","12","08"
"18.99","1.2111637704054767","2004","12","08"
"18.0","1.555","2004","12","08"
"17.01","1.529100529100529","2004","12","08"
"18.99","1.3164823591363877","2004","12","08"
"22.0","1.4090909090909092","2004","12","08"
"20.0","1.55","2004","12","08"
