"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"14.0","1.4285714285714286","2004","12","12"
"11.99","1.3344453711426187","2004","12","12"
"14.0","1.3564285714285713","2004","12","13"
"9.0","1.7777777777777777","2004","12","13"
"15.01","1.2651565622918053","2004","12","13"
"11.0","1.3645454545454545","2004","12","21"
"13.0","1.2307692307692308","2004","12","25"
"18.0","1.2222222222222223","2004","12","26"
"20.0","1.2005000000000001","2004","12","26"
"20.0","1.25","2004","12","26"
"20.0","1.15","2004","12","26"
"18.99","1.3164823591363877","2004","12","26"
"18.0","1.2777777777777777","2004","12","26"
"22.0","1.1822727272727274","2004","12","26"
"23.0","1.2608695652173914","2004","12","26"
"20.99","1.3334921391138637","2004","12","26"
"20.0","1.15","2004","12","26"
"18.99","1.3164823591363877","2004","12","26"
"18.99","1.3164823591363877","2004","12","26"
"18.99","1.3164823591363877","2004","12","26"
"16.0","1.311875","2004","12","26"
"17.01","1.2933568489124043","2004","12","26"
"22.0","1.1822727272727274","2004","12","26"
"20.99","1.191043353978085","2004","12","26"
"20.0","1.3005","2004","12","26"
"15.01","1.3324450366422385","2004","12","26"
"18.99","1.2643496577145867","2004","12","26"
"20.0","1.2005000000000001","2004","12","26"
"13.0","1.4607692307692306","2004","12","26"
"9.0","1.8900000000000001","2004","12","26"
"11.0","1.5463636363636366","2004","12","26"
"11.0","1.2727272727272727","2004","12","26"
"11.99","1.3344453711426187","2004","12","27"
"13.0","1.3084615384615386","2004","12","29"
"11.99","1.2518765638031693","2004","12","30"
"11.99","1.3344453711426187","2004","12","30"
"13.0","1.2307692307692308","2004","12","30"
"11.99","1.6680567139282736","2004","12","30"
"13.0","1.3084615384615386","2004","12","30"
"13.0","1.3084615384615386","2004","12","30"
"11.0","1.5463636363636366","2004","12","30"
"11.99","1.3344453711426187","2004","12","30"
"9.99","1.4014014014014013","2004","12","30"
"11.0","1.3645454545454545","2004","12","30"
"14.0","1.215","2004","12","30"
"15.01","1.1992005329780147","2004","12","30"
"13.0","1.3084615384615386","2004","12","30"
"11.0","1.7263636363636363","2004","12","30"
"11.99","1.5838198498748957","2004","12","30"
"13.0","1.3846153846153846","2004","12","30"
"14.0","1.2857142857142858","2004","12","30"
"16.0","1.375","2004","12","30"
"11.99","1.7506255212677229","2004","12","30"
"16.0","1.311875","2004","12","31"
"15.01","1.2651565622918053","2004","12","31"
"11.0","1.908181818181818","2004","12","31"
"9.99","2.002002002002002","2004","12","31"
"15.01","1.3984010659560293","2004","12","31"
"11.99","1.9182652210175146","2004","12","31"
"13.0","1.4607692307692306","2004","12","31"
"13.0","1.4607692307692306","2004","12","31"
"11.99","1.5012510425354462","2004","12","31"
"13.0","1.5384615384615385","2004","12","31"
"17.01","1.2339800117577893","2004","12","31"
"11.99","1.5838198498748957","2004","12","31"
"14.0","1.715","2004","12","31"
"15.01","1.4656895403064625","2004","12","31"
"13.0","1.5384615384615385","2004","12","31"
"11.99","1.6680567139282736","2004","12","31"
"11.99","1.5012510425354462","2004","12","31"
"13.0","1.7692307692307692","2004","12","31"
"11.99","1.6680567139282736","2004","12","31"
"13.0","1.5384615384615385","2004","12","31"
"18.0","1.2222222222222223","2004","12","31"
"15.01","1.3984010659560293","2004","12","31"
"16.0","1.25","2004","12","31"
"13.0","1.3846153846153846","2004","12","31"
"16.0","1.375","2004","12","31"
"11.99","2.585487906588824","2004","12","31"
"13.0","1.6923076923076923","2004","12","31"
"11.0","1.5463636363636366","2004","12","31"
"11.0","1.7263636363636363","2004","12","31"
"9.99","1.6016016016016015","2005","01","01"
"11.99","1.6680567139282736","2005","01","01"
"11.0","1.3645454545454545","2005","01","01"
"11.99","1.3344453711426187","2005","01","01"
"11.0","1.5463636363636366","2005","01","01"
"11.0","1.2727272727272727","2005","01","01"
"9.99","1.7027027027027029","2005","01","01"
"14.0","1.215","2005","01","01"
"9.0","1.7777777777777777","2005","01","01"
"9.99","1.6016016016016015","2005","01","01"
"11.0","1.2727272727272727","2005","01","01"
"11.0","1.3645454545454545","2005","01","01"
"14.0","1.215","2005","01","01"
"11.0","1.4545454545454546","2005","01","06"
"16.0","1.375","2005","01","06"
"18.99","1.2643496577145867","2005","01","06"
"14.0","1.499285714285714","2005","01","06"
"20.0","1.15","2005","01","06"
"20.0","1.25","2005","01","06"
"20.99","1.2863268222963318","2005","01","06"
"24.01","1.3327780091628487","2005","01","06"
"18.0","1.3888888888888888","2005","01","06"
"18.0","1.555","2005","01","06"
"18.99","1.2643496577145867","2005","01","06"
"20.0","1.45","2005","01","06"
"22.0","1.1822727272727274","2005","01","06"
"24.01","1.2078300708038316","2005","01","06"
"27.0","1.1481481481481481","2005","01","06"
"27.0","1.1851851851851851","2005","01","06"
"25.0","1.3204","2005","01","06"
"24.01","1.4160766347355267","2005","01","06"
"26.01","1.2691272587466358","2005","01","06"
"27.99","1.3215434083601287","2005","01","06"
"23.0","1.391304347826087","2005","01","06"
"20.0","1.3995","2005","01","06"
"15.01","1.3324450366422385","2005","01","06"
"11.99","1.6680567139282736","2005","01","07"
"9.99","1.6016016016016015","2005","01","07"
"11.0","1.3645454545454545","2005","01","07"
"6.01","2.497504159733777","2005","01","07"
"9.99","1.4014014014014013","2005","01","07"
"8.01","2.1235955056179776","2005","01","07"
"14.0","1.2857142857142858","2005","01","07"
"11.99","1.7506255212677229","2005","01","07"
"11.0","1.6363636363636365","2005","01","07"
"11.99","1.2518765638031693","2005","01","07"
"9.99","2.002002002002002","2005","01","07"
"11.0","1.5463636363636366","2005","01","07"
"7.0","2.144285714285714","2005","01","07"
"9.99","1.4014014014014013","2005","01","07"
"13.0","1.2307692307692308","2005","01","07"
"11.99","1.4186822351959967","2005","01","07"
"13.0","1.3084615384615386","2005","01","07"
"14.0","1.4285714285714286","2005","01","08"
