"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.0","4.2525","2004","11","24"
"14.0","1.4285714285714286","2004","11","24"
"13.0","1.2307692307692308","2004","12","21"
"16.0","1.25","2004","12","21"
"20.99","1.191043353978085","2005","01","06"
"18.0","1.333888888888889","2005","01","06"
"18.99","1.2111637704054767","2005","01","06"
"18.99","1.1585044760400212","2005","01","06"
"16.0","1.500625","2005","01","06"
"20.0","1.2005000000000001","2005","01","06"
"20.99","1.3334921391138637","2005","01","06"
"20.99","1.2391615054787997","2005","01","06"
"22.0","1.2272727272727273","2005","01","06"
"22.0","1.1822727272727274","2005","01","11"
"18.99","1.2643496577145867","2005","01","11"
"13.0","1.3846153846153846","2005","01","11"
"15.01","1.3324450366422385","2005","02","04"
"20.0","1.35","2005","02","12"
"18.99","1.369668246445498","2005","02","12"
"20.99","1.191043353978085","2005","02","12"
"17.01","1.3521457965902408","2005","02","12"
"16.0","1.186875","2005","02","12"
"13.0","1.2307692307692308","2005","02","12"
"11.0","1.2727272727272727","2005","03","16"
"15.01","1.1992005329780147","2005","03","17"
"14.0","1.3564285714285713","2005","04","22"
"17.01","1.3521457965902408","2005","04","23"
"15.01","1.1992005329780147","2005","04","23"
"11.99","1.2518765638031693","2005","04","23"
"11.99","1.4186822351959967","2005","06","01"
"11.0","1.5463636363636366","2005","07","12"
"13.0","1.3084615384615386","2005","09","11"
"16.0","1.186875","2005","09","11"
"11.0","1.3645454545454545","2005","09","12"
"13.0","1.2307692307692308","2005","10","17"
"13.0","1.3846153846153846","2005","10","25"
"14.0","1.215","2006","01","26"
"18.0","1.333888888888889","2006","02","04"
"20.0","1.2005000000000001","2006","02","04"
"20.99","1.191043353978085","2006","02","04"
"20.99","1.2391615054787997","2006","02","04"
"17.01","1.2933568489124043","2006","02","04"
"17.01","1.2933568489124043","2006","02","04"
"14.0","1.215","2006","02","04"
"13.0","1.3084615384615386","2006","02","05"
"11.0","1.2727272727272727","2006","02","13"
"18.99","1.2111637704054767","2006","02","21"
"15.01","1.4656895403064625","2006","02","21"
"15.01","1.3324450366422385","2006","02","21"
"15.01","1.3324450366422385","2006","02","21"
"15.01","1.2651565622918053","2006","02","21"
"18.99","1.369668246445498","2006","02","21"
"9.99","1.6016016016016015","2006","02","22"
"11.99","1.4186822351959967","2006","02","23"
"11.99","2.0025020850708923","2006","02","23"
"13.0","1.3846153846153846","2006","02","23"
"17.01","1.2933568489124043","2006","02","23"
"18.99","1.2111637704054767","2006","02","23"
"18.0","1.333888888888889","2006","02","23"
"18.0","1.2222222222222223","2006","02","23"
