"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"7.0","2.144285714285714","2004","11","19"
"6.01","2.662229617304493","2004","11","19"
"8.01","1.9975031210986267","2004","11","19"
"7.0","2.0","2004","11","19"
"9.0","2.0","2004","11","19"
"11.0","1.6363636363636365","2004","11","19"
"8.01","2.1235955056179776","2004","11","19"
"9.0","1.8900000000000001","2004","11","19"
"8.01","1.873907615480649","2004","11","19"
"8.01","1.9975031210986267","2004","11","20"
"9.0","1.7777777777777777","2004","11","20"
"9.99","1.5025025025025025","2004","11","20"
"7.0","2.2857142857142856","2004","11","20"
"9.99","1.5025025025025025","2004","11","20"
"8.01","1.7478152309612984","2004","11","20"
"9.99","1.6016016016016015","2004","11","20"
"8.01","1.9975031210986267","2004","11","20"
"7.0","2.2857142857142856","2004","11","20"
"9.0","1.6677777777777778","2004","11","20"
"9.99","1.6016016016016015","2004","11","20"
"9.99","1.7027027027027029","2004","11","24"
"11.0","1.5463636363636366","2004","11","28"
"9.99","1.5025025025025025","2004","11","28"
"5.0","3.002","2004","11","29"
"9.99","1.8018018018018018","2004","11","29"
"9.0","2.332222222222222","2004","11","29"
"9.0","2.332222222222222","2004","11","29"
"11.99","2.0025020850708923","2004","11","29"
"11.99","1.5012510425354462","2004","11","29"
"13.0","1.6146153846153846","2004","11","29"
"11.99","2.085070892410342","2004","11","29"
"11.0","1.6363636363636365","2004","11","29"
"18.99","1.4218009478672986","2004","11","29"
"16.0","1.4375","2004","11","29"
"17.01","1.5873015873015872","2004","11","29"
"15.01","1.4656895403064625","2004","11","29"
"15.01","1.932045303131246","2004","11","29"
"15.01","1.8647568287808127","2004","11","29"
"13.0","2.153076923076923","2004","11","29"
"15.01","2.06528980679547","2004","11","29"
"16.0","1.375","2004","11","29"
"13.0","1.7692307692307692","2004","11","29"
"9.0","2.89","2004","11","29"
"7.0","3.43","2004","11","29"
"16.0","1.6875","2004","11","29"
"15.01","1.5996002664890074","2004","11","29"
"11.99","2.16930775646372","2004","11","29"
"9.99","2.7027027027027026","2004","11","29"
"20.0","1.6504999999999999","2004","11","29"
"9.99","3.0020020020020017","2004","11","29"
"14.0","1.8578571428571429","2004","11","29"
"11.99","2.585487906588824","2004","11","29"
"13.0","1.8469230769230771","2004","11","29"
"20.99","1.3334921391138637","2004","11","29"
"13.0","1.9230769230769231","2004","11","29"
"13.0","2.3846153846153846","2004","11","29"
"11.0","2.6363636363636362","2004","11","29"
"20.99","1.4287756074321105","2004","11","29"
"9.99","1.9009009009009008","2004","12","08"
"9.0","1.5555555555555556","2004","12","12"
"7.0","2.998571428571428","2004","12","13"
"13.0","1.5384615384615385","2004","12","14"
"13.0","1.5384615384615385","2004","12","14"
"11.0","1.2727272727272727","2004","12","14"
"11.99","1.4186822351959967","2004","12","14"
"13.0","1.5384615384615385","2004","12","14"
"9.0","1.8900000000000001","2004","12","14"
"11.0","1.8181818181818181","2004","12","14"
"9.99","2.4034034034034035","2004","12","14"
"9.0","2.2222222222222223","2004","12","14"
"11.0","1.7263636363636363","2004","12","14"
"13.0","1.8469230769230771","2004","12","14"
"13.0","1.6923076923076923","2004","12","14"
"9.99","2.002002002002002","2004","12","14"
"11.99","1.5012510425354462","2004","12","14"
"8.01","2.620474406991261","2004","12","14"
"8.01","1.873907615480649","2004","12","14"
"9.99","1.7027027027027029","2004","12","14"
"7.0","2.144285714285714","2004","12","14"
"8.01","1.7478152309612984","2004","12","14"
"7.0","2.0","2004","12","14"
"11.0","1.8181818181818181","2004","12","15"
"9.0","1.7777777777777777","2004","12","15"
"11.99","1.7506255212677229","2004","12","15"
"9.99","2.1011011011011007","2004","12","15"
"11.99","1.8348623853211008","2004","12","15"
"9.0","2.667777777777778","2004","12","15"
"15.01","1.3984010659560293","2004","12","15"
"11.99","1.9182652210175146","2004","12","15"
"13.0","1.7692307692307692","2004","12","15"
"11.0","1.8181818181818181","2004","12","15"
"13.0","2.076923076923077","2004","12","15"
"18.0","1.7222222222222223","2004","12","15"
"15.01","1.798800799467022","2004","12","15"
"9.0","3.0","2004","12","15"
"18.99","1.7382833070036863","2004","12","15"
"20.99","1.572653644592663","2004","12","15"
"16.0","2.25","2004","12","15"
"17.01","1.7630805408583183","2004","12","15"
"18.99","1.4739336492890995","2004","12","15"
"22.0","1.4090909090909092","2004","12","15"
"17.01","1.5873015873015872","2004","12","15"
"18.0","1.7222222222222223","2004","12","15"
"16.0","1.5625","2004","12","15"
"18.0","1.8888888888888888","2004","12","16"
"17.01","1.5873015873015872","2004","12","16"
"17.01","1.5873015873015872","2004","12","16"
"18.0","1.5","2004","12","16"
"15.01","1.5996002664890074","2004","12","16"
"16.0","1.500625","2004","12","16"
"17.01","1.3521457965902408","2004","12","16"
"11.99","1.5838198498748957","2004","12","16"
"11.0","2.182727272727273","2004","12","16"
"15.01","1.7328447701532312","2004","12","16"
"18.0","1.3888888888888888","2004","12","16"
"14.0","1.9285714285714286","2004","12","16"
"20.99","1.3816102906145784","2004","12","16"
"16.0","1.874375","2004","12","16"
"18.0","1.6111111111111112","2004","12","16"
"13.0","1.5384615384615385","2004","12","16"
"9.0","2.0","2004","12","16"
"14.0","1.8578571428571429","2004","12","16"
"14.0","2.2857142857142856","2004","12","16"
"9.0","2.2222222222222223","2004","12","16"
"15.01","1.665556295802798","2004","12","16"
"13.0","1.7692307692307692","2004","12","16"
"13.0","1.8469230769230771","2004","12","16"
"20.0","1.55","2004","12","16"
"23.0","1.8695652173913044","2004","12","16"
"17.01","2.410346854791299","2004","12","16"
"18.99","1.8436018957345972","2004","12","16"
"27.99","1.572347266881029","2004","12","16"
"18.0","1.9449999999999998","2004","12","16"
"17.01","2.0582010582010577","2004","12","16"
"20.99","1.8575512148642213","2004","12","16"
"24.01","1.5826738858808829","2004","12","16"
"23.0","1.5221739130434782","2004","12","16"
"22.0","2.0454545454545454","2004","12","16"
"8.01","1.7478152309612984","2004","12","17"
"9.0","1.8900000000000001","2004","12","17"
"11.0","1.6363636363636365","2004","12","17"
"9.99","1.9009009009009008","2004","12","17"
"8.01","1.873907615480649","2004","12","17"
"9.99","1.7027027027027029","2004","12","17"
"9.99","1.7027027027027029","2004","12","17"
"6.01","2.329450915141431","2004","12","17"
"8.01","2.247191011235955","2004","12","18"
"9.0","2.4444444444444446","2004","12","18"
"9.0","2.11","2004","12","18"
"11.0","1.908181818181818","2004","12","18"
"14.0","1.5714285714285714","2004","12","18"
"9.99","1.8018018018018018","2004","12","18"
"11.99","1.7506255212677229","2004","12","18"
"11.0","2.4545454545454546","2004","12","18"
"16.0","1.500625","2004","12","18"
"11.0","2.5445454545454544","2004","12","18"
"16.0","1.8125","2004","12","18"
"11.0","2.090909090909091","2004","12","18"
"7.0","2.2857142857142856","2004","12","18"
"13.0","1.6923076923076923","2004","12","18"
"9.99","1.7027027027027029","2004","12","18"
"11.0","1.7263636363636363","2004","12","18"
"13.0","1.5384615384615385","2004","12","18"
"16.0","1.311875","2004","12","18"
"14.0","1.499285714285714","2004","12","18"
"17.01","1.3521457965902408","2004","12","18"
"18.0","1.6111111111111112","2004","12","18"
"15.01","1.7328447701532312","2004","12","18"
"18.0","1.5","2004","12","18"
"15.01","1.5996002664890074","2004","12","18"
"17.01","1.5873015873015872","2004","12","19"
"16.0","2.311875","2004","12","19"
"23.0","1.6082608695652174","2004","12","19"
"17.01","2.1164021164021163","2004","12","19"
"22.0","1.4545454545454546","2004","12","19"
"26.01","1.499038831218762","2004","12","19"
"20.0","1.9495","2004","12","19"
"23.0","1.8695652173913044","2004","12","19"
"18.0","1.8338888888888887","2004","12","19"
"14.0","1.3564285714285713","2004","12","23"
"11.0","1.5463636363636366","2004","12","23"
"11.99","1.8348623853211008","2004","12","23"
"9.99","2.7027027027027026","2004","12","24"
"9.0","1.6677777777777778","2004","12","28"
"9.0","2.2222222222222223","2004","12","28"
"11.99","1.4186822351959967","2004","12","28"
"9.0","2.0","2004","12","28"
"13.0","1.7692307692307692","2004","12","28"
"11.0","1.3645454545454545","2004","12","28"
"17.01","1.5873015873015872","2004","12","28"
"9.0","2.2222222222222223","2004","12","28"
"15.01","1.4656895403064625","2004","12","28"
"9.99","2.002002002002002","2004","12","28"
"8.01","2.1235955056179776","2004","12","28"
"13.0","1.7692307692307692","2004","12","28"
"17.01","1.6455026455026454","2004","12","28"
"17.01","1.5873015873015872","2004","12","28"
"14.0","1.999285714285714","2004","12","28"
"15.01","1.7328447701532312","2004","12","28"
"13.0","1.9230769230769231","2004","12","28"
"15.01","1.7328447701532312","2004","12","28"
"15.01","1.9980013324450365","2004","12","28"
"17.01","1.469723691945914","2004","12","28"
"15.01","1.9980013324450365","2004","12","28"
"16.0","1.8125","2004","12","28"
"5.0","2.8","2005","01","10"
"6.01","2.497504159733777","2005","01","10"
"13.0","1.5384615384615385","2005","01","16"
"13.0","1.6146153846153846","2005","01","16"
"9.0","2.89","2005","01","16"
"11.0","2.090909090909091","2005","01","16"
"20.99","1.3334921391138637","2005","01","16"
"11.0","1.908181818181818","2005","01","16"
"18.0","1.2777777777777777","2005","01","16"
"11.0","2.3645454545454547","2005","01","16"
"15.01","1.932045303131246","2005","01","16"
"13.0","1.9230769230769231","2005","01","16"
"14.0","1.7857142857142858","2005","01","16"
"8.01","2.1235955056179776","2005","01","16"
"15.01","1.665556295802798","2005","01","16"
"9.99","2.1011011011011007","2005","01","16"
"11.0","1.908181818181818","2005","01","16"
"8.01","2.247191011235955","2005","01","16"
"11.99","2.4186822351959965","2005","01","16"
"9.99","1.8018018018018018","2005","01","16"
"13.0","1.8469230769230771","2005","01","17"
"11.0","1.7263636363636363","2005","01","17"
"11.0","2.726363636363636","2005","01","17"
"16.0","1.625625","2005","01","17"
"17.01","1.5873015873015872","2005","01","17"
"22.0","1.5454545454545454","2005","01","17"
"22.0","1.5913636363636363","2005","01","17"
"20.0","1.6504999999999999","2005","01","17"
"17.01","1.8224573780129334","2005","01","17"
"15.01","1.7328447701532312","2005","01","17"
"11.99","2.501251042535446","2005","01","17"
"7.0","2.857142857142857","2005","01","17"
"14.0","1.9285714285714286","2005","01","17"
"11.99","2.16930775646372","2005","01","17"
"13.0","2.3069230769230766","2005","01","17"
"18.0","1.445","2005","01","17"
"11.99","2.585487906588824","2005","01","17"
"16.0","1.8125","2005","01","17"
"14.0","2.142142857142857","2005","01","17"
"16.0","1.874375","2005","01","17"
"18.99","2.2122169562927856","2005","01","17"
"16.0","2.125","2005","01","17"
"17.01","1.7048794826572602","2005","01","17"
"15.01","2.8647568287808127","2005","01","17"
"26.01","1.6151480199923105","2005","01","17"
"22.0","1.7272727272727273","2005","01","17"
"27.0","1.444074074074074","2005","01","17"
"20.99","1.9056693663649358","2005","01","17"
"20.99","1.66793711291091","2005","01","17"
"18.99","1.8957345971563984","2005","01","17"
"18.0","1.8338888888888887","2005","01","17"
"17.01","1.5873015873015872","2005","01","17"
"11.99","1.5838198498748957","2005","01","18"
"6.01","2.995008319467554","2005","01","18"
"13.0","1.3846153846153846","2005","01","18"
"11.0","1.5463636363636366","2005","01","18"
"9.0","1.8900000000000001","2005","01","18"
"4.0","4.0","2005","01","18"
"9.0","1.5555555555555556","2005","01","18"
"11.0","1.8181818181818181","2005","01","18"
