"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"11.99","1.2518765638031693","2005","02","04"
"9.99","1.4014014014014013","2005","04","23"
"15.01","1.2651565622918053","2005","10","17"
"16.0","1.375","2005","10","17"
"29.0","1.1382758620689655","2005","11","10"
"27.99","1.429081814933905","2006","01","23"
"24.01","1.1245314452311537","2006","01","23"
"20.99","1.3816102906145784","2006","01","23"
"25.0","1.24","2006","01","23"
"13.0","1.7692307692307692","2006","01","23"
"24.01","1.2911286963765096","2006","01","29"
"14.0","1.6428571428571428","2006","01","29"
"13.0","1.3084615384615386","2006","01","29"
"16.0","1.500625","2006","01","29"
"17.01","1.2339800117577893","2006","02","03"
"9.0","1.7777777777777777","2006","02","08"
"16.0","1.25","2006","02","13"
"20.0","1.2005000000000001","2006","02","21"
"23.0","1.1308695652173915","2006","02","21"
"22.0","1.3181818181818181","2006","02","21"
"17.01","1.2933568489124043","2006","02","21"
"24.01","1.1657642648896291","2006","02","21"
"20.0","1.2005000000000001","2006","02","21"
"20.99","1.3816102906145784","2006","02","21"
"14.0","1.6428571428571428","2006","02","21"
"18.99","1.2111637704054767","2006","02","21"
"11.99","1.4186822351959967","2006","02","23"
"9.0","1.6677777777777778","2006","03","09"
"16.0","1.311875","2006","03","14"
"15.01","1.3324450366422385","2006","03","14"
"14.0","1.499285714285714","2006","03","14"
"15.01","1.3324450366422385","2006","03","14"
"14.0","1.215","2006","03","14"
"16.0","1.311875","2006","03","14"
"11.99","1.5838198498748957","2006","03","14"
"9.99","1.9009009009009008","2006","03","14"
"25.0","1.1996","2006","04","29"
"11.0","1.3645454545454545","2006","06","22"
"14.0","1.4285714285714286","2006","10","24"
"11.99","1.5838198498748957","2006","10","24"
"22.0","1.363181818181818","2006","10","25"
"13.0","1.3846153846153846","2006","10","25"
"18.99","1.2111637704054767","2006","10","26"
"23.0","1.391304347826087","2006","11","14"
"17.01","1.8224573780129334","2006","12","08"
"11.0","1.908181818181818","2006","12","08"
"13.0","1.9230769230769231","2006","12","19"
"22.0","1.6813636363636364","2006","12","21"
"15.01","1.798800799467022","2006","12","21"
"17.01","1.469723691945914","2006","12","22"
"11.99","1.3344453711426187","2006","12","26"
"13.0","1.3846153846153846","2007","01","04"
"22.0","1.2272727272727273","2007","01","07"
"20.99","1.2391615054787997","2007","01","07"
"23.0","1.3478260869565217","2007","01","07"
"27.99","1.1432654519471241","2007","01","07"
"24.01","1.3327780091628487","2007","01","07"
"29.0","1.2413793103448276","2007","01","07"
"29.0","1.2072413793103447","2007","01","07"
"24.01","1.2911286963765096","2007","01","07"
"24.01","1.2078300708038316","2007","01","07"
"23.0","1.2608695652173914","2007","01","07"
"17.01","1.3521457965902408","2007","01","07"
"20.99","1.4287756074321105","2007","01","07"
"20.99","1.3334921391138637","2007","01","07"
"20.0","1.25","2007","01","07"
"24.01","1.1657642648896291","2007","01","07"
"20.99","1.2863268222963318","2007","01","07"
"18.99","1.3164823591363877","2007","01","07"
"11.0","1.2727272727272727","2007","01","08"
"15.01","1.3984010659560293","2007","03","11"
"20.99","1.1438780371605528","2007","03","11"
"13.0","1.4607692307692306","2007","03","11"
"13.0","1.6923076923076923","2007","03","17"
"29.0","1.2413793103448276","2007","10","24"
"20.99","1.2863268222963318","2007","10","24"
"9.0","2.4444444444444446","2007","10","24"
"9.99","1.7027027027027029","2007","10","30"
"15.01","1.5996002664890074","2007","11","02"
"14.0","1.2857142857142858","2007","11","11"
"11.99","1.5838198498748957","2007","11","13"
"13.0","1.2307692307692308","2007","11","14"
"18.0","1.3888888888888888","2007","12","24"
"17.01","1.469723691945914","2008","01","09"
"22.0","1.1363636363636365","2008","01","14"
"11.0","2.0","2008","01","14"
"18.99","1.1585044760400212","2008","01","14"
"20.99","1.191043353978085","2008","02","05"
"23.0","1.173913043478261","2008","02","05"
"22.0","1.1363636363636365","2008","02","06"
"20.0","1.25","2008","02","06"
"18.0","1.3888888888888888","2008","02","06"
"17.01","1.6455026455026454","2008","02","06"
"20.99","1.191043353978085","2008","02","07"
"17.01","1.2339800117577893","2008","03","01"
"17.01","1.2933568489124043","2008","03","01"
"16.0","1.25","2008","03","11"
"20.99","1.1438780371605528","2008","03","11"
"18.0","1.333888888888889","2008","03","11"
"14.0","1.3564285714285713","2008","03","12"
"18.99","1.3164823591363877","2008","03","12"
"15.01","1.2651565622918053","2008","04","13"
"17.01","1.1757789535567311","2008","04","17"
"18.99","1.1585044760400212","2008","04","17"
"11.99","1.2518765638031693","2008","05","06"
"8.01","2.4968789013732833","2008","09","23"
"25.0","1.1196","2008","10","13"
"17.01","1.5873015873015872","2008","10","25"
"17.01","1.3521457965902408","2008","10","25"
"18.99","1.2643496577145867","2008","11","21"
"16.0","1.25","2008","12","10"
"9.0","1.7777777777777777","2008","12","10"
