"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","2.89","2002","11","13"
"9.0","1.6677777777777778","2002","11","13"
"6.01","2.497504159733777","2002","11","21"
"8.01","1.9975031210986267","2002","11","27"
"9.0","2.11","2002","11","27"
"9.0","2.4444444444444446","2002","11","27"
"17.01","1.4115226337448559","2002","11","27"
"11.99","1.5838198498748957","2002","11","27"
"8.01","3.370786516853933","2002","12","12"
"16.0","1.375","2002","12","12"
"16.0","1.625625","2002","12","12"
"9.99","1.5025025025025025","2002","12","12"
"8.01","2.247191011235955","2002","12","13"
"15.01","1.3324450366422385","2002","12","13"
"11.0","1.3645454545454545","2002","12","13"
"11.99","1.3344453711426187","2002","12","24"
"13.0","1.2307692307692308","2002","12","31"
"9.0","1.8900000000000001","2003","01","06"
"6.01","2.497504159733777","2003","01","06"
"9.0","3.0","2003","01","06"
"5.0","5.0","2003","01","06"
"18.0","1.445","2003","01","06"
"15.01","1.3324450366422385","2003","01","06"
"11.99","1.4186822351959967","2003","01","06"
"7.0","2.43","2003","01","06"
"8.01","1.9975031210986267","2003","02","03"
"9.99","1.8018018018018018","2003","02","03"
"9.0","1.7777777777777777","2003","02","03"
"8.01","1.873907615480649","2003","02","03"
"8.01","2.247191011235955","2003","02","03"
"9.0","1.5555555555555556","2003","02","03"
"11.0","1.7263636363636363","2003","02","03"
"11.0","1.5463636363636366","2003","02","03"
"9.99","1.4014014014014013","2003","02","03"
"9.0","1.8900000000000001","2003","02","03"
"9.0","1.6677777777777778","2003","02","03"
"9.0","1.5555555555555556","2003","02","03"
"4.0","5.0","2003","02","19"
"9.0","2.2222222222222223","2003","03","16"
"15.01","1.798800799467022","2003","03","16"
"17.01","3.2328042328042326","2003","03","16"
"20.0","2.15","2003","03","16"
"11.0","1.8181818181818181","2003","03","16"
"11.99","1.4186822351959967","2003","03","16"
"8.01","1.9975031210986267","2003","03","17"
"7.0","2.998571428571428","2003","03","18"
"9.99","1.4014014014014013","2003","03","21"
"7.0","2.43","2003","03","21"
"8.01","2.4968789013732833","2003","03","29"
"7.0","2.43","2003","03","30"
