"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","1.6677777777777778","2016","07","08"
"9.0","1.6677777777777778","2016","09","09"
"7.0","2.144285714285714","2016","09","09"
"9.0","1.6677777777777778","2016","09","09"
"9.0","1.7777777777777777","2016","09","09"
"9.0","1.8900000000000001","2016","09","09"
"9.0","1.7777777777777777","2016","09","09"
"7.0","2.857142857142857","2016","09","09"
"6.01","2.8302828618968388","2016","09","10"
"5.0","2.8","2017","01","29"
"9.0","1.5555555555555556","2017","05","23"
"9.0","1.7777777777777777","2017","05","23"
"9.0","1.6677777777777778","2017","07","12"
"6.01","2.497504159733777","2017","12","17"
"9.99","2.002002002002002","2018","02","26"
"8.01","1.873907615480649","2018","06","03"
"9.0","1.8900000000000001","2018","12","13"
"11.99","1.5012510425354462","2018","12","13"
"11.0","1.6363636363636365","2018","12","13"
"11.0","1.6363636363636365","2018","12","13"
"9.0","2.0","2018","12","13"
"15.01","1.4656895403064625","2018","12","13"
"15.01","1.4656895403064625","2018","12","13"
"14.0","1.3564285714285713","2018","12","13"
"11.0","1.8181818181818181","2018","12","13"
"9.0","2.2222222222222223","2018","12","13"
"11.99","1.8348623853211008","2018","12","13"
"9.0","1.8900000000000001","2018","12","13"
"5.0","3.002","2018","12","13"
"9.99","1.5025025025025025","2019","03","06"
"9.0","1.5555555555555556","2019","04","27"
"9.0","1.6677777777777778","2019","05","25"
"9.0","1.5555555555555556","2019","06","03"
"9.0","1.5555555555555556","2019","06","03"
"9.0","1.5555555555555556","2019","06","26"
"9.99","1.5025025025025025","2019","06","28"
"11.99","1.3344453711426187","2019","06","28"
"9.99","1.6016016016016015","2019","06","28"
"11.99","1.4186822351959967","2019","06","28"
"9.0","1.5555555555555556","2019","06","28"
"11.0","1.4545454545454546","2019","06","28"
"11.0","1.4545454545454546","2019","06","28"
"9.99","1.6016016016016015","2019","08","20"
"9.99","1.5025025025025025","2019","08","27"
"11.0","1.5463636363636366","2019","08","27"
"13.0","1.4607692307692306","2019","10","11"
"17.01","1.529100529100529","2019","10","11"
"18.0","1.2777777777777777","2019","10","11"
"18.0","1.6111111111111112","2019","10","11"
"15.01","1.3324450366422385","2019","10","11"
"14.0","1.499285714285714","2019","10","11"
"15.01","1.4656895403064625","2019","10","11"
"11.99","1.7506255212677229","2019","10","11"
"11.0","1.6363636363636365","2019","10","11"
"9.99","1.9009009009009008","2019","10","11"
"9.99","1.5025025025025025","2019","10","12"
"11.0","1.6363636363636365","2019","10","12"
"11.99","1.5012510425354462","2019","10","12"
"11.0","1.4545454545454546","2019","10","12"
"14.0","1.6428571428571428","2019","10","12"
"13.0","1.7692307692307692","2019","10","12"
"13.0","1.3846153846153846","2019","10","12"
"15.01","1.5323117921385743","2019","10","12"
"9.99","1.6016016016016015","2020","03","22"
