"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","1.5025025025025025","2016","06","17"
"9.0","1.7777777777777777","2016","06","17"
"9.0","1.5555555555555556","2016","06","20"
"8.01","1.9975031210986267","2016","07","29"
"8.01","1.873907615480649","2016","08","12"
"9.99","1.5025025025025025","2016","08","12"
"7.0","2.0","2016","08","12"
"9.0","1.7777777777777777","2016","08","12"
"9.0","1.7777777777777777","2016","08","12"
"6.01","2.497504159733777","2016","08","12"
"11.0","1.8181818181818181","2016","08","15"
"8.01","1.7478152309612984","2016","08","15"
"7.0","2.144285714285714","2016","08","15"
"9.99","1.8018018018018018","2016","09","13"
"9.99","1.8018018018018018","2016","09","13"
"11.99","1.5838198498748957","2016","09","13"
"14.0","1.3564285714285713","2016","09","13"
"7.0","2.2857142857142856","2016","09","14"
"5.0","3.2","2016","09","14"
"9.0","1.5555555555555556","2016","09","27"
"11.99","1.5012510425354462","2016","10","17"
"8.01","2.247191011235955","2016","10","17"
"5.0","2.8","2016","11","10"
"11.0","1.5463636363636366","2016","11","11"
"11.99","2.085070892410342","2016","11","11"
"17.01","1.4115226337448559","2016","11","11"
"11.0","1.4545454545454546","2016","11","11"
"11.99","1.5012510425354462","2016","11","11"
"13.0","2.076923076923077","2016","11","11"
"9.99","1.5025025025025025","2016","11","12"
"13.0","1.7692307692307692","2016","11","12"
"13.0","1.7692307692307692","2016","11","12"
"9.99","2.3023023023023024","2016","11","12"
"13.0","1.6923076923076923","2016","11","12"
"11.0","1.4545454545454546","2016","11","12"
"9.99","1.9009009009009008","2016","11","12"
"9.0","2.11","2016","11","12"
"9.99","1.9009009009009008","2016","11","12"
"13.0","1.4607692307692306","2016","11","12"
"9.99","1.7027027027027029","2016","11","12"
"9.99","1.5025025025025025","2016","11","12"
"11.0","1.7263636363636363","2016","11","12"
"9.0","1.5555555555555556","2016","11","12"
"9.99","1.5025025025025025","2016","11","12"
"9.99","1.5025025025025025","2016","11","12"
"9.99","1.7027027027027029","2016","11","12"
"6.01","2.8302828618968388","2016","11","12"
"14.0","1.499285714285714","2016","11","12"
"9.99","1.9009009009009008","2016","11","12"
"9.0","1.5555555555555556","2016","11","12"
"9.99","1.7027027027027029","2016","11","12"
"9.99","1.6016016016016015","2016","11","12"
"9.0","1.5555555555555556","2016","11","12"
"11.0","1.4545454545454546","2016","11","12"
"11.0","1.5463636363636366","2016","11","12"
"14.0","1.4285714285714286","2016","11","12"
"11.99","1.8348623853211008","2016","11","12"
"18.0","1.6111111111111112","2016","11","13"
"9.99","2.6036036036036037","2016","11","13"
"9.99","2.2022022022022023","2016","11","13"
"11.0","1.4545454545454546","2016","11","30"
"11.0","1.4545454545454546","2016","11","30"
"9.99","1.8018018018018018","2016","11","30"
"11.0","1.4545454545454546","2016","11","30"
"11.99","1.5838198498748957","2016","12","03"
"8.01","2.1235955056179776","2016","12","19"
"9.0","1.5555555555555556","2016","12","19"
"9.0","2.0","2016","12","19"
"11.0","1.4545454545454546","2016","12","19"
"9.99","1.6016016016016015","2016","12","19"
"13.0","1.3846153846153846","2016","12","19"
"11.99","2.0025020850708923","2016","12","19"
"11.99","1.5012510425354462","2016","12","19"
"13.0","1.6146153846153846","2016","12","19"
"8.01","2.1235955056179776","2016","12","19"
"11.99","1.5838198498748957","2016","12","19"
"9.99","1.5025025025025025","2016","12","19"
"9.99","1.5025025025025025","2016","12","19"
"8.01","2.247191011235955","2016","12","19"
"16.0","1.311875","2016","12","19"
"11.99","1.5012510425354462","2016","12","20"
"11.99","1.6680567139282736","2016","12","20"
"9.99","1.6016016016016015","2016","12","20"
"9.99","2.5025025025025025","2016","12","20"
"14.0","1.499285714285714","2016","12","20"
"11.0","1.8181818181818181","2016","12","20"
"17.01","1.529100529100529","2016","12","20"
"5.0","4.6","2016","12","20"
"9.0","1.7777777777777777","2016","12","20"
"9.99","1.5025025025025025","2016","12","28"
"11.99","1.5838198498748957","2016","12","28"
"15.01","1.5996002664890074","2017","01","16"
"8.01","2.247191011235955","2017","01","16"
"13.0","1.4607692307692306","2017","01","23"
"11.0","1.5463636363636366","2017","01","23"
"11.0","1.5463636363636366","2017","01","23"
"15.01","1.3984010659560293","2017","01","25"
"15.01","1.5323117921385743","2017","01","25"
"14.0","1.3564285714285713","2017","01","25"
"18.0","1.555","2017","01","25"
"15.01","1.665556295802798","2017","01","25"
"17.01","1.529100529100529","2017","01","25"
"11.0","1.4545454545454546","2017","01","25"
"18.0","1.3888888888888888","2017","01","25"
"15.01","1.798800799467022","2017","01","25"
"15.01","1.5996002664890074","2017","01","25"
"9.99","1.8018018018018018","2017","01","25"
"11.99","1.4186822351959967","2017","01","25"
"9.0","1.5555555555555556","2017","01","25"
"11.0","1.4545454545454546","2017","01","25"
"8.01","2.4968789013732833","2017","01","25"
"18.99","1.2643496577145867","2017","01","26"
"20.0","1.35","2017","01","26"
"22.0","1.3181818181818181","2017","01","26"
"18.99","1.8957345971563984","2017","01","26"
"18.99","1.5271195365982098","2017","01","26"
"16.0","1.4375","2017","01","26"
"20.0","1.25","2017","01","26"
"11.99","1.5838198498748957","2017","01","26"
"8.01","2.247191011235955","2017","01","26"
"16.0","2.0","2017","01","26"
"16.0","1.311875","2017","01","26"
"13.0","1.3846153846153846","2017","01","26"
"13.0","1.4607692307692306","2017","01","26"
"11.99","1.6680567139282736","2017","01","26"
"11.0","1.6363636363636365","2017","01","26"
"13.0","1.3846153846153846","2017","01","26"
"11.99","1.5012510425354462","2017","01","26"
"9.0","1.7777777777777777","2017","01","26"
"20.0","1.9495","2017","01","27"
"15.01","1.665556295802798","2017","01","27"
"20.0","2.05","2017","01","27"
"20.0","2.05","2017","01","27"
"22.0","1.6813636363636364","2017","01","27"
"18.99","2.0531858873091102","2017","01","27"
"20.99","1.66793711291091","2017","01","27"
"18.99","1.9478672985781993","2017","01","27"
"20.0","1.4994999999999998","2017","01","27"
"20.0","1.6","2017","01","27"
"22.0","2.0004545454545455","2017","01","27"
"15.01","1.4656895403064625","2017","01","27"
"16.0","2.188125","2017","01","27"
"23.0","1.6521739130434783","2017","01","27"
"18.99","1.8436018957345972","2017","01","27"
"20.99","1.3334921391138637","2017","01","27"
"17.01","1.2933568489124043","2017","01","27"
"17.01","1.3521457965902408","2017","01","27"
"22.0","1.5454545454545454","2017","01","27"
"17.01","1.529100529100529","2017","01","27"
"13.0","1.3846153846153846","2017","01","27"
"17.01","1.469723691945914","2017","01","27"
"20.0","1.7","2017","01","27"
"13.0","1.3846153846153846","2017","01","27"
"16.0","1.8125","2017","01","27"
"16.0","1.311875","2017","01","27"
