"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"6.03","1.834162520729685","2010","10","20"
"7.0","1.8571428571428572","2010","10","22"
"20.97","1.1483071053886504","2010","10","22"
"17.09","1.2843768285547104","2010","10","22"
"20.0","1.5539999999999998","2010","10","22"
"27.97","1.2155881301394351","2010","10","22"
"26.03","1.3799462159047253","2010","10","22"
"29.92","1.1039438502673797","2010","10","22"
"21.95","1.3630979498861049","2010","10","22"
"27.0","1.0718518518518518","2010","10","22"
"17.09","1.63662960795787","2010","10","22"
"24.08","1.201827242524917","2010","10","22"
"20.97","1.2875536480686696","2010","10","22"
"20.97","1.3338102050548402","2010","10","23"
"20.97","1.3800667620410112","2010","10","23"
"15.94","1.8155583437892098","2010","10","23"
"13.0","1.9276923076923076","2010","10","23"
"20.97","1.2875536480686696","2010","10","23"
"19.05","1.152230971128609","2010","10","23"
"13.0","1.9276923076923076","2010","10","23"
"14.97","1.6085504342017367","2010","10","23"
"7.95","1.7610062893081762","2010","10","23"
"1.94","3.6082474226804124","2010","10","23"
"1.94","1.5051546391752577","2010","10","23"
"8.94","1.6744966442953022","2010","10","23"
"6.03","2.99502487562189","2010","10","24"
"8.94","1.9116331096196868","2010","10","24"
"5.05","2.9643564356435648","2010","10","24"
"11.06","1.5452079566003616","2010","10","24"
"12.03","2.1637572734829593","2010","10","24"
"21.95","1.4159453302961276","2010","10","24"
"15.94","1.8155583437892098","2010","10","24"
"26.03","1.3426815213215522","2010","10","24"
"19.05","1.8346456692913387","2010","10","24"
"27.0","1.4096296296296298","2010","10","24"
"27.97","1.2155881301394351","2010","10","24"
"22.92","1.4834205933682372","2010","10","24"
"29.92","1.2336229946524062","2010","10","24"
"28.94","1.38217000691085","2010","10","24"
"34.0","1.2052941176470586","2010","10","24"
"35.92","1.1408685968819599","2010","10","24"
"29.92","1.1363636363636362","2010","10","24"
"19.05","1.6824146981627295","2010","10","24"
"25.06","1.154828411811652","2010","10","24"
"26.03","1.1117940837495197","2010","10","25"
"17.09","1.4663545933294324","2010","10","25"
"20.0","1.35","2010","10","25"
"15.94","1.5106649937264742","2010","10","25"
"22.92","1.0506108202443278","2010","10","25"
"18.06","1.4413067552602439","2010","10","25"
"17.09","1.4663545933294324","2010","10","25"
"17.09","1.4663545933294324","2010","10","25"
"18.06","1.2153931339977853","2010","10","25"
"17.09","1.1702750146284377","2010","10","25"
"5.05","3.5762376237623763","2010","10","25"
"13.0","1.613076923076923","2010","10","25"
"19.05","1.0498687664041995","2010","10","25"
"13.0","1.4653846153846155","2010","10","25"
"14.0","1.2899999999999998","2010","10","25"
"5.05","2.7722772277227725","2010","10","25"
"0.97","3.0103092783505154","2010","10","26"
"1.94","1.5051546391752577","2010","10","26"
"0.97","2.0","2010","10","26"
"1.94","3.6082474226804124","2010","10","27"
"0.97","2.0","2010","10","27"
"0.97","2.0","2010","10","27"
"0.97","3.0103092783505154","2010","10","27"
"2.92","1.7294520547945205","2010","10","27"
"1.94","2.1030927835051547","2010","10","28"
"0.97","2.0","2010","10","28"
"0.97","2.0","2010","10","28"
"13.0","1.1515384615384616","2010","10","28"
"5.05","1.7702970297029703","2010","10","28"
"7.95","1.7610062893081762","2010","10","28"
"7.95","1.2465408805031446","2010","10","28"
"2.92","2.397260273972603","2010","10","28"
"7.95","1.1245283018867924","2010","10","28"
"1.94","3.1082474226804124","2010","10","29"
"5.05","1.3861386138613863","2010","10","29"
"6.03","1.6434494195688225","2010","10","29"
"5.05","1.3861386138613863","2010","10","29"
"7.0","1.1357142857142857","2010","10","29"
"6.03","1.1608623548922057","2010","10","29"
"5.05","1.5742574257425743","2010","10","29"
"7.0","1.2771428571428571","2010","10","29"
"7.0","1.7185714285714284","2010","10","29"
"7.95","1.1245283018867924","2010","10","29"
"5.05","1.7702970297029703","2010","10","29"
"6.03","1.6434494195688225","2010","10","29"
"11.06","1.3535262206148282","2010","10","29"
"6.03","3.477611940298507","2010","10","29"
"6.03","2.6434494195688223","2010","10","29"
"9.91","2.3128153380423817","2010","10","29"
"6.03","1.6434494195688225","2010","10","29"
"2.92","2.7226027397260277","2010","10","29"
"0.97","3.0103092783505154","2010","10","30"
"1.94","1.5051546391752577","2010","10","30"
"0.97","4.206185567010309","2010","10","30"
"2.92","1.7294520547945205","2010","10","30"
"0.97","2.0","2010","10","30"
"4.08","1.2377450980392157","2010","10","30"
"5.05","2.1900990099009903","2010","10","30"
"2.92","2.397260273972603","2010","10","31"
"2.92","3.0616438356164384","2010","10","31"
"5.05","1.7702970297029703","2010","10","31"
"2.92","1.7294520547945205","2010","10","31"
"1.94","2.6030927835051547","2010","10","31"
"0.97","4.206185567010309","2010","10","31"
"1.94","2.1030927835051547","2010","10","31"
"1.94","3.1082474226804124","2010","10","31"
"5.05","1.1940594059405942","2010","10","31"
"2.92","1.3972602739726028","2010","10","31"
"5.05","1.3861386138613863","2010","10","31"
"2.92","2.7226027397260277","2010","10","31"
"9.91","1.6084762865792128","2010","10","31"
"12.03","1.2443890274314215","2010","10","31"
"11.06","1.5452079566003616","2010","10","31"
"12.03","1.9052369077306737","2010","10","31"
"14.97","1.2725450901803608","2010","11","01"
"27.0","1.187037037037037","2010","11","01"
"20.0","1.7","2010","11","01"
"25.06","1.116121308858739","2010","11","01"
"14.0","1.4285714285714286","2010","11","01"
"9.91","1.5105953582240161","2010","11","01"
"12.03","1.1637572734829593","2010","11","01"
"6.03","2.6434494195688223","2010","11","01"
"9.91","1.4127144298688195","2010","11","01"
"6.03","2.99502487562189","2010","11","01"
"11.06","1.4412296564195297","2010","11","01"
"14.0","1.2207142857142856","2010","11","01"
"9.91","1.922300706357215","2010","11","01"
"6.03","3.316749585406302","2010","11","01"
"7.0","1.7185714285714284","2010","11","01"
"9.91","1.4127144298688195","2010","11","01"
"14.0","1.1385714285714286","2010","11","01"
"8.94","2.0201342281879193","2010","11","01"
"4.08","3.1862745098039214","2010","11","02"
"24.08","1.2425249169435217","2010","11","02"
"18.06","1.3875968992248062","2010","11","02"
"29.92","1.0711898395721924","2010","11","02"
"13.0","1.613076923076923","2010","11","02"
"6.03","3.1592039800995027","2010","11","02"
"27.97","1.1458705756167322","2010","11","02"
"13.0","1.8523076923076922","2010","11","02"
"14.0","2.3592857142857144","2010","11","02"
"19.05","1.2031496062992126","2010","11","02"
"4.08","2.7107843137254903","2010","11","02"
"8.94","1.2371364653243848","2010","11","02"
"7.95","2.5157232704402515","2010","11","02"
"9.91","2.2149344096871846","2010","11","02"
"12.03","1.6625103906899419","2010","11","02"
"7.0","2.7214285714285715","2010","11","02"
"9.91","2.2149344096871846","2010","11","02"
"17.09","1.409011117612639","2010","11","02"
"7.95","2.6377358490566034","2010","11","02"
"7.0","2.138571428571429","2010","11","02"
"2.92","1.7294520547945205","2010","11","03"
"1.94","2.1030927835051547","2010","11","03"
"2.92","2.397260273972603","2010","11","03"
"7.95","1.3911949685534593","2010","11","03"
"2.92","3.0616438356164384","2010","11","03"
"9.91","1.4127144298688195","2010","11","03"
"19.05","1.3664041994750655","2010","11","03"
"19.05","1.6314960629921258","2010","11","03"
"22.92","1.1780104712041883","2010","11","03"
"7.95","3.0289308176100627","2010","11","03"
"5.05","3.384158415841584","2010","11","03"
"17.09","1.2843768285547104","2010","11","04"
"18.06","1.2691029900332227","2010","11","04"
"14.0","1.72","2010","11","04"
"13.0","1.6884615384615385","2010","11","04"
"9.91","1.8224016145307769","2010","11","04"
"13.0","1.7630769230769232","2010","11","04"
"1.94","3.1082474226804124","2010","11","04"
"2.92","3.0616438356164384","2010","11","04"
"2.92","1.7294520547945205","2010","11","04"
"6.03","1.3184079601990049","2010","11","04"
"6.03","1.1608623548922057","2010","11","04"
"1.94","2.6030927835051547","2010","11","04"
"5.05","1.5742574257425743","2010","11","04"
"2.92","2.397260273972603","2010","11","04"
"2.92","2.397260273972603","2010","11","04"
"4.08","1.4779411764705883","2010","11","04"
"2.92","4.11986301369863","2010","11","04"
"2.92","1.3972602739726028","2010","11","05"
"7.95","1.8830188679245283","2010","11","05"
"5.05","1.1940594059405942","2010","11","05"
"7.0","2.4414285714285713","2010","11","05"
"1.94","3.6082474226804124","2010","11","05"
"6.03","3.316749585406302","2010","11","05"
"6.03","2.482587064676617","2010","11","05"
"9.91","1.1160443995963674","2010","11","05"
"7.95","2.271698113207547","2010","11","05"
"6.03","2.155887230514096","2010","11","05"
"1.94","4.0979381443298974","2010","11","05"
"5.05","1.3861386138613863","2010","11","05"
"4.08","1.9485294117647058","2010","11","06"
"5.05","1.3861386138613863","2010","11","06"
"7.0","2.0","2010","11","06"
"7.0","1.1357142857142857","2010","11","06"
"0.97","5.206185567010309","2010","11","06"
"8.94","1.2371364653243848","2010","11","06"
"13.0","1.3146153846153845","2010","11","06"
"17.09","1.1146869514335869","2010","11","06"
"14.0","1.4978571428571428","2010","11","06"
"9.91","1.8224016145307769","2010","11","06"
"13.0","1.1515384615384616","2010","11","06"
"9.91","2.116044399596367","2010","11","06"
"12.03","1.5012468827930174","2010","11","06"
"14.0","1.6371428571428572","2010","11","06"
"9.91","1.8224016145307769","2010","11","06"
"5.05","2.9643564356435648","2010","11","06"
"6.03","1.1608623548922057","2010","11","07"
"1.94","3.6082474226804124","2010","11","07"
"4.08","1.2377450980392157","2010","11","07"
"0.97","4.206185567010309","2010","11","07"
"7.95","1.3911949685534593","2010","11","07"
"8.94","1.9116331096196868","2010","11","07"
"13.0","1.1515384615384616","2010","11","07"
"8.94","1.5659955257270695","2010","11","07"
"13.0","1.0769230769230769","2010","11","07"
"8.94","1.6744966442953022","2010","11","07"
"9.91","1.1160443995963674","2010","11","07"
"13.0","1.0769230769230769","2010","11","07"
"13.0","1.2261538461538461","2010","11","07"
"11.06","1.3535262206148282","2010","11","07"
"12.03","1.2443890274314215","2010","11","07"
"7.95","1.1245283018867924","2010","11","07"
"13.0","1.2261538461538461","2010","11","08"
"8.94","1.5659955257270695","2010","11","08"
"8.94","1.6744966442953022","2010","11","08"
"14.0","1.3607142857142858","2010","11","08"
"14.0","1.0692857142857144","2010","11","08"
"13.0","1.3146153846153845","2010","11","08"
"9.91","1.5105953582240161","2010","11","08"
"5.05","2.5742574257425743","2010","11","08"
"12.03","1.1637572734829593","2010","11","08"
"7.95","1.3911949685534593","2010","11","08"
"7.0","1.4157142857142857","2010","11","08"
"0.97","5.206185567010309","2010","11","08"
"1.94","1.5051546391752577","2010","11","08"
"2.92","2.065068493150685","2010","11","08"
"4.08","1.7156862745098038","2010","11","08"
"5.05","1.5742574257425743","2010","11","08"
"7.0","1.1357142857142857","2010","11","08"
"5.05","1.7702970297029703","2010","11","08"
"0.97","4.206185567010309","2010","11","09"
"1.94","4.608247422680412","2010","11","09"
"1.94","4.0979381443298974","2010","11","09"
"4.08","1.7156862745098038","2010","11","09"
"0.97","4.206185567010309","2010","11","09"
"2.92","3.7876712328767126","2010","11","10"
"5.05","2.5742574257425743","2010","11","10"
"2.92","2.065068493150685","2010","11","10"
"6.03","1.3184079601990049","2010","11","10"
"6.03","1.4825870646766168","2010","11","10"
"7.0","1.1357142857142857","2010","11","10"
"7.0","1.1357142857142857","2010","11","10"
"1.94","3.1082474226804124","2010","11","10"
"5.05","1.1940594059405942","2010","11","10"
"4.08","1.4779411764705883","2010","11","10"
"4.08","1.2377450980392157","2010","11","10"
"4.08","1.2377450980392157","2010","11","10"
"5.05","1.1940594059405942","2010","11","10"
"6.03","1.3184079601990049","2010","11","10"
"7.0","1.1357142857142857","2010","11","10"
"1.94","4.608247422680412","2010","11","10"
"2.92","2.397260273972603","2010","11","10"
"7.0","1.8571428571428572","2010","11","11"
"7.0","1.8571428571428572","2010","11","11"
"9.91","1.4127144298688195","2010","11","11"
"4.08","1.2377450980392157","2010","11","11"
"0.97","2.0","2010","11","11"
"5.05","1.9623762376237626","2010","11","11"
"4.08","2.9485294117647056","2010","11","11"
"8.94","1.3456375838926176","2010","11","12"
"9.91","1.3118062563067607","2010","11","12"
"6.03","1.9950248756218905","2010","11","12"
"6.03","1.6434494195688225","2010","11","12"
"2.92","3.7876712328767126","2010","11","12"
"9.91","1.6084762865792128","2010","11","12"
"8.94","2.693512304250559","2010","11","12"
"7.95","1.6352201257861634","2010","11","12"
"8.94","2.0201342281879193","2010","11","12"
"17.09","1.227033352837917","2010","11","12"
"12.03","1.3250207813798835","2010","11","12"
"13.0","1.389230769230769","2010","11","12"
"11.06","1.9846292947558768","2010","11","12"
"8.94","1.45413870246085","2010","11","12"
"9.91","1.7245206861755802","2010","11","12"
"9.91","1.4127144298688195","2010","11","12"
"2.92","3.0616438356164384","2010","11","12"
"7.0","2.7214285714285715","2010","11","12"
"6.03","2.8341625207296848","2010","11","13"
"4.08","1.9485294117647058","2010","11","13"
"1.94","4.0979381443298974","2010","11","13"
"1.94","1.5051546391752577","2010","11","13"
"5.05","1.5742574257425743","2010","11","13"
"8.94","1.6744966442953022","2010","11","13"
"5.05","1.1940594059405942","2010","11","13"
"5.05","1.3861386138613863","2010","11","13"
"4.08","1.2377450980392157","2010","11","13"
"4.08","2.7107843137254903","2010","11","13"
"2.92","1.7294520547945205","2010","11","13"
"5.05","1.3861386138613863","2010","11","13"
