"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.94","3.1082474226804124","2010","10","29"
"6.03","1.6434494195688225","2010","10","29"
"2.92","1.7294520547945205","2010","11","04"
"1.94","3.6082474226804124","2010","11","07"
"5.05","1.1940594059405942","2010","11","13"
"4.08","1.7156862745098038","2010","11","14"
"5.05","1.5742574257425743","2010","11","25"
"2.92","2.397260273972603","2010","11","25"
"2.92","1.3972602739726028","2010","11","30"
"6.03","1.834162520729685","2010","12","04"
"7.95","1.2465408805031446","2010","12","04"
"0.97","3.0103092783505154","2010","12","06"
"2.92","1.7294520547945205","2011","05","08"
"0.97","4.206185567010309","2011","05","09"
"1.94","3.1082474226804124","2011","05","09"
"2.92","3.3938356164383565","2011","05","10"
"1.94","3.1082474226804124","2011","05","11"
"2.92","2.397260273972603","2011","05","11"
"2.92","2.065068493150685","2011","05","11"
"4.08","1.2377450980392157","2011","05","11"
"5.05","1.1940594059405942","2011","05","11"
"2.92","2.065068493150685","2011","05","12"
"1.94","2.6030927835051547","2011","05","13"
"0.97","2.0","2011","05","14"
"1.94","1.5051546391752577","2011","05","14"
"0.97","3.0103092783505154","2011","05","14"
"1.94","2.1030927835051547","2011","05","14"
"4.08","1.4779411764705883","2011","05","14"
"2.92","2.065068493150685","2011","05","15"
"2.92","1.3972602739726028","2011","05","15"
"2.92","1.7294520547945205","2011","05","21"
"1.94","2.1030927835051547","2011","05","22"
"2.92","1.3972602739726028","2011","05","23"
"2.92","1.7294520547945205","2011","05","25"
"0.97","4.206185567010309","2011","05","27"
"0.97","2.0","2011","05","27"
"1.94","1.5051546391752577","2011","05","29"
"4.08","1.7156862745098038","2011","05","30"
"1.94","1.5051546391752577","2011","05","31"
"0.97","4.206185567010309","2011","06","02"
"2.92","1.3972602739726028","2011","06","02"
"2.92","2.397260273972603","2011","06","02"
"1.94","2.6030927835051547","2011","06","03"
"2.92","1.7294520547945205","2011","06","03"
"4.08","1.7156862745098038","2011","06","03"
"1.94","2.1030927835051547","2011","06","04"
"4.08","1.2377450980392157","2011","06","04"
"4.08","1.2377450980392157","2011","06","06"
"2.92","2.065068493150685","2011","06","06"
"2.92","1.3972602739726028","2011","06","06"
"0.97","3.0103092783505154","2011","06","08"
"1.94","3.6082474226804124","2011","06","08"
"4.08","1.2377450980392157","2011","06","08"
"1.94","2.6030927835051547","2011","06","08"
"2.92","1.7294520547945205","2011","06","09"
"1.94","3.6082474226804124","2011","06","09"
"2.92","1.3972602739726028","2011","06","12"
"1.94","2.6030927835051547","2011","06","12"
"0.97","2.0","2011","06","14"
"0.97","2.0","2011","06","17"
"1.94","1.5051546391752577","2011","06","20"
"1.94","2.6030927835051547","2011","06","21"
"2.92","1.3972602739726028","2011","06","22"
"1.94","2.1030927835051547","2011","06","23"
"1.94","1.5051546391752577","2011","06","24"
"0.97","3.0103092783505154","2011","06","24"
"0.97","3.0103092783505154","2011","06","25"
"4.08","1.9485294117647058","2011","06","26"
"0.97","3.0103092783505154","2011","06","28"
"0.97","2.0","2011","06","30"
"0.97","3.0103092783505154","2011","07","01"
"5.05","1.9623762376237626","2011","07","05"
"2.92","1.7294520547945205","2011","07","10"
"1.94","2.6030927835051547","2011","07","11"
"5.05","1.3861386138613863","2011","07","13"
"1.94","2.6030927835051547","2011","07","14"
"1.94","1.5051546391752577","2011","07","14"
"0.97","4.206185567010309","2011","07","14"
"2.92","1.7294520547945205","2011","07","18"
"2.92","1.3972602739726028","2011","07","20"
"1.94","3.1082474226804124","2011","07","20"
"0.97","2.0","2011","07","21"
"0.97","3.0103092783505154","2011","07","23"
"0.97","3.0103092783505154","2011","07","23"
"1.94","1.5051546391752577","2011","07","25"
"2.92","1.3972602739726028","2011","07","26"
"1.94","3.1082474226804124","2011","07","26"
"2.92","1.7294520547945205","2011","07","26"
"2.92","1.7294520547945205","2011","07","27"
"0.97","5.206185567010309","2011","07","31"
"1.94","1.5051546391752577","2011","08","02"
"6.03","1.3184079601990049","2011","08","27"
"6.03","1.9950248756218905","2011","09","03"
"0.97","5.206185567010309","2011","09","03"
"0.97","4.206185567010309","2011","09","04"
"0.97","2.0","2011","09","04"
"5.05","1.1940594059405942","2011","09","06"
"0.97","3.0103092783505154","2011","09","07"
"1.94","2.1030927835051547","2011","09","10"
"1.94","1.5051546391752577","2011","09","12"
"6.03","1.4825870646766168","2011","09","18"
"5.05","1.3861386138613863","2011","09","20"
"4.08","1.7156862745098038","2011","09","23"
"1.94","2.1030927835051547","2011","09","24"
"2.92","2.397260273972603","2011","09","28"
"1.94","2.6030927835051547","2011","09","29"
"1.94","1.5051546391752577","2011","10","01"
"0.97","3.0103092783505154","2011","10","02"
"0.97","2.0","2011","10","02"
"2.92","1.3972602739726028","2011","10","04"
"0.97","4.206185567010309","2011","10","06"
"6.03","1.1608623548922057","2011","10","07"
"0.97","5.206185567010309","2011","10","10"
"0.97","3.0103092783505154","2011","10","12"
"2.92","3.3938356164383565","2011","10","13"
"1.94","3.1082474226804124","2011","10","20"
"2.92","2.065068493150685","2011","10","23"
"2.92","2.397260273972603","2011","10","23"
"2.92","2.397260273972603","2011","10","28"
"1.94","2.6030927835051547","2011","10","30"
"13.0","1.0769230769230769","2011","10","31"
"1.94","3.1082474226804124","2011","11","08"
"8.94","1.7829977628635347","2011","11","12"
"4.08","3.4313725490196076","2011","11","13"
"2.92","1.7294520547945205","2011","11","28"
"5.05","2.1900990099009903","2011","11","28"
"2.92","1.7294520547945205","2011","12","01"
"11.06","1.2658227848101264","2011","12","05"
"6.03","1.3184079601990049","2011","12","08"
"6.03","2.3217247097844114","2011","12","09"
"0.97","5.206185567010309","2011","12","10"
"1.94","1.5051546391752577","2011","12","11"
"2.92","2.397260273972603","2011","12","13"
"2.92","2.065068493150685","2011","12","13"
"8.94","1.6744966442953022","2011","12","16"
"2.92","3.3938356164383565","2011","12","17"
"2.92","2.397260273972603","2011","12","21"
"6.03","1.6434494195688225","2011","12","21"
"2.92","3.3938356164383565","2011","12","22"
"5.05","1.9623762376237626","2011","12","24"
"3.48","2.7471264367816093","2013","04","26"
"2.6","5.007692307692308","2013","04","26"
"0.87","4.0","2013","04","27"
"1.75","5.965714285714285","2013","05","02"
"3.48","3.244252873563218","2013","05","02"
"2.6","4.680769230769231","2013","05","03"
"0.87","6.988505747126437","2013","05","04"
"0.87","2.9885057471264367","2013","05","04"
"0.87","5.988505747126437","2013","05","05"
"0.87","4.0","2013","05","08"
"2.6","2.6769230769230767","2013","05","11"
"3.48","1.7471264367816093","2013","05","12"
"2.6","2.003846153846154","2013","05","12"
"3.48","2.244252873563218","2013","05","13"
"0.87","5.988505747126437","2013","05","15"
"0.87","4.977011494252873","2013","05","15"
"0.87","4.0","2013","05","16"
"2.6","3.342307692307692","2013","05","18"
"0.87","4.977011494252873","2013","05","24"
"1.75","2.9771428571428573","2013","05","28"
"2.6","4.015384615384615","2013","05","31"
"1.75","1.9885714285714287","2013","06","02"
"0.87","5.988505747126437","2013","06","02"
"0.87","4.977011494252873","2013","06","03"
"1.75","1.4857142857142858","2013","06","04"
"0.87","6.988505747126437","2013","06","04"
"1.75","4.462857142857143","2013","06","04"
"0.87","6.988505747126437","2013","06","05"
"1.75","1.4857142857142858","2013","06","06"
"1.75","3.474285714285714","2013","06","07"
"0.87","2.9885057471264367","2013","06","08"
"3.48","1.7471264367816093","2013","06","11"
"1.75","1.0","2013","06","11"
"0.87","5.988505747126437","2013","06","12"
"2.6","3.0038461538461534","2013","06","12"
"0.87","5.988505747126437","2013","06","13"
"2.6","3.0038461538461534","2013","06","13"
"0.87","2.0114942528735633","2013","06","23"
"0.87","2.9885057471264367","2013","06","23"
"0.87","2.0114942528735633","2013","06","27"
"0.87","2.0114942528735633","2013","06","29"
"0.87","2.9885057471264367","2013","06","30"
"1.75","2.474285714285714","2013","06","30"
"0.87","2.9885057471264367","2013","07","01"
"2.6","0.3346153846153846","2013","07","01"
"0.87","5.988505747126437","2013","07","01"
"1.75","1.4857142857142858","2013","07","02"
"1.75","5.965714285714285","2013","07","02"
"0.87","2.9885057471264367","2013","07","10"
"1.75","2.9771428571428573","2013","07","14"
"0.87","4.0","2013","07","14"
"0.87","2.9885057471264367","2013","07","19"
"2.6","1.3384615384615384","2013","07","29"
"1.75","4.462857142857143","2013","08","04"
"1.75","1.9885714285714287","2013","08","04"
