"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","5.988505747126437","2016","12","16"
"1.75","2.9771428571428573","2016","12","16"
"0.87","4.977011494252873","2016","12","17"
"0.87","4.977011494252873","2016","12","17"
"0.87","5.988505747126437","2016","12","17"
"1.75","2.9771428571428573","2016","12","17"
"0.87","2.0114942528735633","2016","12","17"
"0.87","5.988505747126437","2016","12","17"
"11.29","2.8458813108945975","2016","12","18"
"0.87","2.0114942528735633","2016","12","18"
"2.6","4.342307692307692","2016","12","18"
"0.87","11.977011494252874","2016","12","18"
"1.75","3.9771428571428573","2016","12","18"
"1.75","3.474285714285714","2016","12","18"
"1.75","13.897142857142857","2016","12","18"
"1.75","3.474285714285714","2016","12","18"
"2.6","5.346153846153846","2016","12","18"
"2.6","5.346153846153846","2016","12","18"
"2.6","3.0038461538461534","2016","12","18"
"2.6","3.6692307692307686","2016","12","18"
"1.75","12.405714285714286","2016","12","19"
"0.87","2.9885057471264367","2016","12","20"
"0.87","2.9885057471264367","2016","12","20"
"0.87","2.9885057471264367","2016","12","20"
"0.87","4.0","2016","12","20"
"1.75","1.4857142857142858","2016","12","20"
"1.75","3.474285714285714","2016","12","20"
"1.75","2.9771428571428573","2016","12","21"
"1.75","1.0","2016","12","21"
"4.33","1.8036951501154732","2016","12","21"
"2.6","2.003846153846154","2016","12","21"
"0.87","2.9885057471264367","2016","12","21"
"0.87","4.0","2016","12","22"
"0.87","4.0","2016","12","22"
"0.87","8.0","2016","12","23"
"0.87","8.977011494252872","2016","12","23"
"0.87","2.9885057471264367","2016","12","23"
"0.87","2.0114942528735633","2016","12","23"
"0.87","2.0114942528735633","2016","12","25"
"0.87","2.0114942528735633","2016","12","25"
"1.75","2.9771428571428573","2016","12","25"
"2.6","2.3384615384615386","2016","12","25"
"0.87","4.977011494252873","2016","12","25"
"1.75","2.9771428571428573","2016","12","25"
"0.87","4.977011494252873","2016","12","26"
"2.6","1.3384615384615384","2016","12","26"
"0.87","5.988505747126437","2016","12","26"
"0.87","4.0","2016","12","26"
"1.75","2.9771428571428573","2016","12","26"
"1.75","1.4857142857142858","2016","12","26"
