"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.16","7.625","2016","11","02"
"0.93","2.4193548387096775","2016","11","02"
"0.82","2.914634146341464","2016","11","02"
"1.05","2.8285714285714287","2016","11","02"
"0.76","2.4342105263157894","2016","11","02"
"1.09","1.963302752293578","2016","11","02"
"0.93","2.086021505376344","2016","11","02"
"0.86","2.4418604651162794","2016","11","02"
"0.89","2.9101123595505616","2016","11","02"
"1.22","2.9508196721311477","2016","11","02"
"1.11","2.261261261261261","2016","11","02"
"1.28","2.3046875","2016","11","02"
"1.21","3.0991735537190084","2016","11","02"
"0.76","3.473684210526316","2016","11","02"
"0.93","3.258064516129032","2016","11","02"
"0.82","2.5609756097560976","2016","11","02"
"0.54","4.925925925925926","2016","11","02"
"0.25","4.04","2016","11","02"
"0.72","3.430555555555556","2016","11","02"
"1.07","2.308411214953271","2016","11","02"
"0.89","2.3146067415730336","2016","11","02"
"0.82","3.036585365853659","2016","11","02"
"0.33","3.7575757575757573","2016","11","02"
"0.37","4.621621621621622","2016","11","02"
"0.41","4.7317073170731705","2016","11","02"
"0.56","4.267857142857142","2016","11","02"
"0.51","3.725490196078431","2016","11","02"
"0.51","4.92156862745098","2016","11","02"
"1.13","2.47787610619469","2016","11","02"
"1.19","2.9747899159663866","2016","11","02"
"0.95","2.9473684210526314","2016","11","02"
"0.68","4.205882352941176","2016","11","03"
"0.62","5.145161290322581","2016","11","03"
"0.41","5.585365853658537","2016","11","03"
"0.17","7.647058823529411","2016","11","03"
"0.52","3.8846153846153846","2016","11","03"
"0.62","4.419354838709678","2016","11","03"
"0.41","4.121951219512195","2016","11","03"
"0.1","7.8","2016","11","03"
"0.04","7.249999999999999","2016","11","03"
"0.43","7.27906976744186","2016","11","03"
"0.19","10.105263157894736","2016","11","03"
"0.29","5.0344827586206895","2016","11","03"
"0.02","9.5","2016","11","03"
"0.06","8.5","2016","11","03"
"0.02","3.0","2016","11","03"
"0.1","10.5","2016","11","03"
"0.47","5.425531914893617","2016","11","03"
"0.45","4.266666666666667","2016","11","03"
"0.84","2.6428571428571432","2016","11","03"
"0.78","2.9358974358974357","2016","11","03"
"1.36","3.088235294117647","2016","11","03"
"0.72","2.6944444444444446","2016","11","03"
"0.78","2.4871794871794872","2016","11","03"
"0.99","2.7272727272727275","2016","11","03"
"1.01","2.3267326732673266","2016","11","03"
"0.56","3.3928571428571423","2016","11","03"
"0.43","6.465116279069767","2016","11","03"
"0.72","3.3194444444444446","2016","11","03"
"0.7","3.642857142857143","2016","11","03"
"1.61","2.5341614906832297","2016","11","03"
"0.37","4.054054054054054","2016","11","03"
"0.23","8.956521739130435","2016","11","03"
"0.62","4.048387096774193","2016","11","03"
"0.33","7.242424242424242","2016","11","03"
"0.27","9.074074074074074","2016","11","03"
"0.27","7.185185185185184","2016","11","03"
"0.95","2.9894736842105263","2016","11","03"
"0.78","4.1923076923076925","2016","11","03"
"0.84","2.7261904761904763","2016","11","03"
"1.98","1.9646464646464648","2016","11","03"
"1.63","3.098159509202454","2016","11","03"
"1.09","1.926605504587156","2016","11","03"
"1.32","2.3863636363636362","2016","11","03"
"0.95","2.5368421052631582","2016","11","03"
"0.72","2.263888888888889","2016","11","03"
"1.15","2.973913043478261","2016","11","03"
"0.99","2.7878787878787876","2016","11","03"
"0.84","2.107142857142857","2016","11","03"
"1.36","2.227941176470588","2016","11","03"
"0.23","5.391304347826087","2016","11","04"
"0.76","2.868421052631579","2016","11","04"
"1.03","2.5145631067961163","2016","11","04"
"0.58","5.637931034482759","2016","11","04"
"0.06","5.833333333333333","2016","11","04"
"0.14","6.785714285714285","2016","11","04"
"0.1","6.6","2016","11","04"
"0.06","5.833333333333333","2016","11","04"
"0.02","11.5","2016","11","04"
"0.29","7.517241379310346","2016","11","04"
"0.33","3.878787878787879","2016","11","04"
"0.31","4.580645161290322","2016","11","04"
"0.52","4.4423076923076925","2016","11","04"
"0.14","10.714285714285714","2016","11","04"
"0.04","5.75","2016","11","04"
"0.04","6.25","2016","11","05"
"0.06","4.166666666666667","2016","11","05"
"0.04","5.75","2016","11","05"
"0.02","4.0","2016","11","05"
"0.04","2.0","2016","11","05"
"0.06","4.166666666666667","2016","11","05"
"0.02","11.5","2016","11","05"
"0.06","4.500000000000001","2016","11","05"
"0.04","5.75","2016","11","05"
"0.19","7.157894736842105","2016","11","05"
"0.02","4.0","2016","11","05"
"0.04","5.75","2016","11","05"
"0.04","6.25","2016","11","05"
"0.02","3.0","2016","11","05"
"0.04","5.75","2016","11","05"
"0.02","11.5","2016","11","05"
"0.06","3.166666666666667","2016","11","05"
"0.04","1.5","2016","11","05"
"0.04","5.75","2016","11","05"
"0.04","2.0","2016","11","05"
"0.02","11.5","2016","11","05"
"0.04","5.75","2016","11","05"
"0.04","2.0","2016","11","05"
"0.04","2.0","2016","11","05"
"0.04","4.0","2016","11","05"
"0.04","6.25","2016","11","05"
"0.04","2.0","2016","11","05"
"0.04","4.75","2016","11","05"
"1.09","2.339449541284403","2016","11","05"
"0.58","3.310344827586207","2016","11","05"
"0.74","2.391891891891892","2016","11","05"
"0.84","3.0952380952380953","2016","11","05"
"0.58","3.4137931034482762","2016","11","05"
"0.99","2.747474747474748","2016","11","05"
"0.52","3.4038461538461537","2016","11","05"
"0.47","2.638297872340426","2016","11","05"
"0.23","5.565217391304348","2016","11","05"
"0.64","3.4375","2016","11","05"
"1.26","2.388888888888889","2016","11","05"
"1.36","2.816176470588235","2016","11","05"
"0.8","3.4999999999999996","2016","11","05"
"1.09","3.458715596330275","2016","11","05"
"0.84","2.797619047619048","2016","11","05"
"1.56","3.2884615384615383","2016","11","05"
"0.49","5.204081632653061","2016","11","05"
"0.78","3.1923076923076925","2016","11","05"
"1.03","2.2815533980582523","2016","11","05"
"1.09","3.027522935779816","2016","11","05"
"0.62","4.35483870967742","2016","11","05"
"1.3","3.330769230769231","2016","11","05"
"0.51","1.9411764705882353","2016","11","06"
"0.16","6.6875","2016","11","06"
"0.08","4.625","2016","11","06"
"0.29","3.2068965517241383","2016","11","06"
"0.39","2.3846153846153846","2016","11","06"
"0.23","5.173913043478261","2016","11","06"
"0.04","5.75","2016","11","06"
"0.33","4.878787878787879","2016","11","06"
"0.16","3.875","2016","11","06"
"0.35","3.1142857142857148","2016","11","06"
"0.29","4.551724137931035","2016","11","07"
"0.21","5.761904761904762","2016","11","07"
"0.04","2.0","2016","11","07"
"0.12","8.583333333333334","2016","11","07"
"0.19","6.263157894736842","2016","11","07"
"0.1","10.7","2016","11","07"
"0.23","7.695652173913043","2016","11","07"
"0.12","7.25","2016","11","07"
"1.44","2.048611111111111","2016","11","07"
"0.62","2.8870967741935485","2016","11","07"
"0.12","14.583333333333334","2016","11","07"
"0.1","11.1","2016","11","07"
"0.12","7.583333333333334","2016","11","07"
"0.1","11.7","2016","11","07"
"0.91","2.9230769230769234","2016","11","07"
"0.37","5.891891891891892","2016","11","07"
"0.37","4.5675675675675675","2016","11","07"
"0.21","6.190476190476191","2016","11","07"
"0.14","14.571428571428571","2016","11","07"
"0.21","6.2857142857142865","2016","11","07"
"0.1","17.9","2016","11","07"
"0.39","4.128205128205129","2016","11","07"
"0.04","6.75","2016","11","07"
"0.1","7.6","2016","11","07"
"0.04","2.5","2016","11","07"
"0.16","10.9375","2016","11","07"
"0.66","3.0303030303030303","2016","11","07"
"0.39","5.128205128205128","2016","11","07"
"0.51","5.647058823529411","2016","11","07"
"0.45","5.71111111111111","2016","11","07"
"0.35","4.457142857142857","2016","11","07"
"0.33","4.121212121212121","2016","11","07"
"0.27","7.037037037037036","2016","11","07"
"0.16","9.75","2016","11","07"
"0.06","17.833333333333336","2016","11","07"
"0.29","7.758620689655173","2016","11","07"
"0.12","7.25","2016","11","07"
"0.04","6.25","2016","11","07"
"0.14","10.714285714285714","2016","11","07"
"0.1","10.299999999999999","2016","11","07"
"0.21","6.095238095238096","2016","11","07"
"0.25","5.6","2016","11","07"
"0.54","3.388888888888889","2016","11","07"
"0.49","2.857142857142857","2016","11","07"
"0.19","6.7368421052631575","2016","11","07"
"0.87","4.735632183908046","2016","11","07"
"0.91","3.758241758241758","2016","11","07"
"0.04","5.75","2016","11","07"
"0.02","12.5","2016","11","07"
"0.04","6.25","2016","11","07"
"0.02","9.5","2016","11","07"
"0.04","9.25","2016","11","07"
"0.02","12.5","2016","11","07"
"0.04","4.25","2016","11","07"
"0.04","2.0","2016","11","07"
"0.02","3.0","2016","11","07"
"1.13","4.230088495575222","2016","11","10"
"1.26","2.5317460317460316","2016","11","10"
"1.48","2.4662162162162162","2016","11","10"
"1.59","2.1635220125786163","2016","11","10"
"1.98","2.3484848484848486","2016","11","10"
"1.3","2.2846153846153845","2016","11","10"
"1.65","3.1090909090909093","2016","11","10"
"1.5","2.9266666666666663","2016","11","10"
"0.49","5.469387755102042","2016","11","15"
"0.19","5.631578947368421","2016","11","15"
"0.19","9.0","2016","11","15"
"0.17","6.88235294117647","2016","11","15"
"0.04","14.499999999999998","2016","11","15"
"0.12","8.083333333333334","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.08","2.875","2016","11","15"
"0.1","4.3","2016","11","15"
"0.08","3.125","2016","11","15"
"0.08","4.875","2016","11","15"
"0.06","4.166666666666667","2016","11","15"
"0.06","4.166666666666667","2016","11","15"
"0.04","5.75","2016","11","15"
"0.04","6.25","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.08","10.875","2016","11","15"
"0.04","6.25","2016","11","15"
"0.06","3.8333333333333335","2016","11","15"
"0.04","5.75","2016","11","15"
"0.02","4.0","2016","11","15"
"0.04","5.75","2016","11","15"
"0.04","5.75","2016","11","15"
"0.06","4.166666666666667","2016","11","15"
"0.02","4.0","2016","11","15"
"0.04","5.75","2016","11","15"
"0.04","2.0","2016","11","16"
"1.11","5.450450450450449","2016","11","17"
"0.87","3.689655172413793","2016","11","17"
"1.07","3.850467289719626","2016","11","17"
"0.51","4.2745098039215685","2016","11","17"
"0.62","4.483870967741935","2016","11","17"
"0.39","6.717948717948718","2016","11","17"
"0.54","3.7777777777777777","2016","11","17"
"0.84","4.833333333333333","2016","11","17"
"0.41","6.2682926829268295","2016","11","17"
"0.51","8.117647058823529","2016","11","17"
"0.6","5.016666666666667","2016","11","17"
"0.64","4.703125","2016","11","17"
"0.27","5.481481481481481","2016","11","17"
"0.37","5.0","2016","11","17"
"0.74","4.256756756756757","2016","11","17"
"0.64","4.5625","2016","11","17"
"0.27","5.962962962962963","2016","11","18"
"0.7","4.171428571428572","2016","11","18"
"0.6","3.75","2016","11","18"
"0.58","3.655172413793104","2016","11","18"
"0.6","3.816666666666667","2016","11","18"
"0.16","8.125","2016","11","18"
"0.1","18.999999999999996","2016","11","18"
"0.31","4.516129032258064","2016","11","18"
"0.31","6.645161290322581","2016","11","18"
"0.43","4.604651162790698","2016","11","18"
"0.43","5.023255813953488","2016","11","18"
"0.37","4.054054054054054","2016","11","18"
"0.39","3.4871794871794872","2016","11","18"
"0.64","4.921875","2016","11","18"
"0.68","3.9705882352941178","2016","11","18"
"0.45","4.355555555555555","2016","11","18"
"0.74","2.5945945945945947","2016","11","18"
"0.51","5.568627450980392","2016","11","18"
"0.72","4.027777777777778","2016","11","18"
"0.56","3.535714285714285","2016","11","18"
"0.04","10.75","2016","11","18"
"0.16","10.9375","2016","11","18"
"0.1","13.6","2016","11","18"
"0.12","10.083333333333334","2016","11","18"
"0.16","11.875","2016","11","18"
"0.1","9.7","2016","11","18"
"0.45","5.044444444444444","2016","11","18"
"0.27","10.0","2016","11","18"
"0.27","5.777777777777778","2016","11","18"
"0.25","5.2","2016","11","18"
"0.21","5.571428571428571","2016","11","18"
"0.14","9.0","2016","11","18"
"0.29","6.03448275862069","2016","11","18"
"0.16","7.437499999999999","2016","11","19"
"0.21","7.761904761904762","2016","11","19"
"0.25","12.2","2016","11","19"
"0.21","8.523809523809524","2016","11","19"
"0.39","5.538461538461538","2016","11","19"
"0.29","6.551724137931035","2016","11","20"
"0.39","4.743589743589744","2016","11","20"
"0.1","8.399999999999999","2016","11","20"
"0.1","11.299999999999999","2016","11","20"
"0.14","8.857142857142856","2016","11","20"
"0.1","9.7","2016","11","20"
"0.1","7.8","2016","11","20"
"0.08","5.375","2016","11","20"
"0.1","11.299999999999999","2016","11","20"
"0.1","11.7","2016","11","20"
"0.16","11.6875","2016","11","20"
"0.14","7.785714285714286","2016","11","20"
"0.06","4.166666666666667","2016","11","20"
"0.1","6.3999999999999995","2016","11","20"
"0.19","5.947368421052631","2016","11","20"
"0.02","14.499999999999998","2016","11","20"
"0.06","10.333333333333334","2016","11","20"
"0.06","8.666666666666668","2016","11","20"
"0.08","12.375","2016","11","20"
"0.06","13.333333333333334","2016","11","20"
"0.06","4.500000000000001","2016","11","20"
"0.23","7.869565217391305","2016","11","20"
"0.23","8.347826086956522","2016","11","20"
"0.33","4.242424242424242","2016","11","20"
"0.02","21.5","2016","11","20"
"0.04","5.25","2016","11","20"
"0.21","9.047619047619047","2016","11","20"
"0.02","15.5","2016","11","20"
"0.08","9.5","2016","11","20"
"0.08","8.0","2016","11","20"
"0.04","13.0","2016","11","20"
"0.14","9.142857142857142","2016","11","20"
"0.1","6.8","2016","11","20"
"0.12","8.75","2016","11","20"
"0.86","2.465116279069768","2016","11","20"
"0.04","16.0","2016","11","20"
"0.35","2.542857142857143","2016","11","21"
"0.1","5.6000000000000005","2016","11","21"
"0.14","4.285714285714286","2016","11","21"
"0.12","7.583333333333334","2016","11","21"
"0.19","3.6842105263157894","2016","11","21"
"0.12","7.25","2016","11","21"
"0.1","6.8","2016","11","21"
"0.06","4.166666666666667","2016","11","21"
"0.58","2.241379310344828","2016","11","21"
"0.21","5.666666666666667","2016","11","21"
"0.14","8.714285714285714","2016","11","21"
"0.06","4.166666666666667","2016","11","21"
"0.21","4.095238095238095","2016","11","21"
"0.17","5.117647058823529","2016","11","21"
"0.06","4.166666666666667","2016","11","21"
"0.04","6.25","2016","11","21"
"0.06","4.166666666666667","2016","11","21"
"0.08","5.375","2016","11","21"
"0.1","6.6","2016","11","21"
"0.17","6.76470588235294","2016","11","21"
"0.1","7.199999999999999","2016","11","21"
"0.08","8.75","2016","11","21"
"0.14","6.642857142857142","2016","11","21"
"0.1","8.399999999999999","2016","11","21"
"0.08","6.375","2016","11","21"
"0.82","2.341463414634146","2016","11","21"
"0.1","9.499999999999998","2016","11","21"
"0.29","4.689655172413794","2016","11","21"
"0.62","2.9193548387096775","2016","11","21"
"0.19","7.368421052631579","2016","11","21"
"0.45","3.7555555555555555","2016","11","22"
"0.16","6.6875","2016","11","22"
"0.43","3.7906976744186043","2016","11","22"
