"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.47","4.212765957446809","2016","11","02"
"1.09","2.8899082568807337","2016","11","02"
"0.04","18.0","2016","11","02"
"0.99","2.929292929292929","2016","11","02"
"0.58","3.517241379310345","2016","11","02"
"0.89","2.707865168539326","2016","11","02"
"1.09","2.403669724770642","2016","11","02"
"1.34","2.1194029850746268","2016","11","02"
"1.01","2.366336633663366","2016","11","02"
"1.32","2.6363636363636362","2016","11","02"
"1.05","3.314285714285714","2016","11","02"
"0.99","2.707070707070707","2016","11","02"
"0.45","4.488888888888889","2016","11","02"
"0.68","2.8235294117647056","2016","11","02"
"1.19","3.5294117647058827","2016","11","02"
"0.54","3.8518518518518516","2016","11","02"
"0.14","9.714285714285714","2016","11","02"
"0.33","4.878787878787879","2016","11","02"
"0.45","3.1555555555555554","2016","11","02"
"0.43","8.441860465116278","2016","11","02"
"0.56","4.892857142857142","2016","11","02"
"0.35","7.3428571428571425","2016","11","03"
"0.27","6.555555555555555","2016","11","03"
"0.39","4.128205128205129","2016","11","03"
"0.21","8.142857142857142","2016","11","03"
"0.19","15.631578947368421","2016","11","03"
"0.29","8.172413793103448","2016","11","03"
"0.54","3.5555555555555554","2016","11","03"
"0.86","3.4186046511627906","2016","11","03"
"0.84","3.0357142857142856","2016","11","03"
"0.8","3.1125000000000003","2016","11","03"
"0.68","4.294117647058823","2016","11","03"
"0.74","5.256756756756757","2016","11","03"
"0.84","3.2142857142857144","2016","11","03"
"0.45","6.777777777777777","2016","11","03"
"0.47","4.425531914893617","2016","11","03"
"0.43","3.395348837209302","2016","11","03"
"0.74","3.648648648648649","2016","11","03"
"0.97","2.865979381443299","2016","11","03"
"1.15","2.9217391304347826","2016","11","03"
"1.01","3.9306930693069306","2016","11","03"
"0.8","3.8625","2016","11","03"
"0.33","6.787878787878788","2016","11","03"
"0.47","2.893617021276596","2016","11","03"
"0.56","4.017857142857142","2016","11","03"
"0.45","4.3999999999999995","2016","11","03"
"0.37","8.18918918918919","2016","11","03"
"0.51","4.411764705882353","2016","11","03"
"0.37","4.054054054054054","2016","11","03"
"0.39","3.6410256410256405","2016","11","03"
"0.31","4.258064516129033","2016","11","03"
"0.37","4.9459459459459465","2016","11","03"
"0.31","5.032258064516129","2016","11","03"
"0.39","4.0","2016","11","03"
"0.37","4.0","2016","11","03"
"0.17","9.352941176470589","2016","11","03"
"0.23","4.913043478260869","2016","11","03"
"0.37","4.054054054054054","2016","11","03"
"0.16","6.0625","2016","11","03"
"0.16","6.8125","2016","11","03"
"0.06","14.333333333333334","2016","11","03"
"0.14","5.999999999999999","2016","11","03"
"0.12","13.583333333333332","2016","11","03"
"0.27","4.518518518518518","2016","11","03"
"0.41","4.073170731707317","2016","11","03"
"0.06","18.833333333333332","2016","11","03"
"1.44","3.430555555555556","2016","11","03"
"1.56","2.3269230769230766","2016","11","03"
"1.5","2.8000000000000003","2016","11","03"
"0.56","4.267857142857142","2016","11","04"
"0.52","4.596153846153846","2016","11","04"
"0.49","3.6938775510204085","2016","11","04"
"0.06","9.333333333333334","2016","11","04"
"0.1","8.2","2016","11","04"
"0.1","13.2","2016","11","04"
"0.14","5.714285714285714","2016","11","04"
"0.04","6.25","2016","11","04"
"0.04","5.75","2016","11","04"
"0.04","5.75","2016","11","05"
"1.22","2.7540983606557377","2016","11","05"
"2.22","2.234234234234234","2016","11","05"
"1.19","2.80672268907563","2016","11","05"
"0.95","2.6210526315789475","2016","11","05"
"0.82","3.6707317073170733","2016","11","05"
"1.34","3.044776119402985","2016","11","05"
"0.95","3.073684210526316","2016","11","05"
"0.8","2.9375","2016","11","05"
"0.95","3.9263157894736844","2016","11","05"
"0.35","5.171428571428572","2016","11","05"
"0.43","2.9767441860465116","2016","11","05"
"1.05","3.0","2016","11","05"
"1.4","2.5","2016","11","05"
"1.42","2.2183098591549295","2016","11","05"
"0.54","4.462962962962963","2016","11","06"
"0.66","3.1515151515151514","2016","11","06"
"0.06","14.0","2016","11","07"
"0.06","14.5","2016","11","07"
"0.16","9.125","2016","11","07"
