"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.74","4.445945945945946","2016","11","03"
"0.06","3.8333333333333335","2016","11","04"
"0.06","3.166666666666667","2016","11","04"
"0.82","4.878048780487805","2016","11","06"
"0.27","7.925925925925926","2016","11","06"
"0.06","3.8333333333333335","2016","11","06"
"0.06","3.8333333333333335","2016","11","16"
"0.04","6.25","2016","11","16"
"1.61","2.826086956521739","2016","11","16"
"1.09","2.9082568807339446","2016","11","16"
"0.86","3.7790697674418605","2016","11","17"
"0.35","4.057142857142857","2016","11","17"
"0.6","4.466666666666667","2016","11","17"
"0.39","5.641025641025641","2016","11","17"
"0.76","4.657894736842105","2016","11","17"
"0.37","7.243243243243244","2016","11","17"
"0.06","3.8333333333333335","2016","11","18"
"0.1","9.899999999999999","2016","11","18"
"0.06","9.333333333333334","2016","11","18"
"0.76","4.578947368421052","2016","11","19"
"0.27","6.777777777777778","2016","11","19"
"0.37","5.621621621621622","2016","11","19"
"0.45","3.888888888888889","2016","11","19"
"1.09","3.1926605504587156","2016","11","19"
"0.21","6.095238095238096","2016","11","19"
"0.47","6.3617021276595755","2016","11","19"
"1.07","2.887850467289719","2016","11","19"
"1.05","4.219047619047618","2016","11","19"
"0.84","3.2857142857142856","2016","11","19"
"0.56","3.75","2016","11","19"
"0.43","4.069767441860465","2016","11","19"
"0.87","3.9310344827586206","2016","11","19"
"0.43","5.325581395348838","2016","11","19"
"0.87","3.1264367816091956","2016","11","20"
"0.47","4.765957446808511","2016","11","20"
"0.56","4.0","2016","11","20"
"0.1","9.899999999999999","2016","11","21"
"0.12","7.166666666666667","2016","11","21"
"0.49","3.183673469387755","2016","11","21"
"0.17","6.999999999999999","2016","11","22"
"0.39","3.3333333333333335","2016","11","22"
"0.23","7.0","2016","11","23"
"0.19","7.7894736842105265","2016","11","23"
"0.1","5.999999999999999","2016","11","23"
"0.12","5.333333333333334","2016","11","23"
"0.37","4.513513513513513","2016","11","23"
"0.06","3.8333333333333335","2016","11","23"
"0.1","7.8","2016","11","23"
"0.06","3.8333333333333335","2016","11","23"
"0.06","3.8333333333333335","2016","11","24"
"0.06","3.8333333333333335","2016","11","24"
"0.41","3.1219512195121952","2016","11","24"
"0.14","5.571428571428571","2016","11","24"
"0.06","3.5","2016","11","28"
"0.06","3.8333333333333335","2016","11","28"
"0.06","3.8333333333333335","2016","11","28"
"0.06","4.166666666666667","2016","11","28"
"0.04","5.75","2016","11","28"
"0.06","3.8333333333333335","2016","11","28"
"0.06","2.0","2016","11","29"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
"0.06","3.8333333333333335","2016","12","03"
