"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.08","12.625","2016","07","14"
"0.43","6.906976744186047","2016","07","15"
"0.02","28.000000000000004","2016","07","15"
"0.06","18.166666666666668","2016","07","15"
"0.35","10.0","2016","07","16"
"0.17","12.705882352941176","2016","07","16"
"0.37","7.72972972972973","2016","07","16"
"2.04","3.46078431372549","2016","07","16"
"0.1","12.6","2016","07","17"
"0.06","14.833333333333334","2016","07","17"
"0.89","5.280898876404494","2016","07","18"
"0.8","4.124999999999999","2016","07","18"
"0.66","4.5","2016","07","19"
"0.17","11.52941176470588","2016","07","19"
"1.69","3.6804733727810652","2016","07","19"
"2.08","2.990384615384615","2016","07","19"
"4.08","2.1495098039215685","2016","07","19"
"2.95","2.4983050847457626","2016","07","19"
"0.64","5.34375","2016","07","20"
"1.24","3.685483870967742","2016","07","20"
"1.75","2.9314285714285715","2016","07","20"
"0.62","7.17741935483871","2016","07","20"
"0.86","4.1395348837209305","2016","07","20"
"1.75","2.834285714285714","2016","07","20"
"0.8","5.074999999999999","2016","07","21"
"0.82","3.4146341463414633","2016","07","21"
"0.33","6.545454545454546","2016","07","21"
"1.67","2.4670658682634734","2016","07","21"
"2.59","2.131274131274131","2016","07","21"
"1.46","3.6095890410958904","2016","07","22"
"1.52","4.552631578947368","2016","07","23"
"1.89","3.291005291005291","2016","07","23"
"1.69","4.059171597633137","2016","07","23"
"1.17","5.384615384615385","2016","07","23"
"1.54","5.1103896103896105","2016","07","23"
"2.59","4.737451737451738","2016","07","24"
"2.16","3.8518518518518516","2016","07","24"
"2.18","3.9954128440366974","2016","07","24"
"1.85","4.0864864864864865","2016","07","24"
"1.32","4.946969696969697","2016","07","25"
"1.17","4.452991452991453","2016","07","25"
"0.74","4.45945945945946","2016","07","25"
"0.78","6.0256410256410255","2016","07","25"
"1.17","3.256410256410257","2016","07","25"
"0.8","5.875","2016","07","25"
"1.19","3.2016806722689077","2016","07","25"
"1.32","3.0303030303030303","2016","07","26"
"0.08","15.75","2016","07","26"
"0.16","15.0625","2016","07","26"
"0.87","4.540229885057472","2016","07","26"
"0.12","11.000000000000002","2016","07","27"
"0.21","7.857142857142857","2016","07","27"
"0.74","7.297297297297298","2016","07","28"
"0.95","5.0736842105263165","2016","07","28"
"0.82","5.2682926829268295","2016","07","28"
"1.42","4.915492957746479","2016","07","28"
"1.81","4.458563535911602","2016","07","28"
"1.3","4.3076923076923075","2016","07","28"
"0.31","6.129032258064516","2016","07","30"
"1.15","4.3130434782608695","2016","07","31"
"0.43","8.86046511627907","2016","07","31"
"0.06","18.166666666666668","2016","07","31"
"1.24","3.435483870967742","2016","07","31"
"1.87","3.1604278074866308","2016","07","31"
"1.26","3.531746031746032","2016","08","01"
"0.45","5.533333333333334","2016","08","01"
"0.08","10.5","2016","08","01"
"0.12","7.916666666666667","2016","08","01"
"0.35","8.485714285714288","2016","08","02"
"0.43","6.790697674418604","2016","08","02"
"0.19","13.105263157894738","2016","08","02"
"1.4","2.678571428571429","2016","08","02"
"1.22","2.7540983606557377","2016","08","02"
"0.12","9.583333333333332","2016","08","03"
"0.27","6.851851851851852","2016","08","03"
"1.44","2.3333333333333335","2016","08","03"
"0.19","9.421052631578947","2016","08","03"
"0.97","4.505154639175258","2016","08","03"
"0.16","7.187499999999999","2016","08","06"
"0.19","6.052631578947368","2016","08","06"
"1.83","3.333333333333333","2016","08","06"
"3.21","2.869158878504673","2016","08","06"
"0.02","32.0","2016","08","07"
"0.08","11.875","2016","08","07"
"0.47","8.106382978723405","2016","08","07"
"1.87","2.6844919786096253","2016","08","07"
"2.27","2.515418502202643","2016","08","07"
"1.24","4.0","2016","08","08"
"0.25","8.08","2016","08","09"
"0.95","5.0736842105263165","2016","08","09"
"1.54","2.8051948051948052","2016","08","09"
"0.49","6.857142857142857","2016","08","09"
"0.1","17.9","2016","08","09"
"0.49","5.204081632653061","2016","08","09"
"0.8","5.637499999999999","2016","08","09"
"1.09","3.1376146788990824","2016","08","09"
"0.91","4.956043956043955","2016","08","10"
"0.95","5.221052631578948","2016","08","10"
"0.21","7.857142857142857","2016","08","12"
"0.6","4.15","2016","08","13"
"0.37","3.945945945945946","2016","08","13"
"0.89","5.0","2016","08","14"
"0.45","6.355555555555555","2016","08","14"
"0.76","5.0131578947368425","2016","08","14"
"1.21","4.1900826446281","2016","08","14"
"1.28","4.4609375","2016","08","14"
"1.56","4.108974358974359","2016","08","15"
"1.77","3.5141242937853105","2016","08","15"
"1.42","4.246478873239437","2016","08","16"
"1.5","3.6","2016","08","16"
"1.77","2.6892655367231635","2016","08","16"
"1.96","2.913265306122449","2016","08","16"
"1.54","3.0194805194805197","2016","08","16"
"0.16","8.25","2016","08","17"
"0.33","5.757575757575757","2016","08","17"
"0.04","17.5","2016","08","18"
"1.59","4.471698113207547","2016","08","19"
"1.5","3.7733333333333334","2016","08","19"
"0.43","4.883720930232559","2016","08","19"
"0.25","9.64","2016","08","19"
"1.67","2.5868263473053896","2016","08","19"
"2.2","2.2545454545454544","2016","08","19"
"1.61","2.453416149068323","2016","08","20"
"0.12","7.416666666666667","2016","08","20"
"2.0","2.885","2016","08","20"
"0.6","4.866666666666667","2016","08","21"
"1.01","3.3267326732673266","2016","08","22"
"1.15","2.7043478260869565","2016","08","22"
"1.48","2.837837837837838","2016","08","22"
"1.9","3.036842105263158","2016","08","22"
"1.98","2.8585858585858586","2016","08","22"
"2.47","2.469635627530364","2016","08","23"
"0.84","4.071428571428571","2016","08","23"
"0.64","6.25","2016","08","23"
"0.87","4.218390804597701","2016","08","23"
