"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.16","6.8125","2016","07","14"
"0.29","8.965517241379311","2016","07","14"
"0.12","11.000000000000002","2016","07","14"
"0.37","5.675675675675676","2016","07","14"
"0.39","5.871794871794871","2016","07","14"
"0.72","6.458333333333334","2016","07","14"
"0.47","11.340425531914894","2016","07","15"
"0.45","6.6000000000000005","2016","07","15"
"0.29","6.379310344827587","2016","07","15"
"0.02","28.000000000000004","2016","07","16"
"0.04","16.0","2016","07","17"
"0.49","3.653061224489796","2016","07","18"
"0.29","7.448275862068966","2016","07","18"
"0.25","6.6","2016","07","19"
"0.31","4.258064516129033","2016","07","21"
"0.31","7.387096774193549","2016","07","21"
"0.52","5.98076923076923","2016","07","22"
"0.78","6.576923076923077","2016","07","22"
"0.95","4.157894736842105","2016","07","22"
"0.56","5.660714285714285","2016","07","22"
"0.76","4.934210526315789","2016","07","22"
"0.86","4.430232558139535","2016","07","22"
"1.22","3.4426229508196724","2016","07","22"
"0.74","4.391891891891892","2016","07","22"
"0.99","4.808080808080808","2016","07","23"
"1.01","6.099009900990099","2016","07","23"
"1.28","4.7109375","2016","07","23"
"1.44","5.291666666666667","2016","07","24"
"0.95","6.221052631578948","2016","07","24"
"0.74","4.891891891891892","2016","07","24"
"0.89","5.0","2016","07","24"
"0.99","4.868686868686869","2016","07","24"
"0.95","5.5473684210526315","2016","07","24"
"0.91","4.8901098901098905","2016","07","25"
"0.86","3.7790697674418605","2016","07","25"
"0.72","6.263888888888888","2016","07","25"
"1.13","5.106194690265487","2016","07","25"
"1.17","4.837606837606838","2016","07","25"
"0.97","5.288659793814433","2016","07","25"
"1.01","4.405940594059406","2016","07","25"
"0.6","8.166666666666668","2016","07","25"
"0.31","4.258064516129033","2016","07","26"
"0.16","12.25","2016","07","26"
"0.35","7.114285714285716","2016","07","27"
"0.12","15.833333333333334","2016","07","27"
"0.1","11.499999999999998","2016","07","27"
"0.58","4.586206896551725","2016","07","27"
"0.16","8.75","2016","07","28"
"0.37","7.5675675675675675","2016","07","28"
"0.49","5.204081632653061","2016","07","28"
"0.93","4.849462365591397","2016","07","28"
"0.84","5.369047619047619","2016","07","28"
"0.74","5.486486486486486","2016","07","28"
"0.87","5.402298850574713","2016","07","29"
