"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","1.0","2016","06","01"
"0.87","1.0","2016","06","01"
"1.75","1.4857142857142858","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"0.87","2.0114942528735633","2016","06","03"
"2.6","1.3384615384615384","2016","06","06"
"5.21","1.0","2016","06","06"
"1.75","2.474285714285714","2016","06","07"
"3.48","1.0","2016","06","07"
"2.6","1.0","2016","06","07"
"0.87","1.0","2016","06","07"
"0.87","2.0114942528735633","2016","06","07"
"1.75","1.9885714285714287","2016","06","07"
"1.75","1.0","2016","06","07"
"1.75","1.0","2016","06","07"
"2.6","1.6653846153846155","2016","06","07"
"2.6","1.0","2016","06","10"
"2.6","1.0","2016","06","10"
"0.87","2.9885057471264367","2016","06","12"
"2.6","1.0","2016","06","12"
"2.6","1.0","2016","06","12"
"1.75","1.0","2016","06","12"
"1.75","1.0","2016","06","12"
"0.87","2.0114942528735633","2016","06","12"
"0.87","2.0114942528735633","2016","06","12"
"4.33","1.0","2016","06","12"
"6.96","1.0","2016","06","13"
"2.6","1.3384615384615384","2016","06","13"
"2.6","1.0","2016","06","13"
"5.21","1.0","2016","06","16"
"3.48","1.2442528735632183","2016","06","16"
"2.6","1.0","2016","06","16"
"1.75","1.4857142857142858","2016","06","17"
"1.75","1.4857142857142858","2016","06","21"
"3.48","1.0","2016","06","23"
"0.87","1.0","2016","06","23"
"3.48","1.2442528735632183","2016","06","23"
"3.48","1.0","2016","06","27"
"1.75","1.0","2016","06","28"
"2.6","1.0","2016","06","29"
"0.87","1.0","2016","07","01"
"3.48","1.0","2016","07","04"
"2.6","1.0","2016","07","04"
"0.87","2.0114942528735633","2016","07","04"
"1.75","1.0","2016","07","04"
"0.87","2.9885057471264367","2016","07","04"
"2.6","1.0","2016","07","04"
"0.87","2.9885057471264367","2016","07","04"
"0.87","1.0","2016","07","05"
"0.87","2.0114942528735633","2016","07","05"
"0.87","1.0","2016","07","05"
"0.87","2.0114942528735633","2016","07","05"
"6.96","1.0","2016","07","06"
"1.75","1.4857142857142858","2016","07","06"
"4.33","1.0","2016","07","06"
"4.33","1.0","2016","07","06"
"5.21","1.0","2016","07","09"
"1.75","1.4857142857142858","2016","07","09"
"0.87","2.0114942528735633","2016","07","11"
"2.6","1.0","2016","07","11"
"1.75","1.0","2016","07","11"
"1.75","1.4857142857142858","2016","07","11"
"2.6","1.0","2016","07","11"
"0.87","1.0","2016","07","11"
"4.33","1.0","2016","07","11"
"5.21","1.0","2016","07","11"
"1.75","1.0","2016","07","11"
"0.87","1.0","2016","07","12"
"0.87","2.0114942528735633","2016","07","12"
"1.75","1.0","2016","07","13"
"0.87","1.0","2016","07","13"
"0.87","1.0","2016","07","13"
"2.6","1.0","2016","07","14"
"3.48","1.0","2016","07","14"
"2.6","1.0","2016","07","14"
"2.6","1.0","2016","07","14"
"2.6","1.0","2016","07","14"
"1.75","1.4857142857142858","2016","07","14"
"2.6","1.0","2016","07","15"
"3.48","1.0","2016","07","15"
"1.75","1.0","2016","07","15"
"0.87","2.0114942528735633","2016","07","15"
"0.87","1.0","2016","07","15"
"2.6","1.0","2016","07","15"
"1.75","1.0","2016","07","16"
"2.6","1.0","2016","07","21"
"0.87","2.0114942528735633","2016","07","22"
"1.75","1.4857142857142858","2016","07","29"
"2.6","1.0","2016","07","30"
"0.87","2.0114942528735633","2016","07","30"
"0.87","2.0114942528735633","2016","07","30"
"0.87","1.0","2016","07","30"
"4.33","1.0","2016","07","30"
"2.6","1.0","2016","07","31"
"3.48","1.2442528735632183","2016","07","31"
"1.75","1.0","2016","07","31"
"0.87","2.9885057471264367","2016","07","31"
"1.75","1.0","2016","07","31"
"1.75","1.0","2016","08","01"
"1.75","1.0","2016","08","01"
"0.87","2.0114942528735633","2016","08","01"
"1.75","1.0","2016","08","02"
"2.6","1.0","2016","08","02"
"1.75","1.0","2016","08","02"
"1.75","1.0","2016","08","02"
"2.6","1.0","2016","08","02"
"2.6","1.0","2016","08","02"
"3.48","1.0","2016","08","04"
"3.48","1.0","2016","08","04"
"1.75","1.9885714285714287","2016","08","04"
"0.87","1.0","2016","08","05"
"0.87","2.0114942528735633","2016","08","08"
"3.48","1.2442528735632183","2016","08","08"
"4.33","1.0","2016","08","08"
"3.48","1.0","2016","08","09"
"2.6","1.3384615384615384","2016","08","09"
"4.33","1.2032332563510393","2016","08","10"
"1.75","1.0","2016","08","10"
"1.75","1.0","2016","08","10"
"1.75","1.0","2016","08","10"
"2.6","1.0","2016","08","10"
"3.48","1.0","2016","08","15"
"3.48","1.0","2016","08","15"
"2.6","1.0","2016","08","16"
"6.96","1.0","2016","08","17"
"3.48","1.0","2016","08","18"
"4.33","1.0","2016","08","19"
"3.48","1.0","2016","08","19"
"0.87","2.9885057471264367","2016","08","19"
"3.48","1.0","2016","08","19"
"0.87","1.0","2016","08","19"
"2.6","1.3384615384615384","2016","08","19"
"1.75","1.0","2016","08","19"
"3.48","1.2442528735632183","2016","08","19"
"3.48","1.0","2016","08","19"
"1.75","1.9885714285714287","2016","08","19"
"3.48","1.0","2016","08","19"
"2.6","1.3384615384615384","2016","08","19"
"5.21","1.0","2016","08","19"
"1.75","1.4857142857142858","2016","08","19"
"2.6","1.3384615384615384","2016","08","19"
"5.21","1.1669865642994242","2016","08","20"
"6.08","1.0","2016","08","20"
"0.87","2.0114942528735633","2016","08","20"
"2.6","1.0","2016","08","20"
"0.87","1.0","2016","08","20"
"0.87","2.0114942528735633","2016","08","20"
"0.87","1.0","2016","08","20"
"4.33","1.0","2016","08","20"
"2.6","1.6653846153846155","2016","08","20"
"0.87","4.0","2016","08","21"
"3.48","1.0","2016","08","21"
"0.87","1.0","2016","08","22"
"1.75","1.0","2016","08","22"
"4.33","1.0","2016","08","23"
"1.75","2.474285714285714","2016","08","23"
"2.6","1.0","2016","08","23"
"5.21","1.0","2016","08","25"
"4.33","1.0","2016","08","25"
"2.6","1.0","2016","08","25"
"1.75","1.0","2016","08","25"
"2.6","1.0","2016","08","25"
"1.75","1.0","2016","08","25"
"1.75","1.0","2016","08","26"
"2.6","1.3384615384615384","2016","08","26"
"1.75","1.4857142857142858","2016","08","26"
"1.75","1.0","2016","08","26"
"1.75","1.0","2016","08","26"
"3.48","1.0","2016","08","26"
"3.48","1.0","2016","08","27"
"1.75","3.474285714285714","2016","08","27"
"8.69","1.0","2016","08","28"
"10.44","1.0","2016","08","28"
"14.77","1.0","2016","08","28"
"16.5","1.0","2016","08","28"
"13.9","1.2503597122302157","2016","08","28"
"13.9","1.3762589928057554","2016","08","28"
"16.5","1.0533333333333332","2016","08","28"
"13.02","1.4692780337941629","2016","08","28"
"14.77","1.059580230196344","2016","08","28"
"11.29","1.6164747564216122","2016","08","28"
"6.96","2.6221264367816093","2016","08","28"
"13.02","1.1344086021505377","2016","08","28"
"8.69","2.100115074798619","2016","08","28"
"17.38","1.0","2016","08","28"
"9.56","1.544979079497908","2016","08","28"
"11.29","1.5394154118689105","2016","08","29"
"7.81","2.1126760563380285","2016","08","29"
"9.56","1.3619246861924685","2016","08","29"
"7.81","2.2253521126760565","2016","08","30"
"17.38","1.0","2016","08","30"
"8.69","1.4982738780207134","2016","08","30"
"8.69","1.0","2016","08","30"
"7.81","1.3367477592829706","2016","08","30"
"12.17","1.0","2016","08","30"
"6.08","1.0","2016","08","30"
"5.21","2.0038387715930903","2016","08","30"
"9.56","1.2730125523012552","2016","08","30"
"9.56","1.725941422594142","2016","08","30"
"15.65","1.0543130990415335","2016","08","30"
"13.02","1.3348694316436251","2016","08","30"
"18.25","1.0","2016","08","30"
"13.02","1.0675883256528418","2016","08","30"
"14.77","1.2356127285037237","2016","08","30"
"13.9","1.1870503597122302","2016","08","30"
"13.02","1.401689708141321","2016","08","30"
"13.02","1.401689708141321","2016","08","30"
"17.38","1.0","2016","08","30"
"12.17","1.6417419884963025","2016","08","30"
"14.77","1.1767095463777928","2016","08","30"
"17.38","1.0","2016","08","30"
"14.77","1.1171293161814488","2016","08","30"
"7.81","1.1126760563380282","2016","08","31"
"11.29","1.0","2016","08","31"
"6.96","1.8706896551724137","2016","08","31"
"16.5","1.210909090909091","2016","08","31"
"11.29","1.3861824623560675","2016","08","31"
"14.77","1.0","2016","08","31"
"18.25","1.0482191780821917","2016","08","31"
"13.9","1.0","2016","08","31"
"7.81","1.558258642765685","2016","08","31"
"18.25","1.0947945205479452","2016","08","31"
"7.81","1.0","2016","09","01"
"0.87","1.0","2016","09","01"
"3.48","1.4971264367816093","2016","09","02"
"3.48","1.7471264367816093","2016","09","02"
"2.6","2.6769230769230767","2016","09","02"
"2.6","1.0","2016","09","02"
"3.48","1.0","2016","09","02"
"1.75","1.0","2016","09","02"
"1.75","1.9885714285714287","2016","09","03"
"3.48","2.244252873563218","2016","09","03"
