"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","1.0","2016","06","01"
"4.33","1.2032332563510393","2016","06","06"
"0.87","1.0","2016","06","07"
"3.48","1.0","2016","06","07"
"0.87","4.977011494252873","2016","06","07"
"2.6","1.0","2016","06","07"
"11.29","1.0","2016","06","08"
"10.44","1.0814176245210727","2016","06","08"
"9.56","1.0","2016","06","08"
"10.44","1.0814176245210727","2016","06","08"
"9.56","1.0920502092050208","2016","06","08"
"10.44","1.0","2016","06","08"
"11.29","1.0","2016","06","08"
"12.17","1.0698438783894824","2016","06","08"
"12.17","1.0","2016","06","08"
"13.9","1.0","2016","06","08"
"10.44","1.2471264367816093","2016","06","08"
"0.87","1.0","2016","06","11"
"0.87","1.0","2016","06","12"
"1.75","1.4857142857142858","2016","06","12"
"2.6","1.0","2016","06","13"
"1.75","1.4857142857142858","2016","06","13"
"8.69","1.0","2016","06","14"
"7.81","1.0","2016","06","14"
"8.69","1.1001150747986193","2016","06","14"
"10.44","1.0","2016","06","15"
"10.44","1.0","2016","06","15"
"8.69","1.1001150747986193","2016","06","15"
"8.69","1.4004602991944766","2016","06","15"
"12.17","1.0","2016","06","15"
"6.96","1.5","2016","06","15"
"6.08","2.0016447368421053","2016","06","15"
"3.48","1.7471264367816093","2016","06","15"
"6.08","1.2845394736842104","2016","06","15"
"4.33","1.0","2016","06","16"
"2.6","1.0","2016","06","16"
"3.48","1.0","2016","07","01"
"1.75","1.0","2016","07","01"
"1.75","1.0","2016","07","01"
"0.87","1.0","2016","07","03"
"0.87","1.0","2016","07","04"
"0.87","1.0","2016","07","04"
"1.75","1.0","2016","07","04"
"1.75","1.0","2016","07","04"
"1.75","1.9885714285714287","2016","07","04"
"0.87","2.9885057471264367","2016","07","04"
"0.87","2.0114942528735633","2016","07","04"
"6.08","1.0","2016","07","08"
"5.21","1.4990403071017273","2016","07","08"
"4.33","1.4041570438799076","2016","07","08"
"0.87","1.0","2016","07","11"
"0.87","1.0","2016","07","12"
"0.87","1.0","2016","07","12"
"1.75","1.0","2016","07","12"
"6.08","1.2845394736842104","2016","07","12"
"7.81","1.1126760563380282","2016","07","13"
"4.33","1.8036951501154732","2016","07","13"
"0.87","2.0114942528735633","2016","07","13"
"2.6","1.0","2016","07","14"
"1.75","1.0","2016","07","14"
"1.75","1.0","2016","07","15"
"3.48","1.0","2016","07","15"
"4.33","1.2032332563510393","2016","07","16"
"4.33","1.0","2016","07","16"
"1.75","1.0","2016","07","16"
"2.6","1.0","2016","07","16"
"5.21","1.0","2016","07","16"
"5.21","1.0","2016","07","16"
"5.21","1.0","2016","07","16"
"5.21","1.1669865642994242","2016","07","16"
"0.87","2.9885057471264367","2016","07","29"
"1.75","1.4857142857142858","2016","07","31"
"2.6","1.0","2016","07","31"
"0.87","2.0114942528735633","2016","08","01"
"6.96","1.0","2016","08","01"
"6.08","1.0","2016","08","01"
"2.6","1.0","2016","08","02"
"0.87","2.0114942528735633","2016","08","02"
"2.6","1.0","2016","08","02"
"3.48","1.0","2016","08","04"
"2.6","1.3384615384615384","2016","08","04"
"4.33","1.0","2016","08","04"
"7.81","1.1126760563380282","2016","08","04"
"2.6","1.3384615384615384","2016","08","05"
"2.6","1.3384615384615384","2016","08","05"
"1.75","1.0","2016","08","05"
"6.96","1.0","2016","08","05"
"1.75","1.0","2016","08","06"
"2.6","1.0","2016","08","06"
"3.48","1.0","2016","08","06"
"6.96","1.0","2016","08","06"
"6.08","1.0","2016","08","06"
"7.81","1.1126760563380282","2016","08","06"
"9.56","1.0","2016","08","06"
"9.56","1.0","2016","08","06"
"10.44","1.0","2016","08","06"
"12.17","1.0","2016","08","06"
"2.6","2.3384615384615386","2016","08","07"
"1.75","1.0","2016","08","07"
"4.33","1.0","2016","08","07"
"2.6","1.0","2016","08","07"
"6.08","1.0","2016","08","07"
"2.6","1.6653846153846155","2016","08","08"
"0.87","2.0114942528735633","2016","08","19"
"0.87","2.9885057471264367","2016","08","19"
"0.87","1.0","2016","08","20"
"2.6","1.0","2016","08","20"
"0.87","1.0","2016","08","20"
"1.75","1.0","2016","08","20"
"3.48","1.0","2016","08","20"
"1.75","1.0","2016","08","20"
"4.33","1.2032332563510393","2016","08","20"
"4.33","1.0","2016","08","20"
"5.21","1.0","2016","08","20"
"5.21","1.0","2016","08","21"
"5.21","1.0","2016","08","21"
"6.96","1.0","2016","08","21"
"5.21","1.0","2016","08","21"
"6.96","1.122126436781609","2016","08","21"
"6.96","1.5","2016","08","21"
"0.87","1.0","2016","08","22"
"0.87","2.0114942528735633","2016","08","25"
"0.87","2.9885057471264367","2016","08","25"
"6.96","1.0","2016","08","26"
"10.44","1.0814176245210727","2016","08","26"
"2.6","1.3384615384615384","2016","08","27"
"4.33","1.0","2016","08","27"
"2.6","1.0","2016","08","27"
"11.29","1.7697077059344555","2016","08","28"
