"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.48","2.0","2002","08","29"
"3.48","1.7471264367816093","2002","08","29"
"1.75","4.462857142857143","2002","08","29"
"1.75","1.9885714285714287","2002","08","29"
"0.87","4.0","2002","08","30"
"4.33","3.0069284064665127","2002","08","30"
"9.56","1.3619246861924685","2002","08","30"
"6.96","1.8706896551724137","2002","08","30"
"6.96","1.7485632183908046","2002","08","30"
"6.96","1.622126436781609","2002","08","30"
"6.96","1.622126436781609","2002","08","30"
"7.81","1.4455825864276568","2002","08","30"
"6.96","1.622126436781609","2002","08","30"
"6.08","1.7171052631578947","2002","08","30"
"1.75","4.462857142857143","2002","08","30"
"4.33","1.8036951501154732","2002","08","30"
"1.75","4.462857142857143","2002","08","30"
"1.75","2.474285714285714","2002","08","30"
"1.75","2.9771428571428573","2002","08","30"
"1.75","3.9771428571428573","2002","08","30"
"5.21","1.834932821497121","2002","08","30"
"4.33","1.8036951501154732","2002","08","30"
"4.33","2.41108545034642","2002","08","30"
"5.21","2.0038387715930903","2002","08","30"
"4.33","2.0069284064665127","2002","08","30"
"2.6","4.342307692307692","2002","08","31"
"5.21","2.166986564299424","2002","08","31"
"3.48","2.244252873563218","2002","08","31"
"2.6","2.003846153846154","2002","08","31"
"0.87","4.977011494252873","2002","08","31"
"1.75","3.9771428571428573","2002","08","31"
"1.75","4.965714285714285","2002","08","31"
"3.48","4.244252873563219","2002","08","31"
"6.08","1.7171052631578947","2002","08","31"
"6.08","1.7171052631578947","2002","08","31"
"4.33","3.0069284064665127","2002","08","31"
"6.96","2.1221264367816093","2002","08","31"
"6.08","2.1414473684210527","2002","08","31"
"6.96","1.9971264367816093","2002","08","31"
"8.69","1.6996547756041427","2002","08","31"
"7.81","1.6670934699103714","2002","08","31"
"6.08","2.1414473684210527","2002","08","31"
"6.96","1.622126436781609","2002","09","01"
"4.33","2.0069284064665127","2002","09","01"
"5.21","2.0038387715930903","2002","09","01"
"4.33","1.8036951501154732","2002","09","01"
"2.6","1.6653846153846155","2002","09","01"
"1.75","1.4857142857142858","2002","09","01"
"1.75","1.9885714285714287","2002","09","01"
"1.75","1.9885714285714287","2002","09","01"
