"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","1.6653846153846155","2002","09","05"
"1.75","2.474285714285714","2002","09","05"
"0.87","4.0","2002","09","12"
"1.75","1.9885714285714287","2002","09","13"
"0.87","4.0","2002","09","13"
"0.87","2.9885057471264367","2002","09","13"
"0.87","8.0","2002","09","24"
"0.87","6.988505747126437","2002","09","24"
"0.87","4.0","2002","09","25"
"0.87","4.977011494252873","2002","09","25"
"0.87","5.988505747126437","2002","09","26"
"0.87","8.0","2003","05","02"
"2.6","2.003846153846154","2003","05","04"
"2.6","2.003846153846154","2003","05","04"
"0.87","6.988505747126437","2003","05","04"
"3.48","2.4971264367816093","2003","05","05"
"1.75","2.474285714285714","2003","05","05"
"2.6","2.3384615384615386","2003","05","05"
"2.6","1.6653846153846155","2003","05","05"
"2.6","5.007692307692308","2003","05","05"
"0.87","4.977011494252873","2003","05","08"
"0.87","4.0","2003","05","08"
"1.75","1.9885714285714287","2003","05","08"
"1.75","1.9885714285714287","2003","05","08"
"1.75","2.474285714285714","2003","05","09"
"1.75","2.9771428571428573","2003","05","09"
"2.6","2.003846153846154","2003","05","09"
"0.87","2.9885057471264367","2003","05","09"
"4.33","2.0069284064665127","2003","05","10"
"0.87","4.0","2003","05","10"
"1.75","3.9771428571428573","2003","05","17"
"0.87","2.9885057471264367","2003","05","17"
"0.87","2.9885057471264367","2003","05","18"
"4.33","2.41108545034642","2003","05","18"
"2.6","2.3384615384615386","2003","05","20"
"0.87","5.988505747126437","2003","05","26"
"0.87","5.988505747126437","2003","05","26"
"2.6","2.3384615384615386","2003","05","27"
"1.75","2.9771428571428573","2003","05","27"
"1.75","3.474285714285714","2003","05","27"
"1.75","3.474285714285714","2003","05","27"
"1.75","3.474285714285714","2003","05","27"
"1.75","5.4628571428571435","2003","05","28"
"0.87","6.988505747126437","2003","05","31"
"0.87","5.988505747126437","2003","05","31"
"2.6","2.003846153846154","2003","06","02"
"0.87","5.988505747126437","2003","06","04"
"1.75","1.9885714285714287","2003","06","04"
"1.75","2.9771428571428573","2003","06","05"
"1.75","1.9885714285714287","2003","06","05"
"1.75","2.474285714285714","2003","06","05"
"4.33","4.61431870669746","2003","06","08"
"5.21","2.0038387715930903","2003","06","08"
"3.48","5.741379310344827","2003","06","09"
"0.87","2.0114942528735633","2003","06","10"
"1.75","3.474285714285714","2003","06","13"
"1.75","4.965714285714285","2003","06","13"
"1.75","1.9885714285714287","2003","06","20"
"1.75","1.9885714285714287","2003","06","21"
"1.75","1.9885714285714287","2003","06","21"
"6.08","2.8585526315789473","2003","06","23"
"0.87","2.0114942528735633","2003","06","23"
"1.75","1.4857142857142858","2003","06","27"
"2.6","3.0038461538461534","2003","06","30"
"1.75","3.9771428571428573","2003","06","30"
"0.87","1.0","2003","07","05"
"0.87","2.9885057471264367","2003","07","05"
"0.87","2.9885057471264367","2003","07","07"
"0.87","4.0","2003","07","09"
"1.75","1.4857142857142858","2003","07","10"
"1.75","3.474285714285714","2003","07","10"
"0.87","4.0","2003","07","11"
"1.75","2.9771428571428573","2003","07","11"
"1.75","2.9771428571428573","2003","07","11"
"0.87","6.988505747126437","2003","07","11"
"1.75","2.474285714285714","2003","07","11"
"2.6","1.3384615384615384","2003","07","14"
"0.87","6.988505747126437","2003","07","14"
"1.75","1.9885714285714287","2003","07","14"
"0.87","2.9885057471264367","2003","07","18"
"2.6","2.6769230769230767","2003","07","19"
"3.48","2.4971264367816093","2003","07","19"
"2.6","2.3384615384615386","2003","07","23"
"0.87","4.0","2003","07","23"
"1.75","1.9885714285714287","2003","07","24"
"0.87","5.988505747126437","2003","07","28"
"0.87","2.9885057471264367","2003","07","31"
"0.87","2.0114942528735633","2003","08","02"
"0.87","10.988505747126437","2003","08","03"
"0.87","2.9885057471264367","2003","08","03"
"1.75","2.9771428571428573","2003","08","03"
"0.87","4.977011494252873","2003","08","04"
"1.75","1.4857142857142858","2003","08","04"
"1.75","1.9885714285714287","2003","08","04"
"1.75","1.9885714285714287","2003","08","05"
"0.87","2.9885057471264367","2003","08","05"
"1.75","2.9771428571428573","2003","08","06"
"2.6","1.3384615384615384","2003","08","06"
"0.87","2.0114942528735633","2003","08","07"
"0.87","2.9885057471264367","2003","08","10"
"2.6","2.3384615384615386","2003","08","12"
"0.87","4.0","2003","08","19"
"0.87","4.0","2003","08","19"
"0.87","5.988505747126437","2003","08","20"
"0.87","2.9885057471264367","2003","08","21"
"1.75","1.4857142857142858","2003","08","22"
"0.87","2.0114942528735633","2003","08","24"
"1.75","3.474285714285714","2003","08","25"
"2.6","2.003846153846154","2003","08","26"
"2.6","2.3384615384615386","2003","08","26"
"1.75","2.474285714285714","2003","08","26"
"2.6","1.6653846153846155","2003","08","26"
"0.87","4.0","2003","08","26"
"0.87","2.9885057471264367","2003","08","26"
"0.87","8.977011494252872","2003","08","28"
"1.75","1.9885714285714287","2003","08","28"
"2.6","1.6653846153846155","2003","09","04"
"1.75","1.4857142857142858","2003","09","04"
"1.75","2.9771428571428573","2003","09","05"
"1.75","1.9885714285714287","2003","09","05"
"0.87","10.988505747126437","2003","09","06"
"1.75","1.9885714285714287","2003","09","09"
"2.6","2.3384615384615386","2003","09","09"
"1.75","2.9771428571428573","2003","09","09"
"0.87","4.977011494252873","2003","09","09"
"1.75","3.9771428571428573","2003","09","09"
"3.48","2.244252873563218","2003","09","12"
"0.87","4.977011494252873","2003","09","14"
"2.6","2.003846153846154","2003","09","16"
"1.75","2.9771428571428573","2003","09","17"
"0.87","18.96551724137931","2003","09","22"
"3.48","1.4971264367816093","2003","09","23"
"1.75","3.474285714285714","2003","09","23"
"1.75","1.9885714285714287","2003","09","23"
"0.87","2.9885057471264367","2003","09","23"
"4.33","2.0069284064665127","2003","09","24"
"0.87","5.988505747126437","2003","09","28"
"1.75","2.474285714285714","2003","09","28"
"1.75","3.474285714285714","2003","09","28"
"1.75","1.9885714285714287","2003","09","28"
"2.6","4.015384615384615","2003","09","28"
"2.6","3.342307692307692","2003","09","29"
"1.75","2.9771428571428573","2003","09","29"
"3.48","1.7471264367816093","2003","09","30"
"1.75","1.9885714285714287","2003","10","01"
"0.87","2.9885057471264367","2003","10","05"
"3.48","1.7471264367816093","2003","10","08"
"2.6","3.342307692307692","2003","10","08"
"0.87","4.0","2003","10","09"
"0.87","2.9885057471264367","2003","10","09"
"0.87","2.0114942528735633","2003","10","09"
"0.87","4.0","2003","10","10"
"1.75","4.965714285714285","2003","10","11"
"3.48","2.4971264367816093","2003","10","11"
"1.75","3.474285714285714","2003","10","11"
"1.75","3.9771428571428573","2003","10","11"
"1.75","4.462857142857143","2003","10","11"
"4.33","2.41108545034642","2003","10","11"
"1.75","1.9885714285714287","2003","10","12"
"1.75","2.9771428571428573","2003","10","12"
