"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.09","1.8532110091743117","2012","09","18"
"1.65","2.0727272727272728","2012","09","18"
"2.12","1.3679245283018866","2012","09","18"
"1.17","4.487179487179487","2012","09","19"
"0.54","3.314814814814815","2012","09","19"
"1.4","1.735714285714286","2012","09","19"
"0.31","5.387096774193548","2012","09","19"
"2.2","1.4863636363636363","2012","09","19"
"2.2","2.077272727272727","2012","09","19"
"2.24","1.950892857142857","2012","09","19"
"0.41","2.8048780487804876","2012","09","19"
"1.32","1.5303030303030303","2012","09","19"
"1.65","1.4727272727272729","2012","09","19"
"1.89","1.3703703703703705","2012","09","19"
"0.54","3.1666666666666665","2012","09","19"
"0.76","2.6052631578947367","2012","09","19"
"2.24","1.8839285714285712","2012","09","19"
"0.95","2.6842105263157894","2012","09","19"
"6.55","2.198473282442748","2012","09","26"
"7.62","1.627296587926509","2012","09","26"
"7.6","1.506578947368421","2012","09","27"
"7.19","1.564673157162726","2012","09","27"
"7.0","1.4600000000000002","2012","09","27"
"6.94","1.3083573487031699","2012","09","27"
"7.6","1.5171052631578947","2012","09","27"
"7.6","1.3907894736842106","2012","09","27"
"6.9","1.5318840579710145","2012","09","27"
"6.75","1.5437037037037038","2012","09","27"
"6.41","1.561622464898596","2012","09","27"
"6.88","1.8081395348837208","2012","09","27"
"8.63","1.290845886442642","2012","09","27"
"6.41","1.488299531981279","2012","09","27"
"5.77","1.441941074523397","2012","09","27"
"5.68","1.4859154929577465","2012","09","27"
"4.24","1.6132075471698113","2012","09","27"
"4.78","1.6297071129707112","2012","09","27"
"4.8","1.9958333333333333","2012","09","27"
"5.58","2.051971326164874","2012","09","27"
"6.71","2.2369597615499255","2012","09","27"
"3.3","1.6363636363636365","2012","09","28"
"4.86","1.648148148148148","2012","09","28"
"1.3","1.7230769230769232","2012","09","29"
"1.22","2.122950819672131","2012","09","29"
"1.65","1.9333333333333333","2012","09","29"
"0.62","2.9516129032258065","2012","09","29"
"0.86","3.593023255813953","2012","09","29"
"1.48","2.4932432432432434","2012","09","29"
"3.69","1.6476964769647697","2012","09","29"
"5.07","1.487179487179487","2012","09","29"
"4.74","1.590717299578059","2012","09","29"
"6.12","1.4362745098039214","2012","09","29"
"6.18","1.5064724919093853","2012","09","29"
"5.87","1.669505962521295","2012","09","29"
"4.22","1.5071090047393367","2012","09","29"
"3.65","1.6356164383561644","2012","09","29"
"3.05","1.7704918032786887","2012","09","29"
"2.66","1.6879699248120301","2012","09","30"
"3.05","1.3704918032786886","2012","09","30"
"3.13","1.6773162939297126","2012","09","30"
"1.22","2.80327868852459","2012","09","30"
"2.39","1.8451882845188283","2012","09","30"
"3.42","1.5350877192982457","2012","09","30"
"5.25","1.424761904761905","2012","09","30"
"5.7","1.4421052631578948","2012","09","30"
"4.26","1.6877934272300472","2012","09","30"
"5.87","1.456558773424191","2012","09","30"
"3.79","1.511873350923483","2012","09","30"
"3.95","1.4607594936708859","2012","09","30"
"3.27","1.6636085626911317","2012","09","30"
"4.02","1.992537313432836","2012","09","30"
"3.07","2.0944625407166124","2012","09","30"
"4.3","1.572093023255814","2012","09","30"
"2.49","2.2168674698795177","2012","09","30"
"2.18","3.1376146788990824","2012","09","30"
"4.45","1.9213483146067416","2012","09","30"
"3.19","1.6206896551724137","2012","09","30"
"2.95","1.7525423728813558","2012","09","30"
"2.66","1.6729323308270676","2012","09","30"
"3.32","1.716867469879518","2012","09","30"
"5.56","1.45863309352518","2012","09","30"
"6.2","1.4645161290322581","2012","09","30"
"6.36","1.3270440251572326","2012","09","30"
"6.36","1.4669811320754715","2012","09","30"
"5.85","1.4820512820512821","2012","09","30"
"5.25","1.6952380952380952","2012","09","30"
"5.7","1.5491228070175438","2012","10","01"
"6.14","1.5032573289902282","2012","10","01"
"5.73","1.445026178010471","2012","10","01"
"6.51","1.3563748079877114","2012","10","01"
"6.24","1.3269230769230769","2012","10","01"
"4.61","1.5683297180043383","2012","10","01"
"6.01","1.435940099833611","2012","10","01"
"4.72","1.4491525423728815","2012","10","01"
"3.58","1.4664804469273742","2012","10","01"
"7.44","1.4650537634408602","2012","10","01"
"6.63","1.8582202111613877","2012","10","01"
"8.98","1.4521158129175944","2012","10","01"
"6.98","1.4985673352435531","2012","10","01"
"0.93","2.4408602150537635","2012","10","01"
"0.74","2.418918918918919","2012","10","01"
"0.95","2.126315789473684","2012","10","01"
"1.57","2.6878980891719744","2012","10","01"
"0.99","2.181818181818182","2012","10","01"
"1.36","2.161764705882353","2012","10","01"
"2.39","2.276150627615063","2012","10","01"
"0.87","2.528735632183908","2012","10","01"
"1.44","1.9583333333333333","2012","10","01"
"3.65","2.504109589041096","2012","10","01"
"4.37","1.620137299771167","2012","10","01"
"8.03","1.435865504358655","2012","10","01"
"7.11","1.5668073136427567","2012","10","02"
"5.71","1.4851138353765325","2012","10","02"
"6.01","1.5174708818635607","2012","10","02"
"5.29","1.608695652173913","2012","10","02"
"4.96","1.5403225806451613","2012","10","02"
"3.95","1.521518987341772","2012","10","02"
"2.64","2.0454545454545454","2012","10","02"
"2.47","1.5668016194331984","2012","10","02"
"1.79","1.5083798882681565","2012","10","02"
"0.99","2.6464646464646466","2012","10","02"
"2.64","1.7462121212121213","2012","10","02"
"1.57","1.6687898089171975","2012","10","03"
"0.58","3.724137931034483","2012","10","03"
"0.7","2.3285714285714287","2012","10","03"
"2.78","1.615107913669065","2012","10","03"
"1.94","1.4123711340206186","2012","10","03"
"0.87","1.8735632183908044","2012","10","03"
"1.48","1.8243243243243246","2012","10","03"
"0.87","2.103448275862069","2012","10","03"
"1.36","1.8455882352941173","2012","10","03"
"1.52","2.598684210526316","2012","10","03"
"1.44","2.3194444444444446","2012","10","03"
