"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.52","5.115384615384616","2012","09","18"
"2.33","2.2188841201716736","2012","09","18"
"0.66","3.0","2012","09","18"
"1.42","1.4929577464788735","2012","09","18"
"1.24","2.758064516129032","2012","09","19"
"2.62","1.4770992366412214","2012","09","19"
"1.46","2.5273972602739727","2012","09","19"
"1.92","1.4270833333333335","2012","09","19"
"1.3","2.230769230769231","2012","09","19"
"1.89","1.9523809523809526","2012","09","19"
"1.83","1.8469945355191255","2012","09","19"
"1.44","2.819444444444444","2012","09","19"
"2.59","1.5675675675675675","2012","09","19"
"2.43","1.6090534979423867","2012","09","19"
"1.89","1.8306878306878307","2012","09","19"
"1.11","2.261261261261261","2012","09","19"
"4.08","2.3014705882352944","2012","09","26"
"7.72","1.7292746113989637","2012","09","26"
"7.76","1.7255154639175259","2012","09","26"
"7.52","1.434840425531915","2012","09","27"
"6.34","1.725552050473186","2012","09","27"
"4.14","2.2028985507246377","2012","09","27"
"5.97","1.7654941373534339","2012","09","27"
"5.09","1.5736738703339883","2012","09","27"
"7.37","1.4084124830393487","2012","09","27"
"5.71","1.5253940455341508","2012","09","27"
"4.53","1.4459161147902868","2012","09","27"
"6.88","1.5363372093023258","2012","09","27"
"6.63","1.497737556561086","2012","09","27"
"6.38","1.2884012539184955","2012","09","27"
"5.37","1.4376163873370575","2012","09","27"
"4.92","1.7459349593495934","2012","09","27"
"4.1","1.929268292682927","2012","09","27"
"4.61","1.4598698481561823","2012","09","27"
"5.46","1.663003663003663","2012","09","27"
"1.81","2.9005524861878453","2012","09","27"
"7.89","1.7490494296577948","2012","09","27"
"4.92","1.5060975609756098","2012","09","28"
"2.14","2.1728971962616823","2012","09","28"
"1.5","1.8","2012","09","29"
"4.63","1.4362850971922247","2012","09","29"
"2.47","2.2591093117408905","2012","09","29"
"1.4","1.9857142857142858","2012","09","29"
"0.78","3.2692307692307687","2012","09","29"
"2.1","1.952380952380952","2012","09","29"
"1.85","1.8270270270270268","2012","09","29"
"0.91","2.054945054945055","2012","09","29"
"1.13","1.6194690265486729","2012","09","29"
"4.74","1.4936708860759493","2012","09","29"
"4.65","1.4086021505376343","2012","09","29"
"6.06","1.3382838283828382","2012","09","29"
"6.05","1.4330578512396694","2012","09","29"
"5.52","1.6449275362318843","2012","09","29"
"1.54","1.7272727272727273","2012","09","29"
"2.6","1.376923076923077","2012","09","30"
"2.08","1.7740384615384615","2012","09","30"
"3.97","1.463476070528967","2012","09","30"
"1.71","2.5321637426900585","2012","09","30"
"3.32","2.3704819277108435","2012","09","30"
"5.46","1.5659340659340661","2012","09","30"
"4.98","1.4056224899598393","2012","09","30"
"5.09","1.5461689587426326","2012","09","30"
"6.08","1.3947368421052633","2012","09","30"
"6.63","1.3981900452488687","2012","09","30"
"4.78","1.7740585774058577","2012","09","30"
"6.75","1.351111111111111","2012","09","30"
"5.25","1.499047619047619","2012","09","30"
"3.91","1.6265984654731458","2012","09","30"
"3.58","1.4217877094972067","2012","09","30"
"2.66","1.6879699248120301","2012","09","30"
"3.01","1.7574750830564785","2012","09","30"
"2.84","2.017605633802817","2012","09","30"
"1.07","3.3831775700934577","2012","09","30"
"2.99","2.872909698996655","2012","09","30"
"3.23","1.7523219814241486","2012","09","30"
"5.75","1.666086956521739","2012","09","30"
"5.93","1.736930860033727","2012","09","30"
"4.82","1.8236514522821574","2012","09","30"
"3.6","2.1638888888888888","2012","09","30"
"4.39","1.8018223234624147","2012","09","30"
"2.92","1.839041095890411","2012","09","30"
"2.1","3.4904761904761905","2012","09","30"
"3.93","1.9541984732824427","2012","09","30"
"5.44","1.446691176470588","2012","09","30"
"5.13","1.5867446393762186","2012","09","30"
"2.84","2.580985915492958","2012","09","30"
"0.91","6.21978021978022","2012","09","30"
"5.09","1.5009823182711197","2012","09","30"
"3.65","1.7205479452054795","2012","09","30"
"5.33","1.4615384615384615","2012","09","30"
"6.2","1.5145161290322582","2012","09","30"
"5.91","1.4991539763113366","2012","09","30"
"6.51","1.411674347158218","2012","10","01"
"6.69","1.373692077727952","2012","10","01"
"3.58","1.5810055865921788","2012","10","01"
"2.66","1.7330827067669172","2012","10","01"
"4.45","1.7595505617977527","2012","10","01"
"5.19","1.8728323699421965","2012","10","01"
"0.66","3.4393939393939394","2012","10","01"
"1.36","1.647058823529412","2012","10","01"
"1.42","1.5492957746478875","2012","10","01"
"1.4","1.6500000000000001","2012","10","01"
"1.5","1.96","2012","10","01"
"2.55","1.9529411764705886","2012","10","01"
"1.46","1.6917808219178083","2012","10","01"
"1.4","1.9571428571428575","2012","10","01"
"5.4","1.3111111111111111","2012","10","01"
"3.98","2.3793969849246235","2012","10","01"
"7.29","1.2990397805212621","2012","10","01"
"3.48","1.6379310344827587","2012","10","02"
"4.55","1.5626373626373629","2012","10","02"
"3.67","1.7329700272479565","2012","10","02"
"5.62","1.4626334519572954","2012","10","02"
"4.06","1.5270935960591134","2012","10","02"
"2.04","1.8088235294117647","2012","10","02"
"1.9","1.8210526315789475","2012","10","02"
"1.92","2.338541666666667","2012","10","02"
"2.74","1.6094890510948905","2012","10","02"
"2.78","1.406474820143885","2012","10","02"
"2.64","1.6287878787878787","2012","10","02"
"0.64","3.3125","2012","10","02"
"0.91","2.5824175824175826","2012","10","02"
"2.41","2.2904564315352696","2012","10","02"
"1.3","2.1384615384615384","2012","10","02"
"2.35","1.7106382978723402","2012","10","02"
"1.57","1.7961783439490444","2012","10","02"
"1.05","2.5714285714285716","2012","10","02"
"1.26","1.8333333333333333","2012","10","03"
"2.04","1.9901960784313724","2012","10","03"
"0.86","3.325581395348837","2012","10","03"
"1.42","1.5774647887323945","2012","10","03"
"1.9","1.7000000000000002","2012","10","03"
"0.93","3.43010752688172","2012","10","03"
"1.56","1.903846153846154","2012","10","03"
"0.47","3.148936170212766","2012","10","03"
"0.91","1.7472527472527473","2012","10","03"
"2.33","2.0429184549356223","2012","10","03"
"2.18","1.880733944954128","2012","10","03"
"3.29","1.6656534954407296","2012","10","03"
"2.51","1.454183266932271","2012","10","03"
"1.48","1.5135135135135136","2012","10","03"
"0.87","2.528735632183908","2012","10","03"
"1.48","1.9324324324324325","2012","10","03"
"2.33","1.4849785407725322","2012","10","03"
"0.78","3.0128205128205128","2012","10","03"
"1.67","1.6167664670658684","2012","10","03"
"0.84","1.9404761904761905","2012","10","03"
"2.22","1.5765765765765765","2012","10","03"
"1.24","2.661290322580645","2012","10","03"
"1.34","1.6417910447761195","2012","10","04"
"1.36","1.3970588235294117","2012","10","04"
"1.34","1.8731343283582087","2012","10","04"
"1.01","3.01980198019802","2012","10","04"
"2.04","1.3235294117647058","2012","10","04"
"1.13","1.6548672566371685","2012","10","04"
"1.17","2.606837606837607","2012","10","04"
"1.22","1.8032786885245904","2012","10","04"
"1.81","1.5138121546961327","2012","10","04"
"2.1","1.5571428571428572","2012","10","04"
"1.22","2.434426229508197","2012","10","04"
"0.91","2.21978021978022","2012","10","04"
"1.42","2.0422535211267605","2012","10","04"
"0.99","2.04040404040404","2012","10","04"
"2.1","1.6666666666666665","2012","10","04"
"1.22","1.9918032786885247","2012","10","04"
"1.03","2.3980582524271847","2012","10","04"
"1.36","1.786764705882353","2012","10","04"
"2.74","1.5401459854014596","2012","10","04"
"2.12","1.5047169811320753","2012","10","04"
"1.89","1.7301587301587302","2012","10","04"
"1.9","2.1578947368421053","2012","10","04"
"2.84","1.3767605633802817","2012","10","04"
"2.33","1.8454935622317594","2012","10","04"
"1.52","3.2763157894736845","2012","10","04"
"1.57","1.8726114649681527","2012","10","04"
"0.97","1.7216494845360824","2012","10","05"
"1.81","1.298342541436464","2012","10","05"
"0.7","2.0571428571428574","2012","10","05"
"1.34","2.701492537313433","2012","10","05"
"0.29","4.9655172413793105","2012","10","05"
"0.47","3.638297872340426","2012","10","05"
"2.59","1.5366795366795367","2012","10","05"
"1.61","1.9565217391304346","2012","10","05"
"2.45","1.4612244897959183","2012","10","05"
"2.62","1.2748091603053433","2012","10","05"
"1.28","2.171875","2012","10","05"
"1.75","1.72","2012","10","05"
"2.12","1.542452830188679","2012","10","05"
"1.92","1.71875","2012","10","05"
"2.8","1.942857142857143","2012","10","05"
"1.21","2.330578512396694","2012","10","05"
"1.34","2.970149253731343","2012","10","05"
"0.91","2.846153846153846","2012","10","05"
"0.66","3.8636363636363633","2012","10","05"
"2.24","1.6160714285714284","2012","10","05"
"1.98","1.3636363636363638","2012","10","05"
"0.95","2.515789473684211","2012","10","05"
"2.27","1.607929515418502","2012","10","06"
"2.82","1.6879432624113475","2012","10","06"
"1.36","3.044117647058823","2012","10","06"
"3.52","1.4147727272727273","2012","10","06"
"2.92","1.6027397260273972","2012","10","06"
"1.3","1.7769230769230768","2012","10","06"
"3.44","2.0901162790697674","2012","10","06"
"2.72","1.5073529411764703","2012","10","06"
"1.94","1.7835051546391754","2012","10","06"
"2.62","1.5496183206106868","2012","10","06"
"2.8","2.021428571428572","2012","10","06"
"3.23","1.6718266253869971","2012","10","06"
"2.39","1.3807531380753137","2012","10","06"
"2.88","1.5729166666666667","2012","10","06"
"3.07","1.6579804560260587","2012","10","06"
"3.13","1.8210862619808308","2012","10","06"
"1.36","1.8749999999999998","2012","10","06"
"2.82","1.425531914893617","2012","10","06"
"2.31","1.5974025974025974","2012","10","06"
"1.34","1.8432835820895523","2012","10","06"
"1.52","1.8289473684210524","2012","10","06"
"2.33","1.7596566523605148","2012","10","07"
"1.65","1.5212121212121212","2012","10","07"
"2.39","1.8117154811715481","2012","10","07"
"1.87","2.128342245989305","2012","10","07"
"1.81","2.016574585635359","2012","10","07"
"3.46","1.5838150289017343","2012","10","07"
"3.63","1.5482093663911847","2012","10","07"
"3.79","1.5435356200527703","2012","10","07"
"3.75","1.6640000000000001","2012","10","07"
"0.54","4.425925925925926","2012","10","08"
"1.65","1.5212121212121212","2012","10","08"
"0.7","3.1428571428571432","2012","10","08"
"4.76","1.5714285714285716","2012","10","08"
"4.68","1.7393162393162396","2012","10","08"
"1.96","2.1122448979591835","2012","10","08"
"2.64","1.9886363636363635","2012","10","08"
"4.74","1.6434599156118144","2012","10","08"
"5.87","1.4497444633730834","2012","10","08"
"4.63","1.4859611231101513","2012","10","08"
"1.38","1.4347826086956523","2012","10","09"
"1.94","1.7835051546391754","2012","10","09"
"0.35","3.4857142857142858","2012","10","09"
"1.52","2.2236842105263155","2012","10","09"
"1.15","3.330434782608696","2012","10","09"
"2.29","2.2751091703056767","2012","10","09"
"2.88","1.7534722222222223","2012","10","09"
"4.33","1.4688221709006928","2012","10","09"
"4.8","1.3395833333333333","2012","10","09"
"4.9","1.6224489795918366","2012","10","09"
"1.46","2.23972602739726","2012","10","09"
"4.04","1.8663366336633664","2012","10","09"
"4.78","1.4393305439330544","2012","10","09"
"1.85","1.7459459459459459","2012","10","09"
"2.22","2.6711711711711708","2012","10","09"
"3.87","1.7777777777777777","2012","10","09"
"3.98","1.5100502512562815","2012","10","09"
"0.99","2.3333333333333335","2012","10","10"
"1.13","2.7876106194690267","2012","10","10"
"3.56","1.5393258426966294","2012","10","10"
"4.04","1.4678217821782178","2012","10","10"
"3.77","1.4137931034482758","2012","10","10"
"3.73","1.6407506702412868","2012","10","10"
"4.0","1.76","2012","10","10"
"3.62","1.787292817679558","2012","10","10"
"3.56","1.3988764044943822","2012","10","10"
"2.43","1.8806584362139918","2012","10","10"
"1.42","1.9859154929577465","2012","10","10"
"3.73","2.1099195710455763","2012","10","10"
"4.0","1.74","2012","10","10"
"6.1","1.519672131147541","2012","10","10"
"6.1","1.3639344262295083","2012","10","10"
"5.48","1.552919708029197","2012","10","10"
"3.01","2.019933554817276","2012","10","10"
"3.21","1.5264797507788164","2012","10","10"
"2.8","1.735714285714286","2012","10","10"
"3.56","1.5280898876404496","2012","10","10"
"4.59","1.4989106753812635","2012","10","10"
"3.95","1.5594936708860758","2012","10","10"
"3.44","1.3604651162790697","2012","10","10"
"3.01","2.099667774086379","2012","10","10"
"2.78","1.748201438848921","2012","10","10"
"0.86","1.941860465116279","2012","10","11"
"1.59","1.8490566037735847","2012","10","11"
"1.98","1.3434343434343434","2012","10","11"
"1.65","2.2363636363636363","2012","10","11"
"2.35","1.5702127659574467","2012","10","11"
"2.45","1.6571428571428568","2012","10","11"
"2.2","1.468181818181818","2012","10","11"
"2.0","1.71","2012","10","11"
"2.02","1.693069306930693","2012","10","11"
"1.26","4.103174603174603","2012","10","11"
"5.42","1.7214022140221403","2012","10","11"
"6.47","1.7279752704791345","2012","10","11"
"4.78","2.1631799163179917","2012","10","11"
"5.05","1.6712871287128712","2012","10","11"
"6.63","1.378582202111614","2012","10","11"
"7.11","1.459915611814346","2012","10","11"
"7.29","1.3196159122085047","2012","10","11"
"6.3","1.4777777777777779","2012","10","11"
"5.62","1.5427046263345194","2012","10","11"
"5.21","1.4107485604606524","2012","10","11"
"4.7","1.4319148936170214","2012","10","11"
"5.52","1.8460144927536233","2012","10","11"
"6.18","1.563106796116505","2012","10","11"
"7.23","1.7372060857538036","2012","10","11"
"7.54","1.4509283819628647","2012","10","11"
"5.4","1.5407407407407407","2012","10","11"
"6.05","2.1074380165289255","2012","10","11"
"7.04","1.8693181818181819","2012","10","11"
"6.24","1.769230769230769","2012","10","11"
