"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","2.0114942528735633","2010","08","17"
"0.87","2.9885057471264367","2010","08","17"
"2.6","2.003846153846154","2010","08","17"
"1.75","1.9885714285714287","2010","08","17"
"1.75","1.9885714285714287","2010","08","17"
"0.87","4.0","2010","08","17"
"1.75","1.9885714285714287","2010","08","17"
"0.87","2.9885057471264367","2010","08","17"
"0.87","2.9885057471264367","2010","08","18"
"0.87","4.977011494252873","2010","08","18"
"1.75","2.474285714285714","2010","08","18"
"2.6","2.3384615384615386","2010","08","18"
"1.75","2.474285714285714","2010","08","18"
"3.48","1.4971264367816093","2010","08","18"
"1.75","2.474285714285714","2010","08","18"
"3.48","1.7471264367816093","2010","08","18"
"3.48","1.7471264367816093","2010","08","18"
"3.48","1.7471264367816093","2010","08","18"
"2.6","1.6653846153846155","2010","08","18"
"2.6","2.003846153846154","2010","08","19"
"2.6","2.003846153846154","2010","08","19"
"0.87","4.0","2010","08","19"
"1.75","1.9885714285714287","2010","08","19"
"0.87","2.9885057471264367","2010","08","19"
"1.75","2.474285714285714","2010","08","19"
"1.75","1.9885714285714287","2010","08","19"
"1.75","1.4857142857142858","2010","08","19"
"1.75","1.9885714285714287","2010","08","19"
"1.75","1.9885714285714287","2010","08","19"
"1.75","2.474285714285714","2010","08","19"
"1.75","1.9885714285714287","2010","08","19"
"1.75","1.9885714285714287","2010","08","20"
"1.75","1.9885714285714287","2010","08","20"
"1.75","2.474285714285714","2010","08","20"
"0.87","4.0","2010","08","20"
"1.75","1.9885714285714287","2010","08","20"
"1.75","2.474285714285714","2010","08","20"
"0.87","2.9885057471264367","2010","08","20"
"1.75","1.9885714285714287","2010","08","20"
"1.75","2.474285714285714","2010","08","20"
"2.6","1.6653846153846155","2010","08","20"
"1.75","1.9885714285714287","2010","08","20"
"1.75","1.9885714285714287","2010","08","20"
"1.75","1.4857142857142858","2010","08","20"
"1.75","1.9885714285714287","2010","08","20"
"2.6","1.6653846153846155","2010","08","20"
"1.75","1.9885714285714287","2010","08","20"
"2.6","1.6653846153846155","2010","08","20"
"0.87","2.9885057471264367","2010","08","21"
"1.75","1.4857142857142858","2010","08","22"
"1.75","2.474285714285714","2010","08","22"
"2.6","1.6653846153846155","2010","08","22"
"2.6","2.003846153846154","2010","08","22"
"2.6","2.003846153846154","2010","08","22"
"2.6","2.003846153846154","2010","08","23"
"2.6","2.003846153846154","2010","08","23"
"2.6","2.003846153846154","2010","08","23"
"1.75","1.9885714285714287","2010","08","23"
"0.87","2.9885057471264367","2010","08","23"
"0.87","2.9885057471264367","2010","08","27"
"0.87","4.0","2010","08","27"
"1.75","1.9885714285714287","2010","08","27"
"1.75","1.9885714285714287","2010","08","27"
"1.75","2.9771428571428573","2010","08","28"
"0.87","2.9885057471264367","2010","08","28"
"0.87","4.0","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"1.75","2.474285714285714","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"1.75","2.474285714285714","2010","08","28"
"2.6","1.6653846153846155","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"1.75","1.9885714285714287","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.0114942528735633","2010","08","29"
"0.87","2.9885057471264367","2010","09","01"
"1.75","1.9885714285714287","2010","09","01"
"1.75","1.9885714285714287","2010","09","01"
"1.75","2.474285714285714","2010","09","02"
"1.75","2.474285714285714","2010","09","02"
"1.75","1.9885714285714287","2010","09","02"
"0.87","2.0114942528735633","2010","09","03"
"0.87","4.0","2010","09","04"
"1.75","1.9885714285714287","2010","09","04"
"1.75","1.9885714285714287","2010","09","05"
"0.87","2.9885057471264367","2010","09","08"
"0.87","2.9885057471264367","2010","09","09"
"0.87","2.9885057471264367","2010","09","09"
"1.75","2.9771428571428573","2010","09","09"
"0.87","5.988505747126437","2010","09","09"
"1.75","1.9885714285714287","2010","09","19"
"0.87","2.0114942528735633","2010","09","22"
"3.48","2.4971264367816093","2010","09","26"
"3.48","2.4971264367816093","2010","09","26"
"1.75","2.9771428571428573","2010","09","26"
"4.33","1.8036951501154732","2010","09","26"
"3.48","1.7471264367816093","2010","09","26"
"4.33","1.4041570438799076","2010","09","26"
"3.48","1.4971264367816093","2010","09","27"
"0.87","5.988505747126437","2010","09","27"
"2.6","1.6653846153846155","2010","09","27"
"1.75","3.474285714285714","2010","09","27"
"0.87","8.0","2010","09","28"
"5.21","1.4990403071017273","2010","09","28"
"5.21","1.834932821497121","2010","09","28"
"4.33","1.8036951501154732","2010","09","28"
"3.48","1.7471264367816093","2010","09","29"
"4.33","1.6073903002309469","2010","09","29"
"3.48","1.7471264367816093","2010","09","29"
"4.33","1.6073903002309469","2010","09","29"
"3.48","1.7471264367816093","2010","09","29"
"3.48","2.0","2010","09","29"
"1.75","2.474285714285714","2010","09","29"
"3.48","1.4971264367816093","2010","09","29"
"3.48","2.0","2010","09","29"
"3.48","2.244252873563218","2010","09","29"
"1.75","2.9771428571428573","2010","09","29"
"2.6","2.3384615384615386","2010","09","29"
"3.48","2.0","2010","09","29"
"3.48","2.0","2010","09","29"
"0.87","4.0","2010","09","29"
"1.75","2.9771428571428573","2010","09","29"
"2.6","2.3384615384615386","2010","09","29"
"2.6","2.003846153846154","2010","09","29"
"2.6","2.003846153846154","2010","09","30"
"1.75","1.9885714285714287","2010","09","30"
"2.6","2.003846153846154","2010","09","30"
"3.48","1.4971264367816093","2010","09","30"
"1.75","1.9885714285714287","2010","09","30"
"2.6","2.3384615384615386","2010","09","30"
"2.6","2.3384615384615386","2010","09","30"
"0.87","4.0","2010","09","30"
"0.87","2.9885057471264367","2010","09","30"
"0.87","4.977011494252873","2010","09","30"
"0.87","2.9885057471264367","2010","09","30"
"0.87","4.0","2010","09","30"
"1.75","2.474285714285714","2010","09","30"
"2.6","1.6653846153846155","2010","09","30"
"0.87","2.9885057471264367","2010","09","30"
"1.75","1.9885714285714287","2010","09","30"
"1.75","1.9885714285714287","2010","09","30"
"0.87","4.0","2010","10","02"
"3.48","2.244252873563218","2010","10","02"
"1.75","2.474285714285714","2010","10","02"
"2.6","3.0038461538461534","2010","10","02"
"3.48","2.244252873563218","2010","10","02"
"6.08","1.7171052631578947","2010","10","02"
"6.96","1.5","2010","10","02"
"6.96","1.622126436781609","2010","10","02"
"6.96","1.622126436781609","2010","10","02"
"6.08","1.4292763157894737","2010","10","02"
"5.21","1.834932821497121","2010","10","02"
"5.21","1.4990403071017273","2010","10","02"
"6.08","1.5723684210526316","2010","10","02"
"5.21","2.0038387715930903","2010","10","02"
"5.21","1.4990403071017273","2010","10","02"
"5.21","1.4990403071017273","2010","10","02"
"4.33","1.8036951501154732","2010","10","03"
"5.21","1.834932821497121","2010","10","03"
"4.33","1.6073903002309469","2010","10","03"
"3.48","2.0","2010","10","03"
"0.87","2.0114942528735633","2010","10","03"
"1.75","2.474285714285714","2010","10","03"
"0.87","2.9885057471264367","2010","10","04"
