"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","1.4857142857142858","2010","08","14"
"1.75","1.4857142857142858","2010","08","15"
"1.75","1.4857142857142858","2010","08","15"
"0.87","2.0114942528735633","2010","08","15"
"0.87","2.0114942528735633","2010","08","15"
"0.87","2.0114942528735633","2010","08","15"
"0.87","2.9885057471264367","2010","08","15"
"0.87","2.9885057471264367","2010","08","16"
"0.87","2.0114942528735633","2010","08","16"
"0.87","2.9885057471264367","2010","08","17"
"0.87","2.0114942528735633","2010","08","17"
"0.87","2.0114942528735633","2010","08","17"
"0.87","4.0","2010","08","25"
"0.87","2.0114942528735633","2010","08","30"
"0.87","2.0114942528735633","2010","09","07"
"0.87","4.0","2010","09","07"
"0.87","4.977011494252873","2010","09","07"
"0.87","2.0114942528735633","2010","09","08"
"0.87","2.9885057471264367","2010","09","18"
"0.87","2.9885057471264367","2010","09","18"
"0.87","2.0114942528735633","2010","09","18"
"2.6","2.6769230769230767","2010","09","18"
"2.6","2.3384615384615386","2010","09","19"
"1.75","1.9885714285714287","2010","09","19"
"0.87","2.9885057471264367","2010","09","19"
"0.87","2.9885057471264367","2010","09","20"
"0.87","2.0114942528735633","2010","09","21"
"0.87","4.977011494252873","2010","09","29"
"3.48","1.7471264367816093","2010","10","01"
"0.87","4.0","2010","10","07"
"2.6","2.6769230769230767","2010","10","07"
"2.6","2.3384615384615386","2010","10","07"
"2.6","2.3384615384615386","2010","10","07"
"1.75","1.9885714285714287","2010","10","08"
"0.87","4.0","2010","10","08"
"1.75","2.9771428571428573","2010","10","08"
"4.33","2.810623556581986","2010","10","09"
"4.33","2.41108545034642","2010","10","09"
"5.21","1.6679462571976966","2010","10","09"
"4.33","2.0069284064665127","2010","10","09"
"0.87","4.977011494252873","2010","10","09"
"3.48","2.244252873563218","2010","10","10"
"2.6","2.6769230769230767","2010","10","10"
"3.48","2.4971264367816093","2010","10","10"
"1.75","1.9885714285714287","2010","10","10"
"2.6","2.3384615384615386","2010","10","12"
"4.33","2.41108545034642","2010","10","12"
"5.21","1.6679462571976966","2010","10","12"
"3.48","1.7471264367816093","2010","10","12"
"4.33","2.0069284064665127","2010","10","12"
"4.33","2.0069284064665127","2010","10","12"
"3.48","2.244252873563218","2010","10","13"
"2.6","2.003846153846154","2010","10","13"
"2.6","3.0038461538461534","2010","10","14"
"4.33","2.0069284064665127","2010","10","14"
"5.21","1.6679462571976966","2010","10","14"
"2.6","2.6769230769230767","2010","10","14"
"2.6","2.003846153846154","2010","10","14"
"1.75","2.474285714285714","2010","10","14"
"1.75","3.9771428571428573","2010","10","17"
"3.48","2.0","2010","10","20"
"2.6","3.342307692307692","2010","10","22"
"4.33","2.207852193995381","2010","10","22"
"3.48","2.4971264367816093","2010","10","22"
"2.6","2.3384615384615386","2010","10","22"
"2.6","2.003846153846154","2010","10","22"
"3.48","2.0","2010","10","22"
"4.33","2.0069284064665127","2010","10","22"
"5.21","1.834932821497121","2010","10","22"
"5.21","1.834932821497121","2010","10","22"
"6.96","1.622126436781609","2010","10","22"
"5.21","1.834932821497121","2010","10","22"
"5.21","2.166986564299424","2010","10","22"
"5.21","1.6679462571976966","2010","10","22"
"4.33","2.0069284064665127","2010","10","23"
"4.33","1.8036951501154732","2010","10","23"
"3.48","2.0","2010","10","23"
"3.48","2.0","2010","10","23"
"4.33","2.0069284064665127","2010","10","23"
"4.33","1.8036951501154732","2010","10","23"
"3.48","2.0","2010","10","23"
"3.48","2.0","2010","10","23"
"3.48","2.4971264367816093","2010","10","23"
"3.48","2.0","2010","10","23"
"4.33","2.207852193995381","2010","10","23"
"5.21","1.6679462571976966","2010","10","23"
