"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"6.98","1.1618911174785098","2014","12","09"
"5.4","1.198148148148148","2014","12","09"
"4.7","1.148936170212766","2014","12","09"
"3.56","1.2134831460674158","2014","12","10"
"3.34","1.2934131736526948","2014","12","10"
"3.29","1.3130699088145898","2014","12","10"
"3.01","1.079734219269103","2014","12","10"
"4.22","1.151658767772512","2014","12","10"
"3.25","1.16","2014","12","10"
"12.58","1.2019077901430841","2014","12","10"
"3.95","1.0936708860759494","2014","12","10"
"11.33","1.1447484554280671","2014","12","10"
"11.33","1.0962047661076788","2014","12","10"
"5.25","2.059047619047619","2014","12","10"
"4.7","1.4936170212765956","2014","12","10"
"5.07","1.3846153846153844","2014","12","10"
"15.73","1.4755244755244756","2015","02","21"
"10.69","1.7474275023386343","2015","02","21"
"11.64","1.6202749140893469","2015","02","21"
"11.72","1.4744027303754266","2015","02","21"
"12.07","1.5335542667771336","2015","02","21"
"15.03","2.0292747837658016","2015","02","21"
"21.71","1.3127590971902348","2015","02","21"
"26.34","1.253986332574032","2015","02","21"
"21.81","1.310866574965612","2015","02","22"
"26.84","1.149403874813711","2015","02","22"
"25.29","1.5219454329774615","2015","02","22"
"29.9","1.3250836120401337","2015","02","22"
"20.51","1.4441735738664065","2015","02","22"
"16.78","1.3098927294398093","2015","02","22"
"14.5","1.186206896551724","2015","02","22"
"16.43","1.2373706634205721","2015","02","22"
"19.21","1.2889120249869859","2015","02","22"
"9.64","1.4782157676348546","2015","02","22"
"11.57","1.171132238547969","2015","02","22"
"10.09","1.3002973240832507","2015","02","22"
"9.39","1.1576144834930775","2015","02","22"
"11.22","1.160427807486631","2015","02","22"
"13.02","1.2081413210445469","2015","02","22"
"11.99","1.549624687239366","2015","02","23"
"9.91","1.649848637739657","2015","02","23"
"11.47","1.4080209241499562","2015","02","23"
"10.59","1.279508970727101","2015","02","27"
"14.0","1.2914285714285714","2015","02","28"
"15.47","1.3141564318034904","2015","02","28"
"9.99","1.6516516516516515","2015","02","28"
"18.43","1.2495930548019534","2015","02","28"
"16.85","1.778635014836795","2015","02","28"
"26.07","1.0863060989643267","2015","02","28"
"21.03","1.2272943414170232","2015","02","28"
"22.59","1.1850376272687029","2015","02","28"
"20.59","1.2321515298688683","2015","03","01"
"20.25","1.3466666666666667","2015","03","01"
"25.46","1.1229379418695993","2015","03","01"
"23.03","1.4068606165870603","2015","03","01"
"19.21","1.2982821447162936","2015","03","01"
"19.13","1.2723470987977","2015","03","01"
"14.25","1.8835087719298245","2015","03","01"
"12.25","1.4391836734693877","2015","03","01"
"9.47","1.3400211193241816","2015","03","01"
"6.78","1.1002949852507373","2015","03","01"
"4.0","1.4775","2015","03","03"
"12.87","1.3636363636363638","2015","03","03"
"19.03","1.2238570677877034","2015","03","03"
"20.78","1.2714148219441772","2015","03","03"
"19.56","1.1947852760736197","2015","03","03"
"17.81","1.3469960696238068","2015","03","03"
"15.65","1.288178913738019","2015","03","03"
"14.85","1.3865319865319865","2015","03","03"
"18.86","1.20254506892895","2015","03","03"
"23.56","1.2317487266553482","2015","03","03"
"19.46","1.5005138746145938","2015","03","03"
"21.21","1.3894389438943893","2015","03","03"
"21.56","1.3098330241187384","2015","03","03"
"25.72","1.1994556765163298","2015","03","03"
"30.05","1.2083194675540765","2015","03","04"
"27.54","1.2018881626724764","2015","03","04"
"15.65","1.6881789137380192","2015","03","04"
"21.81","1.1320495185694637","2015","03","04"
"18.16","1.3056167400881058","2015","03","04"
"18.51","1.122636412749865","2015","03","04"
"11.57","1.3595505617977528","2015","03","04"
"14.35","1.3142857142857143","2015","03","04"
"12.87","1.3636363636363638","2015","03","04"
"10.52","1.3374524714828897","2015","03","04"
"12.52","1.2899361022364217","2015","03","04"
"13.9","1.2877697841726616","2015","03","04"
"14.77","1.169939065673663","2015","03","04"
"11.29","1.2772364924712136","2015","03","04"
"7.99","1.5106382978723405","2015","03","04"
"10.24","1.2646484375","2015","03","04"
"15.8","1.2594936708860758","2015","03","04"
"14.25","1.2617543859649123","2015","03","04"
"15.3","1.2503267973856207","2015","03","05"
"13.82","1.301013024602026","2015","03","05"
"10.94","1.4305301645338209","2015","03","05"
"10.34","1.3027079303675049","2015","03","05"
"6.61","1.2995461422087744","2015","03","05"
"3.73","2.2091152815013406","2015","03","05"
