"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.082064","1.7142857142857144","2012","12","28"
"5.053984","1.3846153846153848","2012","12","28"
"4.082064","2.1904761904761902","2012","12","28"
"6.9978240000000005","1.4166666666666665","2012","12","28"
"6.025904000000001","1.161290322580645","2012","12","28"
"4.082064","1.4761904761904763","2012","12","28"
"4.082064","1.4761904761904763","2012","12","28"
"6.025904000000001","1.4838709677419353","2012","12","28"
"6.025904000000001","1.32258064516129","2012","12","31"
"4.082064","2.9523809523809526","2014","10","05"
"1.94384","3.1","2014","10","05"
"5.053984","3.5769230769230775","2014","10","09"
"1.94384","2.6","2014","10","12"
"6.9978240000000005","2.138888888888889","2014","10","14"
"0.97192","4.2","2014","10","22"
"1.94384","1.5","2014","10","24"
"1.94384","1.5","2014","10","24"
"1.94384","2.1","2014","10","26"
"0.97192","3.0","2014","10","26"
"4.082064","1.4761904761904763","2014","11","08"
"2.91576","1.7333333333333332","2014","11","08"
"2.91576","3.0666666666666664","2014","11","08"
"6.9978240000000005","1.861111111111111","2014","11","08"
"8.941664","1.5652173913043481","2014","11","08"
"2.91576","1.7333333333333332","2014","11","08"
"0.97192","3.0","2014","11","09"
"0.97192","3.0","2014","11","11"
"0.97192","3.0","2014","11","12"
"0.97192","3.0","2014","11","13"
"0.97192","3.0","2014","11","15"
"4.082064","2.7142857142857144","2014","11","18"
"5.053984","2.1923076923076925","2014","11","18"
"2.91576","2.066666666666667","2014","11","30"
"1.94384","2.1","2015","01","02"
"8.941664","2.695652173913044","2015","01","02"
"8.941664","1.673913043478261","2015","01","02"
"5.053984","2.384615384615385","2015","01","06"
"6.025904000000001","1.8387096774193548","2015","01","10"
"5.053984","1.9615384615384617","2015","01","10"
"6.025904000000001","1.6451612903225805","2015","01","12"
"4.082064","1.9523809523809523","2015","01","12"
"5.053984","1.7692307692307692","2015","01","12"
"5.053984","1.5769230769230769","2015","01","12"
"1.94384","2.6","2015","01","16"
"1.94384","3.1","2015","01","16"
"1.94384","2.1","2015","01","17"
"0.97192","5.2","2015","01","22"
"6.9978240000000005","2.2777777777777777","2015","01","22"
"1.94384","2.1","2015","01","23"
"1.94384","2.6","2015","01","23"
"0.97192","3.0","2015","01","23"
"2.91576","2.066666666666667","2015","01","24"
"4.082064","1.9523809523809523","2015","01","24"
"2.91576","2.066666666666667","2015","01","24"
"2.91576","2.733333333333333","2015","01","24"
"2.91576","2.4","2015","01","25"
"2.91576","2.4","2015","01","25"
"1.94384","1.5","2015","01","25"
"0.97192","2.0","2015","01","25"
"0.97192","2.0","2015","01","25"
"0.97192","2.0","2015","01","27"
"0.97192","3.0","2015","01","27"
"7.9697439999999995","2.878048780487805","2015","02","01"
"7.9697439999999995","2.6341463414634148","2015","02","01"
"17.105792","1.75","2015","02","01"
"6.9978240000000005","2.138888888888889","2015","02","01"
"6.025904000000001","2.32258064516129","2015","02","02"
"4.082064","2.7142857142857144","2015","02","02"
"7.9697439999999995","2.0","2015","02","02"
"6.9978240000000005","2.5833333333333335","2015","02","02"
"2.91576","3.4","2015","02","02"
"2.91576","3.0666666666666664","2015","02","02"
"2.91576","2.733333333333333","2015","02","03"
"0.97192","3.0","2015","02","03"
"9.913584","2.019607843137255","2015","02","11"
"12.051808000000001","1.661290322580645","2015","02","11"
"13.023728","1.3880597014925373","2015","02","11"
"13.023728","1.4626865671641793","2015","02","11"
"12.051808000000001","1.7419354838709675","2015","02","11"
"9.913584","1.6078431372549018","2015","02","11"
"2.91576","2.4","2015","02","12"
"2.91576","1.4","2015","02","14"
"6.025904000000001","1.6451612903225805","2015","02","17"
"0.97192","3.0","2015","02","17"
"2.91576","2.4","2015","02","17"
"2.91576","1.7333333333333332","2015","02","17"
"0.97192","3.0","2015","02","20"
"0.97192","2.0","2015","02","20"
"0.97192","2.0","2015","02","20"
"2.91576","2.733333333333333","2015","02","20"
"0.97192","3.0","2015","02","20"
"0.97192","3.0","2015","02","21"
"2.91576","2.066666666666667","2015","02","23"
"0.97192","2.0","2015","02","24"
"0.97192","2.0","2015","02","25"
"0.97192","3.0","2015","02","25"
"0.97192","2.0","2015","03","02"
"0.97192","2.0","2015","03","02"
"2.91576","2.066666666666667","2015","03","04"
"2.91576","1.7333333333333332","2015","03","05"
"2.91576","2.066666666666667","2015","03","05"
"0.97192","2.0","2015","03","06"
"2.91576","1.4","2015","03","07"
"0.97192","3.0","2015","03","10"
"1.94384","2.1","2015","03","10"
"0.97192","3.0","2015","03","10"
"1.94384","1.5","2015","03","10"
"2.91576","2.066666666666667","2015","03","10"
"1.94384","2.6","2015","03","10"
"2.91576","1.7333333333333332","2015","03","10"
"2.91576","2.4","2015","03","10"
"1.94384","2.1","2015","03","10"
"2.91576","3.4","2015","03","13"
"2.91576","2.4","2015","03","15"
"4.082064","1.7142857142857144","2015","03","20"
"0.97192","4.2","2015","03","21"
"2.91576","2.066666666666667","2015","03","27"
"4.082064","2.428571428571429","2015","03","27"
"2.91576","1.4","2015","03","27"
"5.053984","1.9615384615384617","2015","03","27"
"4.082064","2.1904761904761902","2015","03","27"
"4.082064","1.9523809523809523","2015","03","27"
"4.082064","1.7142857142857144","2015","03","28"
"1.94384","1.5","2015","03","29"
"0.97192","3.0","2015","03","29"
"1.94384","2.1","2015","03","30"
"1.94384","3.1","2015","04","01"
"6.9978240000000005","2.0","2015","04","10"
"2.91576","2.4","2015","04","10"
"1.94384","3.1","2015","04","10"
"2.91576","2.733333333333333","2015","04","10"
"2.91576","3.4","2015","04","10"
"4.082064","1.7142857142857144","2015","04","11"
"2.91576","1.7333333333333332","2015","04","11"
"2.91576","2.4","2015","04","12"
"4.082064","2.428571428571429","2015","04","12"
"2.91576","3.4","2015","04","13"
"1.94384","2.6","2015","04","13"
"2.91576","2.066666666666667","2015","04","13"
"4.082064","1.4761904761904763","2015","04","13"
"4.082064","1.4761904761904763","2015","04","13"
"6.025904000000001","2.0","2015","04","13"
"0.97192","2.0","2015","04","25"
"9.913584","1.5098039215686274","2015","04","27"
"6.025904000000001","2.483870967741935","2015","04","27"
"5.053984","1.9615384615384617","2015","04","27"
"1.94384","2.1","2015","04","29"
"6.025904000000001","2.0","2015","04","30"
"0.97192","3.0","2015","04","30"
"6.9978240000000005","1.861111111111111","2015","05","07"
"0.97192","2.0","2015","05","09"
"2.91576","3.4","2015","05","11"
"7.9697439999999995","2.1463414634146343","2015","05","12"
"6.9978240000000005","1.7222222222222223","2015","05","12"
"0.97192","3.0","2015","05","16"
"0.97192","2.0","2015","05","23"
"0.97192","3.0","2015","05","26"
"0.97192","2.0","2015","05","26"
"0.97192","2.0","2015","05","26"
"2.91576","1.7333333333333332","2015","05","28"
"4.082064","1.7142857142857144","2015","05","29"
"2.91576","1.4","2015","05","29"
"2.91576","1.7333333333333332","2015","05","29"
"0.97192","3.0","2015","06","01"
"0.97192","2.0","2015","06","02"
"0.97192","2.0","2015","06","02"
"0.97192","3.0","2015","06","02"
"2.91576","2.066666666666667","2015","06","04"
"2.91576","1.7333333333333332","2015","06","05"
"1.94384","3.6","2015","06","05"
"0.97192","3.0","2015","06","05"
"0.97192","2.0","2015","06","06"
"1.94384","1.5","2015","06","06"
"2.91576","3.8","2015","06","10"
"1.94384","2.1","2015","06","15"
"0.97192","2.0","2015","06","15"
"0.97192","3.0","2015","06","15"
"0.97192","3.0","2015","06","15"
"0.97192","2.0","2015","06","15"
"1.94384","2.6","2015","06","16"
"0.97192","3.0","2015","06","16"
"1.94384","1.5","2015","06","16"
"0.97192","2.0","2015","06","17"
"0.97192","2.0","2015","06","17"
"0.97192","2.0","2015","06","17"
"0.97192","2.0","2015","06","17"
"0.97192","2.0","2015","06","17"
"2.91576","1.4","2015","06","17"
"2.91576","1.7333333333333332","2015","06","17"
"1.94384","1.5","2015","06","17"
"2.91576","1.4","2015","06","17"
"2.91576","1.7333333333333332","2015","06","17"
"2.91576","1.7333333333333332","2015","06","17"
"2.91576","1.4","2015","06","17"
"0.97192","2.0","2015","06","17"
"1.94384","1.5","2015","06","17"
"1.94384","1.5","2015","06","17"
"1.94384","1.5","2015","06","17"
"0.97192","2.0","2015","06","17"
"1.94384","1.5","2015","06","17"
"1.94384","1.5","2015","06","17"
"2.91576","2.733333333333333","2015","06","18"
"1.94384","1.5","2015","06","19"
"1.94384","1.5","2015","06","19"
"2.91576","1.7333333333333332","2015","06","19"
"1.94384","1.5","2015","06","20"
"1.94384","1.5","2015","06","20"
"0.97192","2.0","2015","06","20"
"0.97192","2.0","2015","06","20"
"1.94384","1.5","2015","06","20"
"1.94384","1.5","2015","06","20"
"2.91576","2.066666666666667","2015","06","20"
"2.91576","1.7333333333333332","2015","06","20"
"0.97192","2.0","2015","06","21"
"0.97192","3.0","2015","06","21"
"0.97192","2.0","2015","07","09"
"1.94384","1.5","2015","07","09"
"1.94384","1.5","2015","07","09"
"1.94384","1.5","2015","07","09"
"4.082064","1.7142857142857144","2015","07","09"
"4.082064","1.4761904761904763","2015","07","09"
"2.91576","1.4","2015","07","10"
"1.94384","1.5","2015","07","10"
"0.97192","2.0","2015","07","11"
"1.94384","1.5","2015","07","11"
"1.94384","1.5","2015","07","11"
"0.97192","3.0","2015","07","11"
"0.97192","2.0","2015","07","11"
"0.97192","2.0","2015","07","11"
"2.91576","2.066666666666667","2015","07","11"
"0.97192","2.0","2015","07","12"
"2.91576","1.7333333333333332","2015","07","12"
"1.94384","1.5","2015","07","12"
"2.91576","1.7333333333333332","2015","07","12"
"2.91576","2.066666666666667","2015","07","13"
"1.94384","1.5","2015","07","13"
"0.97192","2.0","2015","07","13"
"0.97192","3.0","2015","07","13"
"2.91576","1.4","2015","07","13"
"1.94384","4.1","2015","07","14"
"5.053984","1.5769230769230769","2015","07","15"
"2.91576","2.066666666666667","2015","07","15"
"1.94384","2.6","2015","07","15"
"2.91576","2.066666666666667","2015","07","15"
"1.94384","1.5","2015","07","15"
"0.97192","3.0","2015","07","15"
"0.97192","3.0","2015","07","15"
"0.97192","3.0","2015","07","15"
"2.91576","1.4","2015","07","15"
"1.94384","2.1","2015","07","15"
"1.94384","3.1","2015","07","16"
"1.94384","2.6","2015","07","16"
"0.97192","3.0","2015","07","16"
"0.97192","2.0","2015","07","16"
"0.97192","2.0","2015","07","16"
"7.9697439999999995","2.1463414634146343","2015","07","16"
"2.91576","2.4","2015","07","17"
"1.94384","2.6","2015","07","18"
"4.082064","2.1904761904761902","2015","07","18"
"2.91576","2.066666666666667","2015","07","18"
"0.97192","2.0","2015","07","19"
"0.97192","3.0","2015","07","19"
"0.97192","2.0","2015","07","19"
"0.97192","2.0","2015","07","20"
"0.97192","3.0","2015","07","20"
"0.97192","4.2","2015","07","20"
"0.97192","2.0","2015","07","20"
"0.97192","2.0","2015","07","20"
"1.94384","1.5","2015","07","20"
"0.97192","2.0","2015","07","20"
"0.97192","3.0","2015","07","22"
"0.97192","2.0","2015","07","22"
"0.97192","2.0","2015","07","22"
"0.97192","2.0","2015","07","22"
"0.97192","2.0","2015","07","22"
"0.97192","2.0","2015","07","23"
"0.97192","2.0","2015","07","23"
"0.97192","2.0","2015","07","23"
"0.97192","2.0","2015","07","23"
"0.97192","2.0","2015","07","23"
"0.97192","2.0","2015","07","23"
"0.97192","2.0","2015","07","23"
"4.082064","2.428571428571429","2015","07","23"
"7.9697439999999995","1.2439024390243902","2015","07","23"
"7.9697439999999995","1.3902439024390245","2015","07","23"
"8.941664","1.2391304347826089","2015","07","23"
"11.079888","1.7192982456140353","2015","07","23"
"5.053984","1.9615384615384617","2015","07","23"
"2.91576","2.4","2015","07","23"
"2.91576","1.7333333333333332","2015","07","24"
"1.94384","3.1","2015","07","24"
"1.94384","3.1","2015","07","24"
"0.97192","3.0","2015","07","24"
"0.97192","3.0","2015","07","24"
"1.94384","1.5","2015","07","24"
"0.97192","2.0","2015","07","24"
"0.97192","2.0","2015","07","24"
"0.97192","2.0","2015","07","24"
"2.91576","1.4","2015","07","25"
"2.91576","1.7333333333333332","2015","07","25"
"1.94384","1.5","2015","07","25"
"0.97192","2.0","2015","07","25"
"0.97192","2.0","2015","07","25"
"1.94384","2.1","2015","07","25"
"1.94384","1.5","2015","07","25"
"0.97192","2.0","2015","07","25"
"0.97192","3.0","2015","07","25"
"0.97192","3.0","2015","07","25"
"0.97192","3.0","2015","07","26"
