"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"8.36","1.7667464114832536","2016","12","07"
"4.47","2.1744966442953024","2016","12","07"
"7.58","2.0778364116094985","2016","12","07"
"9.72","2.4598765432098766","2016","12","07"
"8.55","3.092397660818713","2016","12","07"
"6.22","2.781350482315113","2016","12","07"
"5.83","3.701543739279588","2016","12","07"
"8.36","2.1626794258373203","2016","12","07"
"7.0","3.0828571428571427","2016","12","07"
"6.22","2.406752411575563","2016","12","07"
"8.36","3.1160287081339715","2016","12","07"
"7.97","2.4629861982434127","2016","12","07"
"8.36","2.5346889952153115","2016","12","07"
"8.55","2.205847953216374","2016","12","08"
"6.8","2.973529411764706","2016","12","08"
"10.5","2.758095238095238","2016","12","08"
"8.94","2.8053691275167787","2016","12","08"
"8.75","2.198857142857143","2016","12","08"
"7.78","2.3483290488431874","2016","12","08"
"7.39","2.577807848443843","2016","12","08"
"1.56","1.8717948717948716","2016","12","08"
"2.33","1.502145922746781","2016","12","08"
"2.53","2.766798418972332","2016","12","09"
"2.33","2.004291845493562","2016","12","09"
"2.72","3.2867647058823524","2016","12","09"
"3.69","2.476964769647697","2016","12","09"
"5.05","2.1940594059405942","2016","12","09"
"4.67","3.1627408993576016","2016","12","09"
"5.44","2.2150735294117645","2016","12","09"
"6.03","2.9004975124378105","2016","12","09"
"4.86","3.3600823045267485","2016","12","10"
"9.33","2.354769560557342","2016","12","10"
"5.05","2.231683168316832","2016","12","10"
"5.64","2.377659574468085","2016","12","10"
"5.25","2.739047619047619","2016","12","10"
"1.94","2.304123711340206","2016","12","10"
"2.72","2.4999999999999996","2016","12","11"
"3.11","1.6881028938906752","2016","12","11"
"2.72","1.8566176470588234","2016","12","11"
"3.3","2.0606060606060606","2016","12","11"
"3.11","2.0610932475884245","2016","12","12"
"3.5","1.5542857142857145","2016","12","12"
"1.17","2.324786324786325","2016","12","12"
"2.53","1.458498023715415","2016","12","12"
"0.78","2.7435897435897436","2016","12","13"
"0.58","2.0172413793103448","2016","12","13"
"0.39","2.9999999999999996","2016","12","13"
"2.33","2.0858369098712446","2016","12","13"
"2.72","1.5","2016","12","13"
"3.3","1.4727272727272729","2016","12","13"
"1.94","2.9072164948453607","2016","12","13"
"2.14","1.542056074766355","2016","12","14"
"0.78","3.243589743589743","2016","12","14"
"1.94","2.4072164948453607","2016","12","14"
"0.58","2.344827586206897","2016","12","14"
"0.78","2.7435897435897436","2016","12","14"
"0.97","2.0","2016","12","14"
"1.94","1.7010309278350515","2016","12","14"
