"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","1.4857142857142858","2012","06","08"
"3.48","1.0","2012","06","08"
"0.87","1.0","2012","06","08"
"2.6","1.3384615384615384","2012","06","08"
"2.6","1.3384615384615384","2012","06","08"
"1.75","1.4857142857142858","2012","06","08"
"0.87","1.0","2012","06","08"
"0.87","1.0","2012","06","08"
"0.87","1.0","2012","06","08"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"1.75","1.4857142857142858","2012","06","09"
"0.87","1.0","2012","06","09"
"2.6","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"1.75","1.4857142857142858","2012","06","09"
"0.87","2.9885057471264367","2012","06","09"
"0.87","1.0","2012","06","09"
"1.75","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","09"
"0.87","1.0","2012","06","10"
"1.75","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","2.0114942528735633","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","1.0","2012","06","10"
"1.75","2.474285714285714","2012","06","10"
"0.87","1.0","2012","06","10"
"0.87","5.988505747126437","2012","06","11"
"0.87","1.0","2012","06","11"
"0.87","2.9885057471264367","2012","06","11"
