"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","2.474285714285714","2012","06","10"
"3.48","1.7471264367816093","2012","06","11"
"0.87","1.0","2012","06","12"
"0.87","2.9885057471264367","2012","06","13"
"0.87","5.988505747126437","2012","06","16"
"0.87","4.0","2012","06","22"
"0.87","2.0114942528735633","2012","06","25"
"0.87","4.977011494252873","2012","06","26"
"0.87","2.9885057471264367","2012","06","26"
"0.87","5.988505747126437","2012","06","27"
"0.87","2.9885057471264367","2012","06","28"
"0.87","4.0","2012","07","07"
"2.6","2.003846153846154","2012","07","10"
"2.6","3.342307692307692","2012","07","16"
"4.33","1.2032332563510393","2012","07","21"
"2.6","2.3384615384615386","2012","07","21"
"0.87","1.0","2012","07","28"
"0.87","1.0","2012","08","03"
"0.87","2.9885057471264367","2012","08","10"
"0.87","1.0","2012","08","25"
"0.87","2.9885057471264367","2012","08","25"
"0.87","5.988505747126437","2012","08","29"
"3.48","1.0","2012","09","05"
"0.87","2.9885057471264367","2012","09","07"
"1.75","1.9885714285714287","2012","09","08"
"1.75","1.4857142857142858","2012","09","09"
"0.87","2.9885057471264367","2012","09","16"
"0.87","1.0","2012","09","24"
"0.87","4.0","2012","09","25"
"2.6","2.3384615384615386","2012","09","26"
"0.87","2.0114942528735633","2012","09","27"
"0.87","4.977011494252873","2012","09","27"
"0.87","1.0","2012","10","15"
"0.87","2.9885057471264367","2012","10","16"
"0.87","2.9885057471264367","2012","10","18"
"0.87","2.9885057471264367","2012","10","23"
"1.75","1.0","2012","10","27"
"1.75","1.9885714285714287","2012","10","30"
"3.48","2.0","2012","10","30"
"0.87","8.977011494252872","2012","10","31"
"0.87","1.0","2012","10","31"
"5.21","1.0","2012","11","01"
"1.75","1.9885714285714287","2012","11","01"
"0.87","1.0","2012","11","02"
"2.6","3.0038461538461534","2012","11","02"
"2.6","3.0038461538461534","2012","11","02"
"0.87","1.0","2012","11","02"
"0.87","1.0","2012","11","04"
"9.54","1.0","2012","11","05"
"0.87","4.977011494252873","2012","11","06"
"3.48","1.0","2012","11","07"
"2.6","1.6653846153846155","2012","11","07"
"2.6","1.0","2012","11","07"
"2.6","1.3384615384615384","2012","11","07"
"3.48","1.0","2012","11","08"
"2.6","2.3384615384615386","2012","11","16"
"2.6","1.0","2012","11","17"
"2.6","1.0","2012","11","17"
"3.48","1.4971264367816093","2012","11","17"
"0.87","5.988505747126437","2012","11","17"
"3.48","1.7471264367816093","2012","11","17"
"1.75","1.9885714285714287","2012","11","18"
"1.75","1.0","2012","11","19"
"0.87","1.0","2012","11","20"
"0.87","2.9885057471264367","2012","11","24"
"2.6","1.0","2012","11","24"
"3.48","1.0","2012","11","24"
"2.6","1.3384615384615384","2012","11","24"
"2.6","2.003846153846154","2012","11","24"
"2.6","1.3384615384615384","2012","11","24"
"2.6","5.6730769230769225","2012","11","28"
"0.87","4.0","2012","11","28"
"4.33","1.2032332563510393","2012","11","30"
"0.87","2.9885057471264367","2012","11","30"
"2.6","1.3384615384615384","2012","12","01"
"0.87","2.9885057471264367","2012","12","01"
"2.6","2.003846153846154","2012","12","04"
"2.6","1.3384615384615384","2012","12","04"
"2.6","1.0","2012","12","04"
"0.87","1.0","2012","12","07"
"2.6","2.3384615384615386","2012","12","09"
"10.42","1.0","2012","12","09"
"2.6","2.003846153846154","2012","12","13"
"2.6","1.3384615384615384","2012","12","27"
"6.96","1.122126436781609","2012","12","28"
"4.33","1.6073903002309469","2012","12","29"
"0.87","4.0","2012","12","29"
"0.87","6.988505747126437","2012","12","30"
"1.75","1.9885714285714287","2012","12","31"
"1.75","1.0","2012","12","31"
"0.87","8.0","2013","01","01"
"2.6","2.003846153846154","2013","01","06"
"3.48","1.4971264367816093","2013","01","06"
"0.87","8.977011494252872","2013","01","07"
"2.6","1.0","2013","01","07"
"3.48","3.4971264367816093","2013","01","15"
"0.87","4.0","2013","01","15"
"0.87","2.9885057471264367","2013","01","15"
"0.87","4.0","2013","01","17"
"0.87","5.988505747126437","2013","01","18"
"2.6","1.3384615384615384","2013","01","18"
"0.87","2.9885057471264367","2013","01","19"
"0.87","4.0","2013","01","19"
"3.48","2.244252873563218","2013","01","23"
"0.87","2.0114942528735633","2013","01","26"
"0.87","2.9885057471264367","2013","01","26"
"7.81","1.558258642765685","2013","01","26"
"2.6","2.3384615384615386","2013","01","26"
"3.48","3.244252873563218","2013","01","27"
"0.87","1.0","2013","01","27"
"0.87","2.9885057471264367","2013","01","27"
"3.48","1.7471264367816093","2013","01","28"
"2.6","3.6692307692307686","2013","01","28"
"0.87","4.0","2013","02","02"
"3.48","1.0","2013","02","03"
"2.6","2.003846153846154","2013","02","03"
"0.87","6.988505747126437","2013","02","07"
"5.21","1.1669865642994242","2013","02","08"
"1.75","3.9771428571428573","2013","02","10"
"2.6","1.0","2013","02","10"
"0.87","1.0","2013","02","12"
"0.87","4.0","2013","02","13"
"0.87","6.988505747126437","2013","02","14"
"3.48","1.4971264367816093","2013","02","15"
"0.87","4.0","2013","02","15"
"1.75","2.9771428571428573","2013","02","15"
"2.6","1.3384615384615384","2013","02","19"
"6.96","1.0","2013","02","21"
"0.87","1.0","2013","02","21"
"0.87","4.0","2013","02","21"
"2.6","1.0","2013","02","21"
"3.48","1.0","2013","02","22"
"3.48","2.0","2013","02","23"
"5.21","1.8310940499040305","2013","02","24"
"0.87","1.0","2013","02","25"
"0.87","1.0","2013","02","28"
"3.48","2.7413793103448274","2013","03","01"
"5.21","1.0","2013","03","07"
"0.87","4.0","2013","03","09"
"2.6","1.0","2013","03","09"
"0.87","2.9885057471264367","2013","03","11"
"0.87","1.0","2013","03","11"
"0.87","8.977011494252872","2013","03","12"
"0.87","4.977011494252873","2013","03","12"
"0.87","4.0","2013","03","13"
"0.87","8.977011494252872","2013","03","13"
"1.75","1.0","2013","03","14"
"0.87","4.0","2013","03","14"
"0.87","5.988505747126437","2013","03","14"
"0.87","5.988505747126437","2013","03","14"
"0.87","1.0","2013","03","15"
"0.87","1.0","2013","03","16"
"0.87","2.0114942528735633","2013","03","20"
"0.87","2.0114942528735633","2013","03","20"
"3.48","1.0","2013","03","20"
"1.75","1.4857142857142858","2013","03","21"
"0.87","1.0","2013","03","24"
"6.96","1.4971264367816093","2013","03","26"
"6.96","1.122126436781609","2013","03","26"
"6.96","1.2485632183908046","2013","03","26"
"5.21","1.3358925143953935","2013","03","26"
"5.21","1.6679462571976966","2013","04","01"
"5.21","1.8310940499040305","2013","04","01"
"5.21","1.3358925143953935","2013","04","02"
"2.6","3.0038461538461534","2013","04","02"
"5.21","1.3358925143953935","2013","04","04"
"2.6","3.0038461538461534","2013","04","08"
"0.87","8.0","2013","04","09"
"7.81","1.0","2013","04","10"
"3.48","2.244252873563218","2013","04","10"
"0.87","6.988505747126437","2013","04","10"
"6.96","1.122126436781609","2013","04","10"
"0.87","2.9885057471264367","2013","04","10"
"3.48","2.244252873563218","2013","04","11"
"0.87","4.977011494252873","2013","04","11"
"1.75","1.9885714285714287","2013","04","13"
"0.87","2.9885057471264367","2013","04","14"
"0.87","2.9885057471264367","2013","04","14"
"1.75","1.0","2013","04","14"
"0.87","2.0114942528735633","2013","04","15"
"0.87","1.0","2013","04","16"
"0.87","2.9885057471264367","2013","04","18"
"1.75","1.9885714285714287","2013","04","19"
"2.6","2.003846153846154","2013","04","19"
"0.87","5.988505747126437","2013","04","19"
"0.87","4.0","2013","04","19"
"1.75","1.0","2013","04","28"
"0.87","2.0114942528735633","2013","04","29"
"6.08","1.144736842105263","2013","04","30"
"4.33","1.0","2013","05","01"
"1.75","3.474285714285714","2013","05","01"
"1.75","1.9885714285714287","2013","05","01"
"3.48","1.0","2013","05","13"
"0.87","1.0","2013","05","14"
"2.6","3.0038461538461534","2013","05","17"
"0.87","4.0","2013","05","18"
"3.48","1.0","2013","05","19"
"1.75","2.9771428571428573","2013","05","20"
"0.87","2.9885057471264367","2013","05","21"
"2.6","1.6653846153846155","2013","05","21"
"0.87","4.0","2013","05","21"
"2.6","1.6653846153846155","2013","05","21"
"1.75","1.4857142857142858","2013","06","18"
"2.6","1.0","2013","06","18"
"2.6","1.6653846153846155","2013","06","22"
"0.87","2.9885057471264367","2013","06","26"
"2.6","1.3384615384615384","2013","06","26"
"0.87","1.0","2013","07","19"
"5.21","1.4990403071017273","2013","07","24"
"1.75","1.4857142857142858","2013","07","24"
