"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.33","1.8036951501154732","2002","09","02"
"4.33","1.8036951501154732","2002","09","02"
"4.33","1.8036951501154732","2002","09","02"
"4.33","1.6073903002309469","2002","09","02"
"5.21","1.4990403071017273","2002","09","02"
"6.96","1.3735632183908046","2002","09","02"
"5.21","1.834932821497121","2002","09","02"
"6.96","1.3735632183908046","2002","09","02"
"4.33","2.41108545034642","2002","09","02"
"2.6","2.6769230769230767","2002","09","02"
"2.6","3.0038461538461534","2002","09","02"
"1.75","1.9885714285714287","2002","09","03"
"4.33","1.8036951501154732","2002","09","03"
"6.08","1.2845394736842104","2002","09","03"
"5.21","2.3358925143953937","2002","09","03"
"7.81","1.3367477592829706","2002","09","03"
"7.81","1.4455825864276568","2002","09","03"
"9.56","1.4539748953974896","2002","09","03"
"6.96","1.9971264367816093","2002","09","03"
"6.96","2.1221264367816093","2002","09","03"
"6.96","1.9971264367816093","2002","09","03"
"9.56","1.6370292887029287","2002","09","04"
"8.69","1.5995397008055237","2002","09","04"
"4.33","2.810623556581986","2002","09","04"
"9.56","1.2730125523012552","2002","09","04"
"9.56","1.4539748953974896","2002","09","04"
"8.69","1.6996547756041427","2002","09","04"
"5.21","2.3358925143953937","2002","09","04"
"5.21","1.834932821497121","2002","09","04"
"5.21","1.6679462571976966","2002","09","04"
"7.81","1.558258642765685","2002","09","04"
"7.81","1.558258642765685","2002","09","04"
"8.69","1.4004602991944766","2002","09","04"
"8.69","1.4004602991944766","2002","09","04"
"8.69","1.4004602991944766","2002","09","04"
"7.81","1.558258642765685","2002","09","04"
"8.69","1.6996547756041427","2002","09","04"
"5.21","2.3358925143953937","2002","09","04"
"6.08","1.5723684210526316","2002","09","04"
"6.08","1.7171052631578947","2002","09","04"
"6.08","1.856907894736842","2002","09","04"
"6.08","2.0016447368421053","2002","09","04"
"2.6","1.3384615384615384","2002","09","05"
"0.87","2.0114942528735633","2002","09","05"
"8.69","1.6996547756041427","2002","09","09"
"9.56","1.725941422594142","2002","09","09"
"9.56","1.817991631799163","2002","09","09"
"9.56","2.1820083682008367","2002","09","09"
"13.02","1.401689708141321","2002","09","09"
"13.02","1.534562211981567","2002","09","09"
"12.17","1.7838948233360723","2002","09","09"
"13.02","1.6674347158218128","2002","09","09"
"10.44","1.9980842911877394","2002","09","10"
"9.56","1.817991631799163","2002","09","10"
"1.75","1.9885714285714287","2002","09","12"
"2.6","2.003846153846154","2002","09","12"
"2.6","2.3384615384615386","2002","09","12"
"3.48","2.244252873563218","2002","09","13"
"2.6","1.6653846153846155","2002","09","13"
"3.48","1.4971264367816093","2002","09","13"
"0.87","6.988505747126437","2002","09","13"
"1.75","5.4628571428571435","2002","09","16"
"4.33","1.8036951501154732","2002","09","22"
"5.21","1.6679462571976966","2002","09","22"
"5.21","1.834932821497121","2002","09","22"
"8.69","1.4004602991944766","2002","09","22"
"8.69","1.4004602991944766","2002","09","22"
"7.81","1.6670934699103714","2002","09","22"
"6.96","1.622126436781609","2002","09","22"
"7.81","1.558258642765685","2002","09","22"
"6.08","2.0016447368421053","2002","09","22"
"6.08","1.5723684210526316","2002","09","22"
"5.21","1.4990403071017273","2002","09","22"
"6.08","1.4292763157894737","2002","09","22"
"4.33","2.207852193995381","2002","09","22"
"2.6","2.3384615384615386","2002","09","22"
"4.33","1.4041570438799076","2002","09","22"
"2.6","2.003846153846154","2002","09","22"
"1.75","2.9771428571428573","2002","09","23"
"0.87","4.0","2002","09","26"
"1.75","1.4857142857142858","2002","09","26"
"1.75","2.9771428571428573","2002","09","26"
"2.6","2.003846153846154","2002","09","26"
"0.87","4.0","2002","09","29"
"0.87","2.9885057471264367","2002","09","29"
"4.33","2.41108545034642","2002","09","29"
"2.6","5.007692307692308","2002","09","30"
"2.6","3.0038461538461534","2002","09","30"
"2.6","2.003846153846154","2002","09","30"
"1.75","1.9885714285714287","2002","09","30"
"1.75","1.4857142857142858","2002","09","30"
"2.6","2.003846153846154","2002","10","03"
"2.6","3.0038461538461534","2003","08","22"
"3.48","2.4971264367816093","2003","08","23"
"6.96","1.5","2003","08","23"
"4.33","2.41108545034642","2003","08","23"
"4.33","1.4041570438799076","2003","08","23"
"3.48","2.0","2003","08","23"
"1.75","1.9885714285714287","2003","08","23"
"3.48","1.7471264367816093","2003","08","23"
"2.6","2.3384615384615386","2003","08","23"
"2.6","1.3384615384615384","2003","08","25"
"0.87","4.0","2003","08","25"
"2.6","1.3384615384615384","2003","08","25"
"4.33","1.2032332563510393","2003","08","25"
"6.96","1.3735632183908046","2003","08","25"
"5.21","2.0038387715930903","2003","08","25"
"6.96","1.622126436781609","2003","08","25"
"6.08","1.856907894736842","2003","08","25"
"4.33","2.207852193995381","2003","08","25"
"6.08","1.7171052631578947","2003","08","25"
"2.6","1.6653846153846155","2003","08","26"
"0.87","5.988505747126437","2003","08","26"
"1.75","2.474285714285714","2003","08","28"
"1.75","1.9885714285714287","2003","08","28"
"3.48","1.4971264367816093","2003","08","28"
"2.6","3.342307692307692","2003","08","28"
"2.6","2.003846153846154","2003","08","28"
"4.33","2.0069284064665127","2003","08","28"
"0.87","4.977011494252873","2003","08","29"
"2.6","1.3384615384615384","2003","08","29"
"4.33","3.2101616628175518","2003","08","30"
"2.6","2.003846153846154","2003","08","30"
"4.33","1.6073903002309469","2003","09","03"
"2.6","3.0038461538461534","2003","09","04"
"0.87","4.0","2003","09","04"
"1.75","2.474285714285714","2003","09","04"
"3.48","1.4971264367816093","2003","09","04"
"3.48","1.4971264367816093","2003","09","04"
"2.6","2.003846153846154","2003","09","04"
"1.75","1.4857142857142858","2003","09","05"
"4.33","1.4041570438799076","2003","09","05"
"5.21","1.4990403071017273","2003","09","05"
"2.6","2.3384615384615386","2003","09","05"
"4.33","1.2032332563510393","2003","09","05"
"1.75","1.9885714285714287","2003","09","05"
"6.08","1.5723684210526316","2003","09","05"
"7.81","1.3367477592829706","2003","09","05"
"7.81","1.4455825864276568","2003","09","05"
"6.96","1.622126436781609","2003","09","05"
"5.21","2.0038387715930903","2003","09","05"
"5.21","1.6679462571976966","2003","09","05"
"5.21","1.834932821497121","2003","09","05"
"0.87","6.988505747126437","2003","09","06"
"2.6","1.3384615384615384","2003","09","06"
"2.6","1.6653846153846155","2003","09","06"
"5.21","1.834932821497121","2003","09","06"
"6.08","1.5723684210526316","2003","09","06"
"6.96","1.7485632183908046","2003","09","06"
"6.08","2.0016447368421053","2003","09","06"
"6.96","1.622126436781609","2003","09","06"
"6.96","1.7485632183908046","2003","09","06"
"10.44","1.331417624521073","2003","09","06"
"13.02","1.401689708141321","2003","09","06"
"9.56","1.9089958158995814","2003","09","06"
"0.87","4.0","2003","09","09"
"0.87","4.0","2003","09","09"
"1.75","1.9885714285714287","2003","09","09"
"3.48","1.2442528735632183","2003","09","09"
"2.6","2.003846153846154","2003","09","09"
"1.75","2.474285714285714","2003","09","09"
"0.87","5.988505747126437","2003","09","09"
"1.75","2.474285714285714","2003","09","09"
"1.75","3.9771428571428573","2003","09","10"
"6.96","1.5","2003","09","10"
"6.08","2.0016447368421053","2003","09","10"
"5.21","1.6679462571976966","2003","09","10"
"6.08","2.286184210526316","2003","09","10"
"5.21","1.834932821497121","2003","09","10"
"5.21","1.834932821497121","2003","09","10"
"2.6","2.003846153846154","2003","09","15"
"3.48","2.7471264367816093","2003","09","15"
"5.21","1.3358925143953935","2003","09","15"
"4.33","1.8036951501154732","2003","09","15"
"2.6","2.003846153846154","2003","09","15"
"2.6","2.6769230769230767","2003","09","15"
"5.21","1.6679462571976966","2003","09","15"
"6.08","2.0016447368421053","2003","09","15"
"6.96","1.7485632183908046","2003","09","15"
"6.08","2.0016447368421053","2003","09","16"
"6.08","1.7171052631578947","2003","09","16"
"6.08","1.7171052631578947","2003","09","16"
"8.69","1.4004602991944766","2003","09","16"
"9.56","1.4539748953974896","2003","09","16"
"8.69","1.5995397008055237","2003","09","16"
"11.29","1.4614703277236494","2003","09","16"
"6.96","2.1221264367816093","2003","09","16"
"6.96","1.9971264367816093","2003","09","16"
"7.81","1.7797695262483997","2003","09","16"
"7.81","1.558258642765685","2003","09","16"
"8.69","1.4982738780207134","2003","09","16"
"6.96","1.7485632183908046","2003","09","16"
"7.81","1.7797695262483997","2003","09","16"
"7.81","1.6670934699103714","2003","09","16"
"7.81","1.558258642765685","2003","09","16"
"6.96","1.622126436781609","2003","09","16"
"7.81","1.6670934699103714","2003","09","16"
"7.81","1.558258642765685","2003","09","16"
"7.81","1.558258642765685","2003","09","16"
"6.08","1.856907894736842","2003","09","16"
"0.87","2.0114942528735633","2003","09","17"
"2.6","1.6653846153846155","2003","09","17"
"2.6","1.6653846153846155","2003","09","17"
"7.81","2.003841229193342","2003","09","18"
"2.6","5.346153846153846","2003","09","18"
