"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","2.003846153846154","2002","08","30"
"2.6","1.6653846153846155","2002","08","30"
"3.48","1.4971264367816093","2002","08","30"
"3.48","1.7471264367816093","2002","08","30"
"3.48","2.244252873563218","2002","08","30"
"2.6","2.003846153846154","2002","08","30"
"3.48","1.7471264367816093","2002","08","30"
"2.6","2.3384615384615386","2002","08","30"
"4.33","1.6073903002309469","2002","08","30"
"4.33","1.6073903002309469","2002","08","30"
"3.48","2.244252873563218","2002","08","30"
"4.33","2.810623556581986","2002","08","30"
"4.33","2.810623556581986","2002","08","30"
"5.21","2.3358925143953937","2002","08","30"
"4.33","2.41108545034642","2002","08","30"
"2.6","4.015384615384615","2002","08","31"
"9.56","2.1820083682008367","2002","08","31"
"10.44","1.832375478927203","2002","08","31"
"8.69","1.89873417721519","2002","08","31"
"11.29","1.4614703277236494","2002","08","31"
"7.81","1.6670934699103714","2002","08","31"
"6.96","1.7485632183908046","2002","08","31"
"6.96","1.7485632183908046","2002","08","31"
"2.6","2.3384615384615386","2002","09","01"
"2.6","2.6769230769230767","2002","09","01"
"2.6","2.003846153846154","2002","09","01"
"4.33","1.8036951501154732","2002","09","01"
"4.33","1.6073903002309469","2002","09","01"
"4.33","1.6073903002309469","2002","09","01"
"3.48","1.4971264367816093","2002","09","01"
"3.48","1.7471264367816093","2002","09","01"
"2.6","2.003846153846154","2002","09","01"
"3.48","2.0","2002","09","01"
"3.48","2.244252873563218","2002","09","01"
"4.33","1.8036951501154732","2002","09","01"
"6.96","1.3735632183908046","2002","09","01"
"6.96","1.622126436781609","2002","09","01"
"7.81","1.558258642765685","2002","09","01"
"5.21","2.0038387715930903","2002","09","01"
"6.08","1.5723684210526316","2002","09","01"
"5.21","2.0038387715930903","2002","09","02"
"5.21","2.166986564299424","2002","09","02"
"3.48","4.244252873563219","2002","09","02"
"3.48","2.7471264367816093","2002","09","02"
"0.87","4.0","2002","09","05"
"0.87","2.9885057471264367","2002","09","06"
"2.6","2.003846153846154","2002","09","06"
"5.21","1.4990403071017273","2002","09","06"
"5.21","1.834932821497121","2002","09","06"
"6.08","1.856907894736842","2002","09","06"
"6.08","1.856907894736842","2002","09","06"
"5.21","3.166986564299424","2002","09","07"
"4.33","2.6073903002309464","2002","09","07"
"3.48","3.244252873563218","2002","09","07"
"7.81","2.003841229193342","2002","09","08"
"4.33","2.207852193995381","2002","09","08"
"6.96","1.622126436781609","2002","09","08"
"6.96","1.7485632183908046","2002","09","08"
"7.81","1.6670934699103714","2002","09","08"
"8.69","1.5995397008055237","2002","09","09"
"7.81","1.558258642765685","2002","09","09"
"7.81","1.558258642765685","2002","09","09"
"4.33","1.8036951501154732","2002","09","10"
"7.81","1.4455825864276568","2002","09","10"
"7.81","1.6670934699103714","2002","09","10"
"6.96","1.7485632183908046","2002","09","10"
"9.56","1.544979079497908","2002","09","10"
"7.81","1.8911651728553138","2002","09","10"
"10.44","1.5804597701149425","2002","09","10"
"8.69","1.6996547756041427","2002","09","10"
"9.56","1.544979079497908","2002","09","10"
"9.56","1.544979079497908","2002","09","10"
"11.29","1.6164747564216122","2002","09","10"
"7.81","1.8911651728553138","2002","09","10"
"5.21","2.3358925143953937","2002","09","10"
"6.08","2.0016447368421053","2002","09","10"
"6.08","1.5723684210526316","2002","09","10"
"7.81","1.6670934699103714","2002","09","10"
"5.21","2.3358925143953937","2002","09","10"
"7.81","1.558258642765685","2002","09","10"
"6.08","1.856907894736842","2002","09","11"
"4.33","2.41108545034642","2002","09","11"
"5.21","1.834932821497121","2002","09","11"
"6.96","1.7485632183908046","2002","09","11"
"8.69","1.6996547756041427","2002","09","11"
"9.56","1.725941422594142","2002","09","11"
"7.81","1.6670934699103714","2002","09","11"
"6.96","1.9971264367816093","2002","09","11"
"5.21","2.166986564299424","2002","09","11"
"3.48","3.4971264367816093","2002","09","11"
"3.48","2.4971264367816093","2002","09","12"
"0.87","4.0","2002","09","12"
"3.48","1.4971264367816093","2002","09","12"
